"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Mauritius,1995.788,2279.084,2521.915,2606.648,2800.247,3062.301,3402.188,3812.036,4185.564,4509.25,4978.606,5317.565,5717.236,6077.692,6374.392,6728.982,7161.466,7603.476,8070.631,8291.955,9084.778,9512.586,9750.098,10461.52,11134.167,11581.356,12419.534,13424.376,14366.823,14898.595,15700.253,16653.244,16963.511,17866.307,18484.03,19225.922,20700.777,21415.336,22733.73,23816.063,20506.051,22195.362,25043.149,27242.3,29046.86,30609.659,32232.853,34026.196
Mexico,5984.846,6934.406,7148.559,7001.927,7331.849,7559.22,7314.372,7465.852,7670.605,8137.036,8710.689,9212.007,9580.878,9901.957,10435.612,9823.112,10514.413,11256.01,11796.59,12120.013,12835.669,12899.404,12916.055,13180.133,13878.144,14450.096,15349.701,15890.054,16133.6,15146.907,15879.324,16567.23,17212.608,17428.64,18119.833,18382.238,19422.129,19933.504,20643.639,20766.768,19117.049,20675.81,22215.811,23256.584,24059.784,24838.204,25639.175,26469.536
"Micronesia, Fed. States of",,,,,,,,,,,,,,,,2056.2,2024.454,1930.004,2000.59,2054.897,2198.364,2301.099,2357.713,2449.536,2443.078,2578.615,2668.847,2701.781,2707.229,2767.104,2878.741,3026.977,3020.765,2955.401,2936.127,3097.166,3150.87,3291.059,3370.935,3466.374,3438.367,3458.964,3649.575,3858.097,4055.809,4183.755,4294.08,4397.92
Moldova,,,,,,,,,,,,,4396.413,4458.155,3142.834,3166.411,3043.829,3156.314,2989.019,2932.786,3069.76,3337.096,3663.049,3993.886,4413.14,4907.21,5314.511,5635.106,6200.143,5871.77,6370.091,6882.486,7329.152,8345.09,8789.288,9221.849,10527.014,11547.401,12555.612,13493.42,12749.659,15405.7,16719.283,17884.148,19735.508,21610.47,23558.3,25684.635
Mongolia,,,,,,,,,,,3603.078,3301.454,3008.116,2954.347,3053.019,3266.674,3351.505,3493.838,3600.228,3710.166,3790.417,4006.757,4225.745,4571.615,5082.505,5518.767,6076.813,6691.212,7227.226,6991.064,7469.597,8781.925,10074.011,10375.299,10850.233,10441.614,10518.681,11137,12056.367,12730.045,12074.044,12530.203,13350.429,14469.202,15534.207,16540.752,17462.023,18350.376
Montenegro,,,,,,,,,,,,,,,,,,,,,8268.014,8513.511,8775.803,9135.284,9775.69,10490.315,11730.648,12850.188,14012.261,13256.216,13753.307,14471.959,13863.936,14870.353,15371.392,16336.11,18197.604,19703.459,21205.375,22468.926,19282.221,22566.337,24877.662,26683.549,28087.866,29447.308,30907.549,32445.75
Morocco,1491.875,1547.525,1755.357,1771.887,1871.099,2004.685,2163.668,2110.732,2358.829,2452.331,2636.625,2867.09,2818.175,2812.714,3122.338,2971.146,3352.002,3309.709,3539.802,3578.946,3679.53,3983.887,4116.979,4390.018,4662.65,4903.211,5367.904,5635.503,6007.614,6224.377,6459.083,6854.591,6856.813,7090.594,6793.07,7244.166,7355.973,7580.998,7922.828,8189.544,7687.785,8497.374,9041.236,9644.779,10080.642,10502.656,10958.285,11451.649
Mozambique,209.442,235.004,227.034,194.888,185.863,191.712,190.415,224.196,251.693,277.521,286.726,307.769,285.272,310.288,324.586,327.166,359.402,396.077,429.401,474.256,477.767,532.254,573.7,606.925,652.98,697.771,767.092,825.49,878.434,914.545,959.042,1023.065,1035.522,1084.985,1139.052,1291.269,1363.675,1283.66,1320.545,1335.876,1297.296,1341.383,1438.697,1512.161,1631.342,1701.119,1920.365,2155.967
Myanmar,,,,,,,,,,,,,,,,,,,797.651,864.689,980.927,1114.834,1232.227,1410.649,1658.851,1930.993,2241.848,2574.171,2803.788,2926.042,3094.988,3307.764,3696.748,3941.249,4130.258,4224.239,4141.472,4332.722,4684.393,5053.193,5240.843,4450.097,4775.683,5037.089,5289.169,5527.271,5776.134,6057.865
Namibia,,,,,,,,,,,4077.199,4258.612,4587.623,4471.493,4565.875,4716.846,4808.798,4938.957,4999.337,5080.915,5310.159,5553.975,5919.894,6144.338,6615.978,7017.777,7387.737,7857.332,8098.724,8053.944,8515.267,8999.744,9511.583,9901.42,10633.421,10792.674,10578.101,10316.885,10476.733,10374.76,9432.51,9737.669,10448.112,10962.592,11303.785,11615.94,11921.934,12247.961
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,3504.268,3647.138,4438.135,3487.737,4207.143,4541.986,4892.807,5473.584,5980.83,7642.475,9042.836,8974.541,8927.405,8341.682,9197.284,9856.468,9852.935,10221.496,10749.988,11080.884,11401.788,11642.046,11848.772,12069.616
Nepal,447.683,518.837,558.599,550.241,611.033,654.017,682.215,695.48,758.335,803.267,850.716,911.375,944.504,977.05,1051.665,1083.401,1135.071,1188.78,1212.143,1259.63,1342.339,1425.661,1427.429,1491.597,1582.008,1667.06,1754.365,1840.936,1969.574,2055.331,2169.753,2288.249,2505.392,2702.225,2947.316,2996.22,2989.675,3565.198,3863.864,4119.586,4008.174,4210.808,4578.45,4917.395,5230.379,5519.413,5820.895,6137.471
Netherlands,11708.056,12644.386,13181.785,13886.584,14779.698,15587.882,16313.483,16926.444,18202.449,19643.272,21105.294,22178.398,22863.491,23530.074,24590.527,25664.237,26925.575,28440.777,29936.138,31671.12,33528.109,34811.398,35170.473,35727.487,37263.463,39104.386,41633.262,44306.707,46003.861,44383.24,45274.121,46703.305,47341.62,49314.469,49337.709,50418.735,52440.793,55509.264,57839.929,59674.844,57665.272,62841.077,68572.15,71864.299,74722.092,77188.141,79667.633,82228.797
New Zealand,9177.565,10289.109,11152.268,11464.993,12566.965,12995.443,13375.405,13916.241,14354.4,14828.047,15205.777,15112.876,15402.067,16403.102,17452.812,18416.537,19213.985,19763.89,19877.664,20956.492,22209.926,23134.572,24202.636,25237.519,26745.65,28132.842,29493.179,31034.973,31306.681,30816.547,31387.598,32375.689,32731.917,35470.228,36995.438,36978.563,39238.461,40926.4,42571.912,43831.68,42583.354,46585.163,50411.406,52643.024,54266.234,55556.65,57265.602,58950.978
Nicaragua,,,,,,,,,,,,,,,2191.542,2301.356,2425.278,2498.736,2568.927,2733.781,2852.616,2942.882,2950.831,3023.174,3204.088,3377.815,3588.9,3822.515,3977.537,3821.717,3987.382,4196.65,4363.384,4556.328,4897.516,5260.512,5672.494,5995.596,5871.207,5697.323,5679.183,6476.725,7071.048,7366.834,7649.67,7926.905,8219.532,8545.16
Niger,703.176,743.011,779.045,752.12,626.794,674.153,708.405,704.042,755.032,767.904,762.043,759.37,766.141,760.447,764.41,772.684,760.662,758.452,814.103,794.783,774.505,819.176,841.466,845.06,839.172,894.975,941.428,960.495,1015.506,1003.121,1060.719,1066.129,1156.135,1125.268,1138.765,1145.241,1148.283,1163.64,1229.443,1276.008,1288.644,1310.286,1434.72,1526.763,1681.809,1877.107,1974.89,2065.718
Nigeria,,,,,,,,,,,1827.108,1831.238,1866.395,1892.626,1890.287,1917.72,1982.005,2023.373,2045.611,2033.854,2140.44,2276.676,2583.856,2812.939,3109.46,3344.125,3584.371,3847.993,4094.175,4347.296,4765.867,4967.821,5000.032,5225.167,5507.167,5426.346,5234.686,5190.363,5278.214,5352.233,5185.972,5459.178,5852.609,6062.781,6237.996,6389.759,6541.579,6702.159
North Macedonia ,,,,,,,,,,,,,5987.073,5641.884,5629.888,5651.128,5783.505,5943.9,6184.138,6515.113,6938.301,6854.497,7045.762,7327.393,7852.08,8462.94,9149.39,9989.108,10719.709,10728.237,11196.971,11682.801,11908.504,12716.658,13423.774,13884.951,15127.586,15640.295,16460.689,17417.673,16609.981,17986.122,19726.393,20867.178,22171.945,23441.024,24738.762,26112.811
Norway,14799.832,16399.929,17388.862,18733.88,20527.724,22281.107,23564.593,24428.72,25091.697,26269.027,27669.471,29320.707,30878.748,32317.692,34488.53,36494.068,38828.621,41391.411,42692.122,43841.617,45989.375,47803.643,48948.682,50086.825,53167.374,55878.268,58478.914,61205.861,61820.437,60439.47,60773.588,61827.823,65100.984,66742.128,65647.112,60189.92,58735.939,62782.105,64590.319,65829.873,65804.038,70825.024,77807.997,81716.094,85091.102,87689.295,90016.051,92431.487
Oman,8966.601,10608.838,12559.854,14052.162,15478.084,18286.513,17863.849,16541.076,18022.549,18216.51,22617.579,23925.024,25625.402,26914.435,27667.786,28800.346,29448.591,31129.841,31711.805,31687.238,33928.596,35637.659,35207.742,34368.768,35131.958,36456.786,38826.567,40791.861,44029.702,45430.148,45072.565,42936.108,43037.729,41211.821,39151.455,32165.641,29352.964,29758.244,30470.195,30651.462,31312.039,32347.054,35285.602,36160.764,36816.983,37629.765,38125.591,38625.88
Pakistan,982.575,1109.49,1230.732,1327.605,1391.322,1518.719,1604.444,1694.649,1819.69,1932.309,2037.617,2166.561,2286.923,2329.613,2421.288,2533.481,2683.625,2710.623,2770.633,2860.357,2952.838,3016.684,3097.039,3226.728,3492.259,3850.337,4123.307,4390.082,4512.302,4462.212,4536.619,4700.696,4734.753,4839.617,5004.193,5169.631,5048.852,5158.983,5481.843,5641.048,5540.703,5973.108,6469.995,6808.415,7154.309,7501.89,7874.985,8268.05
Palau,,,,,,,,,,,,,,,,,,,,,8121.494,9031.348,9468.873,9329.85,9869.523,10424.742,10791.094,11441.81,11220.785,10763,10951.143,11942.371,12588.162,12815.073,13706.867,14756.112,14880.094,14650.735,15297.111,15310.197,14038.251,11999.034,13652.223,16544.567,17264.24,17939.838,18597.178,19250.546
Panama,3530.806,4120.302,4501.203,4365.3,4540.913,4807.334,4968.989,4893.23,4295.826,4440.309,4878.532,5402.203,5853.293,6188.034,6367.064,6480.341,6941.636,7366.939,7834.886,8088.649,8328.926,8394.157,8545.552,8907.462,9647.299,10466.152,11496.501,12999.766,14298.769,14318.31,15075.964,16845.133,18596.285,20727.235,22827.398,25275.185,27828.763,30510.958,31918.742,32981.812,27007.281,32003.01,36084.791,38523.296,40924.013,43312.96,45817.199,48474.517
Papua New Guinea,1073.961,1157.783,1211.656,1273.723,1278.57,1333.365,1407.528,1504.297,1556.196,1527.773,1470.664,1615.789,1743.436,1971.921,2168.231,2081.361,2201.006,2043.653,2109.321,2125.152,2067.851,2061.169,2040.214,2215.103,2234.119,2346.34,2422.96,2621.605,2603.589,2735.584,2891.523,2830.28,2861.767,2958.748,3350.401,3531.732,3686.166,3809.453,3810.104,3969.251,3796.866,3941.439,4298.95,4524.365,4678.974,4816.049,4955.592,5100.106
Paraguay,3532.89,4099.003,4166.668,4076.023,4215.827,4386.16,4348.264,4494.67,4775.302,5089.742,5497.761,5523.774,5630.589,5927.596,6248.646,6678.64,6769.805,7035.122,6976.767,6838.854,6695.307,6662.316,6641.848,6940.461,7287.516,7546.383,8017.866,8539.554,9120.458,9011.021,9974.114,10455.239,9957.426,10980.329,11355.137,11372.589,11907.055,12433.769,12953.666,12949.326,12818.779,13722.379,14429.657,15323.81,16035.298,16713.987,17407.288,18132.447
Peru,3106.395,3498.006,3613.256,3324.462,3492.968,3595.418,4019.773,4339.669,3981.205,3506.785,3383.268,3504.536,3496.315,3696.212,4162.439,4483.726,4612.329,4911.069,4865.482,4928.288,5097.07,5167.896,5457.518,5719.132,6083.833,6584.916,7210.784,7943.251,8734.713,8787.887,9526.675,10223.399,10553.318,11087.723,11322.272,11407.94,11946.155,12540.71,13211.39,13322.643,11878.875,13879.01,15035.404,15795.284,16504.438,17178.554,17864.903,18581.387
Philippines,1923.011,2123.387,2279.146,2353.472,2205.19,2057.782,2119.381,2210.188,2388.536,2574.82,2689.647,2705.438,2715.082,2774.855,2890.811,3017.068,3094.494,3237.71,3178.223,3260.342,3482.139,3591.678,3704.976,3890.796,4174.122,4431.865,4721.694,5071.932,5298.459,5316.296,5676.845,5919.231,6359.805,6687.843,7045.232,7278.232,7788.953,8199.054,8793.065,9362.552,8451.712,9175.131,10236.565,11051.961,11898.524,12749.633,13652.651,14624.292
Poland,4823.833,4709.823,4715.145,5101.659,5221.256,5552.699,5826.406,6076.879,6491.663,6996.406,6673.87,6399.482,6660.985,7089.929,7604.928,8286.824,8958.366,9751.043,10346.505,10965.004,11814.429,12229.194,12602.942,13309.528,14358.287,15334.59,16784.332,18470.461,19620.352,20294.586,21370.105,22828.03,23745.315,24553.092,25471.41,26855.679,28321.382,30161.551,32532.198,34688.969,34225.518,37786.365,41684.686,44214.694,46799.93,49405.396,52144.56,55047.846
Portugal,6060.95,6808.762,7340.856,7666.796,7830.575,8187.933,8622.255,9512.429,10384.526,11526.063,12925.328,13844.641,14614.734,14840.109,15341.472,15969.164,16768.378,17728.717,18695.574,19588.603,20651.14,21375.592,21756.65,21897.23,22832.434,23688.735,24771.693,26027.642,26573.135,25883.984,26637.945,26769.433,26438.145,27936.013,28742.318,29668.81,31604.416,33086.048,34897.549,36465.952,33754.244,36843.684,40805.194,43010.775,45238.232,47277.846,49248.564,51310.204
Puerto Rico,6926.125,7599.762,7756.649,8026.309,8842.458,9221.032,10073.979,10719.714,11694.645,12613.88,13444.407,14127.392,15006.512,15961.895,16859.792,17857.759,18456.312,19526.55,20851.482,21879.942,22935.174,25617.325,26547.022,27687.386,28989.617,29346.905,29952.588,30583.06,30774.707,30533.316,30928.775,31824.12,32582.631,33172.653,33682.717,34006.721,34300.2,34627.223,35044.467,36201.441,35660.267,37969.364,42759.119,44665.568,45487.712,46420.212,47572.507,49006.779
Qatar,85154.278,82689.716,74834.519,68712.719,77414.379,65756.543,66235.506,65708.248,68447.581,72092.898,54629.367,54629.044,61134.238,61724.335,63855.333,64639.679,67091.41,84382.255,90512.363,91618.666,96566.993,100130.387,105585.059,106790.855,119823.415,116862.39,130946.262,133452.961,118534.339,127888.978,145599.024,163740.318,169698.495,161194.263,143222.077,97846.475,84268.877,91742.857,93869.107,94864.486,96554.44,104667.549,112789.349,121492.707,127930.097,135578.336,143418.053,153366.677
Romania,4954.636,5396.634,5925.432,6500.607,7110.426,7294.83,7580.298,7785.586,7977.958,7781.8,7610.827,6861.461,6427.278,6716.909,7173.888,7893.982,8402.622,8072.989,7809.682,7865.926,8287.497,8927.072,9853.052,10362.292,11808.146,12829.637,14371.653,15922.507,18163.75,17436.51,17079.338,17850.597,18833.963,19746.055,20611.966,21546.568,24197.403,27219.977,29281.844,31244.356,30570.7,33714.955,36621.889,39002.356,41468.184,43820.951,46246.021,48810.491
Russian Federation,,,,,,,,,,,12645.212,12379.64,10805.223,10091.285,8999.021,8818.323,8668.371,8958.217,8588.117,9303.208,10511.652,11346.418,12126.991,13333.081,14727.813,16221.781,18133.156,20228.99,21700.48,20117.852,21271.946,22783.519,24278.842,26044.835,25730.584,24062.479,24104.124,25999.323,27386.15,28495.032,28170.742,30849.944,30012.908,30243.959,31502.921,32529.818,33504.085,34479.194
Rwanda,413.199,447.013,446.237,473.77,541.398,563.907,586.707,579.249,580.986,550.586,560.357,537.86,586.036,572.87,366.844,493.957,567.732,633.834,636.359,601.673,649.532,702.31,787.327,800.913,852.78,940.133,1034.874,1119.338,1228.037,1285.901,1354.862,1463.948,1495.857,1559.408,1719.511,1815.604,1910.119,2005.479,2174.251,2364.085,2263.915,2539.91,2807.56,3036.942,3283.687,3523.796,3729.921,3949.551
Saint Kitts and Nevis,3008.346,3399.786,3849.951,3938.822,4500.743,4974.989,5565.775,6226.697,7166.327,7932.869,8682.452,9139.814,9554.711,10191.614,10835.418,11307.335,12057.887,13022.475,13162.46,13717.331,15204.172,16152.789,16397.127,15836.843,16677.41,18626.118,19564.675,19981.419,22394.096,21538.928,21570.391,22133.192,21039.328,21858.709,23555.356,23424.164,24377.521,25340.706,26369.377,27846.074,23999.82,23856.873,27608.222,29463.493,31168.705,32336.852,33520.845,34754.133
Saint Lucia,2447.949,2778.486,2973.754,3174.079,3502.746,4005.693,4604.755,4835.096,5618.225,6252.709,7053.311,7218.903,7844.981,8022.861,8161.064,8314.083,8573.193,8509.851,9009.007,9273.044,9348.359,9121.866,9230.49,9723.203,10590.27,10752.002,11629.056,12034.263,12713.462,12985.161,13124.599,13907.988,13668.235,14032.142,14220.866,13944.981,14634.208,15236.049,15931.225,16104.397,12896.628,14255.194,16509.029,17907.725,18880.759,19500.381,20048.752,20616.326
Saint Vincent and the Grenadines,1936.697,2183.18,2358.641,2510.714,2719.259,2904.482,3101.705,3177.991,3700.951,3951.669,4263.599,4471.113,4891.393,5180.562,5223.054,5687.952,5846.19,6161.788,6500.915,6723.042,6990.83,7254.21,7717.305,8342.174,8877.125,9352.646,10259.971,10850.213,11093.208,11015.172,10658.941,10801.668,10941.051,11482.471,11891.286,12035.302,13012.279,13030.296,13737.84,14028.914,13432.987,13910.237,15505.353,16974.471,17929.355,18807.041,19673.396,20583.181
Samoa,,,,,,,,,,,,,,,,,,,2654.812,2663.272,2848.412,3111.065,3318.904,3539.339,3723.139,4069.201,4256.914,4364.943,4576.053,4548.585,4685.352,4941.773,4787.002,4809.158,4864.45,5088.86,5524.488,5667.924,5709.253,6036.217,5911.078,5621.958,5935.357,6316.944,6686.435,7016.426,7320.815,7601.971
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,62450.639,65215.65,68918.713,74851.525,75030.331,67001.075,63059.61,58183.641,54797.229,53898.349,55875.218,56137.697,58102.788,59522.01,61532.387,63621.784,59804.784,65319.147,70139.194,72802.706,75333.74,77644.566,79961.441,82361.537
Saudi Arabia,44859.482,47671.836,38212.18,31746.044,29864.029,26466.249,30086.742,27414.106,30571.364,30103.822,34260.79,38793.744,38823.075,38455.712,38550.247,38496.953,39271.755,39422.096,40036.427,38136.457,40207.372,39642.276,38187.662,42278.821,45739.043,48168.242,49362.681,49936.802,52301.702,49863.307,51270.003,55917.976,57284.476,56015.946,56785.549,49637.153,46422.861,48014.585,49189.723,49055.696,46511.677,49386.496,55367.749,57947.196,59799.226,61424.388,63065.884,64797.154
Senegal,1068.832,1196.597,1332.573,1274.009,1329.989,1375.686,1404.204,1480.95,1478.619,1550.907,1552.539,1600.633,1613,1624.757,1609.823,1697.752,1717.224,1751.453,1833.393,1924.869,1997.197,2079.633,2062.611,2166.669,2270.285,2380.73,2446.933,2516.713,2589.582,2606.177,2653.151,2669.517,2739.419,2742.421,2830.697,2971.347,3075.937,3203.906,3388.544,3510.424,3503.628,3767.167,4092.526,4481.105,4916.513,5157.907,5408.028,5583.363
Serbia,,,,,,,,,,,,,,,,,,6137.809,6382.3,5706.668,6308.895,6784.786,7384.195,7882.847,8847.337,10081.588,10966.544,12036.893,13016.825,12793.583,13094.547,13742.302,13929.189,14624.104,14657.076,14932.417,15856.452,16621.467,17880.955,19040.62,19190.174,21636.962,23903.725,25709.035,27505.617,29309.523,31206.415,33231.75
Seychelles,4353.796,4525.571,4678.072,4837.167,5196.682,5865.081,5991.298,6171.149,6703.996,7637.714,8472.574,8881.817,9691.265,10425.98,10115.926,10226.669,11288.267,12732.797,12938.303,13106.253,13849.069,13827.358,13951.85,13380.262,13397.325,14993.292,16560.352,18684.085,18231.028,18075.859,18913.904,20947.836,21565.038,22369.391,24682.865,24812.989,27076.695,28530.625,29816.813,30991.395,28703.564,31999.802,35272.281,38026.383,40549.529,42861.297,45268.157,47818.351
Sierra Leone,782.743,851.982,901.827,901.232,944.219,890.655,889.906,913.67,945.139,1007.111,1045.578,987.937,913.176,939.381,997.447,917.509,701.306,584.801,580.249,530.834,548.509,639.145,785.651,836.253,876.122,908.906,945.769,1021.493,1071.541,1088.093,1134.21,1203.173,1405.478,1746.554,1787.656,1599.215,1678.271,1633.73,1694.124,1777.159,1726.962,1817.943,1957.577,2060.262,2168.005,2277.386,2374.971,2474.41
Singapore,9479.437,10958.813,11927.268,13281.001,14689.878,15039.424,15562.96,17406.203,19547.275,21730.066,23812.874,25527.98,27019.33,30059.251,33054.632,35087.014,36869.616,39283.068,37557.037,39943.662,43775.817,43104.222,45080.22,48774.722,54377.323,58814.973,64054.385,68793.779,67718.301,66212.171,75389.75,80052.391,82064.961,83001.788,84423.191,86974.748,89436.598,95310.334,100686.059,102431.353,99681.18,116487.048,131580.166,140497.102,147916.218,153784.025,159950.228,166379.131
Slovak Republic,,,,,,,,,,,,,,8235.422,8883.255,9729.054,10572.912,11294.56,11867.986,12009.705,12412.962,13154.013,13961,15030.821,16258.119,17875.915,19991.671,22754.902,24470.983,23256.82,24881.266,26111.488,26983.393,28015.76,29011.389,29941.177,29667.553,30900.883,32792.639,34203.008,33061.191,35462.909,38620.426,41717.363,44313.947,46883.034,49131.16,51445.851
Slovenia,,,,,,,,,,,,,11164.713,11808.375,12699.818,13495.917,14232.402,15233.978,15927.321,17069.603,18011.65,18987.545,19920.184,20904.028,22385.231,23950.225,26032.74,28502.656,30070.414,27674.562,28180.946,28968.766,29066.166,29990.243,30883.368,31646.714,33946.557,36680.185,39198.634,40919.23,39377.825,44066.857,48533.937,51390.647,54154.899,56873.904,59637.897,62506.983
Solomon Islands,967.046,1005.145,1015.291,1061.169,1067.263,1034.615,1022.915,1104.666,1126.112,1186.781,1223.607,1303.628,1460.709,1511.583,1622.209,1772.564,1783.246,1747.86,1741.356,1709.648,1458.545,1336.202,1284.231,1358.854,1450.96,1540.921,1627.249,1706.259,1798.896,1814.335,1946.438,2077.498,2099.436,2189.958,2193.875,2187.46,2277.515,2381.014,2468.736,2478.755,2348.592,2389.257,2385.153,2480.381,2562.663,2636.538,2710.265,2785.84
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959.112,869.899,998.331,1160.858,1217.587,1157.545,1197.038,1224.491,1201.301,1241.49,1321.959,1372.24,1418.329,1462.893,1509.085,1558.5
South Africa,,,,,,,,,,,,,,6965.757,7172.054,7390.897,7704.802,7908.406,7915.689,8099.081,8501.654,8767.014,9107.439,9468.952,10057.683,10794.984,11609.53,12397.864,12853.953,12548.362,12885.352,13361.588,13191.404,13590.776,13594.671,13696.845,13737.623,13838.851,14171.492,14235.908,13289.268,14396.028,15361.297,15802.958,16172.028,16483.225,16786.797,17098.885
"South Sudan, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100.981,1341.084,1577.529,1508.249,1361.585,1028.288,888.762,865.585,862.015,791.187,843.491,927.541,980.219,1021.168,1058.925,1095.503,1133.594
Spain,7818.981,8443.629,9028.083,9492.119,9961.993,10482.732,11028.917,11919.08,12963.921,14118.342,15183.471,16050.818,16501.705,16619.134,17323.734,18373.014,19118.207,20146.398,21209.276,22412.988,23877.427,25244.72,25919.409,26721.123,27856.347,29232.419,30877.493,32218.439,32589.799,31300.844,31597.32,31872.363,31724.63,32452.66,33544.355,34938.577,37309.865,39626.469,41328.354,42600.441,38244.467,41838.523,46413.073,49189.464,51762.669,53662.633,55483.78,57331.185
Sri Lanka,1050.493,1195.201,1318.863,1399.604,1531.174,1641.742,1729.379,1780.172,1873.876,1971.274,2149.451,2433.111,2383.213,2594.599,2836.128,3045.826,3455.261,3854.809,3814.69,3958.777,4362.529,4342.901,4538.774,4862.087,5220.161,5673.723,6249.022,6803.652,7294.528,7548.376,8195.166,9007.734,10315.18,10852.064,11256.856,11557.488,12224.216,12584.104,13167.533,13621.75,13223.519,14190.228,15386.766,16196.311,16975.841,17720.535,18474.676,19278.623
Sudan,1080.398,1220.757,1311.509,1305.369,1219.397,1216.063,1326.632,1407.871,1491.207,1532.766,1506.932,1618.311,1696.398,1732.987,1780.308,2049.481,2151.039,2272.988,2437.919,2526.114,2736.932,3024.916,3174.959,3349.056,3523.958,3749.868,4013.696,4248.116,4382.191,4179.545,4281.655,5197.992,3929.483,3934.82,4509.179,4438.092,5569.196,4705.146,4572.485,4408.041,4190.283,4275.1,4441.507,4633.698,4884.273,5189.412,5492.644,5785.799
Suriname,,,,,,,,,,,6984.243,6132.323,6439.982,6352.804,5963.024,6676.672,7470.818,8012.677,8182.739,8103.356,8179.976,8646.568,9001.501,9650.698,10444.035,11171.842,12042.703,12853.172,13456.334,13762.454,14453.214,15363.359,16889.574,17908.844,18301.191,16962.525,14777.806,17879.62,18994.461,19288.281,16291.949,16178.333,17300.216,17986.508,18695.477,19414.994,20149.07,20914.478
Sweden,10531.883,12044.337,12960.234,13739.847,14833.185,15629.109,16371.723,17263.615,18216.384,19278.567,20000.988,20322.842,20478.079,20455.126,21537.57,22799.883,23565.409,24699.072,26034.346,27500.429,29393.065,30400.788,31441.165,32674.808,34868.248,36841.13,39463.037,41605.336,41877.304,39952.65,42498.762,44450.32,45258.806,46098.791,46936.61,48857.878,50061.576,52413.085,54123.643,55656.195,54396.195,58961.909,62926.053,65966.807,68523.19,70763.415,73060.308,75460.126
Switzerland,18131.494,20067.437,20875.694,21690.19,23130.178,24652.607,25485.661,26367.66,27973.356,30125.615,32145.472,32547.325,32797.541,33194.376,34035.576,34698.722,35315.549,36628.318,38082.844,39113.709,41396.994,42822.11,43155.207,43623.692,45660.224,48102.24,51336.845,54499.663,56386.925,54796.435,56612.086,58268.404,60269.914,62653.277,64508.424,66395.113,68457.674,69846.969,73062.748,74756.448,73231.455,78529.709,84658.442,87763.803,90861.413,93138.227,95960.328,98302.032
Syria,2072.763,2378.846,2507.484,2562.092,2402.08,2570.812,2417.78,2426.257,2738.951,2586.98,2863.245,3182.208,3581.412,3829.845,4019.206,4216.533,4313.921,4238.443,4418.161,4235.652,4318.248,4456.602,4661.696,4523.639,4815.538,5107.023,5396.288,5714.742,5937.644,6175.688,6374.064,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,1559.222,1500.361,1606.943,1568.008,1489.013,1635.296,1529.63,1479.752,1519.386,1581.863,1561.054,1587.673,1588.232,1624.631,1664.304,1701.131,1725.862,1740.738,1771.723,1808.71,1825.271,1879.442,1918.064,2041.97,2128.252,2293.338,2511.529,2588.604,2792.517,2811.267,2965.511,3089.646,3041.828,3409.17,3911.894,3904.929,3952.145,3975.025,4092.893,4178.253,4255.699,4412.332,4681.44,4848.998,5033.7,5217.823,5208.632,5414.309
Taiwan Province of China,3446.189,3967.229,4338.255,4843.05,5441.392,5808.781,6541.777,7475.605,8264.09,9243.556,9999.434,11091.867,12171.167,13186.409,14353.832,15475.934,16602.114,17731.284,18526.532,19903.696,21460.875,21512.344,22927.291,24277.209,26562.487,28767.258,31220.651,34138.84,34951.775,34484.556,38404.269,40532.641,41741.269,43435.454,45494.282,46910.952,47272.281,48500.845,51005.031,53476.035,56037.844,62526.794,68729.509,72876.834,76317.421,79514.396,82775.299,86186.378
Tajikistan,,,,,,,,,,,,,1462.803,1322.413,1055.304,932.654,897.539,914.63,954.905,975.225,1062.493,1176.257,1278.928,1408.964,1567.736,1689.657,1824.75,1977.353,2127.672,2176.264,2293.764,2458.602,2708.847,3004.451,3303.956,2958.106,3089.443,3237.941,3494.449,3744.206,3879.177,4329.23,4629.918,4848.514,5077.94,5299.606,5529.271,5772.603
Tanzania,580.085,618.702,640.681,660.931,686.888,718.863,758.51,798.946,837.991,876.509,942.781,962.302,956.763,958.338,962.884,988.761,1025.122,1053.66,1080.672,1122.297,1174.979,1240.673,1314.009,1392.684,1499.033,1613.766,1692.739,1833.132,1918.041,1976.619,2066.521,2210.068,2099.43,2194.768,2243.354,2348.069,2478.806,2527.809,2687.04,2840.419,2925.615,3103.812,3358.284,3534.987,3723.44,3906.068,4100.639,4303.002
