"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Botswana,2282.687,2653.361,3148.26,3495.514,3720.245,3986.133,4259.914,4837.753,5963.391,6258.838,6809.425,7262.372,7203.151,7461.377,7363.463,7951.644,8102.446,8631.99,8410.072,9040.072,9476.577,9732.008,10431.8,11018.524,11270,11973.871,12825.593,13641.359,14054.008,11908.166,13046.684,14028.704,13143.962,14085.805,15517.703,14587.791,16638.522,15964.631,16660.711,17096.574,15470.878,17761.075,19286.911,20283.658,21166.489,21997.287,22853.215,23741.868
Brazil,4811.876,4925.285,5147.305,5057.28,5402.657,5890.568,6334.152,6596.432,6722.162,7083.272,6836.145,7020.471,7031.263,7414.354,7852.013,8241.96,8333.667,8629.74,8621.999,8652.936,9103.843,9307.473,9616.18,9796.624,10513.53,11061.84,11723.705,12637.878,13396.642,13328.001,14361.497,15109.717,15120.062,15669.155,15800.05,14816.265,14326.073,14596.871,15088.846,15424.06,14890.451,16160.652,17207.839,17867.687,18606.169,19269.147,19939.938,20439.132
Brunei Darussalam,,,,,,59204.277,57577.051,57286.315,57232.413,59579.234,60728.948,62998.563,65803.632,66009.824,67662.885,70617.064,72173.169,70608.129,69213.402,70642.466,72496.624,74324.065,75818.249,78330.47,78568.923,81619.399,86144.53,83877.132,81055.711,78951.328,80668.733,84000.908,88311.695,84019.147,81806.01,62921.9,56638.26,60280.819,59952.481,63385.952,64714.733,66795.076,74952.916,79210.886,82888.689,86347.687,89887.568,93608.182
Bulgaria,5355.825,6155.011,6790.292,7249.699,7843.054,8230.775,8844.299,9501.724,10099.818,10489.306,9954.336,9262.205,8765.687,8023.039,7988.374,8116.734,7680.621,6762.089,7147.232,6670.927,7062.775,7743.567,8374.113,9037.906,9935.949,11030.758,12207.067,13431.617,14590.758,14284.274,14793.942,15792.446,16375.743,16691.704,17670.061,18459.101,20145.734,21616.969,22889.871,24409.408,23739.078,25914.167,28593.084,30962.534,33256.701,35167.624,37086.068,39131.076
Burkina Faso,375.739,412.418,433.295,433.791,445.098,498.052,534.475,532.345,567.97,587.228,589.641,647.31,645.97,665.88,670.508,704.097,774.259,814.372,859.295,909.277,920.891,975.618,1004.642,1072.853,1117.782,1216.166,1292.861,1341.376,1403.293,1410.77,1502.268,1586.571,1619.399,1683.106,1692.303,1713.52,1895.295,2044.387,2170.981,2270.259,2275.778,2462.689,2663.385,2798.099,2932.877,3061.355,3195.503,3334.811
Burundi,313.734,374.221,381.963,399.948,403.211,451.739,462.265,485.536,512.918,524.844,547.278,581.456,584.07,561.596,542.231,500.383,460.307,462.584,481.465,479.545,484.607,489.102,493.605,503.75,521.121,558.396,589.116,607.692,628.709,635.879,655.52,675.193,684.554,734.995,772.157,838.038,793.743,770.707,778.468,783.49,772.416,800.198,855.613,894.677,933.546,972.726,1009.299,1044.514
Cabo Verde,781.608,913.719,979.508,1092.401,1150.064,1262.045,1297.152,1358.068,1459.411,1568.81,1602.324,1640.907,1688.484,1810.908,1984.303,2121.882,2249.604,2406.474,2580.463,2865.644,3079.991,3277.612,3439.499,3704.627,3927.331,4223.491,4689.266,5198.922,5590.269,5496.053,5582.802,5858.702,5719.978,5699.74,5658.987,5902.474,6224.242,6535.104,7028.12,7470.26,6366.72,7005.208,7739.918,8331.612,8916.875,9487.049,10037.876,10571.557
Cambodia,,,,,,,,515.45,568.44,592.442,601.801,646.791,683.685,702.866,745.104,780.834,817.622,841.866,869.129,970.507,1064.181,1157.665,1229.715,1336.976,1490.056,1713.431,1927.881,2151.674,2307.247,2298.492,2438.018,2635.942,2912.07,3109.918,3271.872,3500.583,3816.848,4101,4467.44,4833.97,4715.504,4967.438,5493.329,5932.144,6385.113,6860.934,7377.139,7933.256
Cameroon,1262.815,1572.258,1746.518,1887.462,2046.657,2223.255,2357.037,2297.855,2129.353,2109.704,1991.79,1922.425,1849.889,1780.26,1721.587,1766.31,1835.604,1912.922,1973.883,2026.275,2083.524,2144.593,2223.748,2318.07,2469.093,2508.625,2605.149,2709.916,2763.724,2776.799,2814.253,2892.448,2958.693,3129.859,3312.54,3395.629,3527.165,3665.118,3801.235,3901.725,3869.726,4069.528,4398.308,4638.297,4871.656,5100.066,5338.278,5591.358
Canada,11798.15,13197.482,13404.941,14149.519,15380.231,16465.963,16990.436,17893.032,19085.265,19947.668,20415.094,20403.324,20805.609,21615.645,22823.789,23682.378,24252.185,25469.836,26532.353,28068.767,29914.733,30810.534,31887.837,32794.347,34390.019,36260.724,37980.676,39428.171,40159.089,38788,40017.583,41716.377,42351.123,44360.366,45811.988,44702.516,46554.082,48688.106,50531.576,51652.558,48946.828,52984.521,57811.943,60544.648,62458.995,64142.882,65815.162,67543.994
Central African Republic,441.208,529.467,528.773,503.97,560.464,583.805,617.149,619.378,639.524,676.138,696.067,697.863,662.79,654.421,734.686,756.109,706.455,731.875,748.784,765.634,740.669,763.326,778.158,763.032,769.901,803.431,852.274,894.005,917.488,931.276,967.148,1012.657,1102.13,738.466,720.351,787.043,851.014,912.808,955.757,985.073,988.795,1020.988,1101.771,1153.825,1204.388,1251.962,1300.034,1358.285
Chad,411.47,393.159,430.079,504.692,536.488,581.001,609.883,627.947,677.025,694.411,719.862,795.757,807.185,783.637,817.312,800.923,805.181,836.247,873.418,848.713,829.199,911.556,966.379,1087.751,1437.246,1547.916,1550.732,1589.859,1615.329,1637.897,1821.218,1799.697,1735.752,1574.013,1684.135,1820.077,1682.038,1600.064,1626.929,1662.287,1598.035,1598.253,1704.613,1765.544,1818.418,1867.226,1918.382,1970.598
Chile,3461.766,3958.915,3573.97,3552.748,3836.915,3974.243,4206.313,4515.081,4930.246,5572.807,5895.683,6449.578,7162.835,7700.303,8137.811,8914.176,9567.357,10314.245,10745.005,10712.617,11403.724,11908.459,12332.109,12953.47,14112.202,15236.987,16531.347,17628.595,18407.097,18033.229,19106.856,20470.263,21635.96,22295.977,22648.515,22551.166,22655.056,23660.303,24743.38,24925.993,23269.445,26713.245,28526.228,29246.271,30186.322,31205.044,32309.721,33455.006
"China, People's Republic of",306.733,348.055,396.553,450.585,530.856,612.806,668.43,752.552,852.879,909.8,966.575,1078.147,1245.659,1435.677,1638.953,1837.378,2035.339,2239.259,2420.143,2621.205,2885.737,3174.085,3494.749,3897.377,4380.974,5003.411,5782.755,6750.182,7501.334,8222.376,9160.167,10180.906,11136.869,11905.091,12496.321,12926.23,13432.044,14151.786,15409.706,16563.768,17114.711,19259.713,21364.193,23131.752,24926.724,26732.861,28644.861,30669.961
Colombia,2840.643,3110.897,3262.845,3371.19,3534.89,3785.588,4003.662,4234.269,4468.161,4704.318,4987.774,5171.325,5411.209,5746.106,6061.389,6401.543,6546.205,6798.288,6808.155,6530.539,6772.161,6951.562,7146.51,7479.006,7990.242,8523.854,9266.282,10041.628,10453.73,10524.821,11009.496,11893.032,12305.526,13024.859,13627.067,13611.455,14351.744,14763.881,15234.559,15632.886,14421.024,16386.721,18225.131,19252.262,20197.514,21093.879,22036.25,23024.659
Comoros,912.249,1027.461,1108.243,1160.001,1239.612,1274.945,1287.596,1306.251,1376.79,1373.904,1488.161,1491.614,1603.271,1647.386,1581.472,1669.97,1656.347,1722.382,1705.683,1739.772,1725.237,1821.353,1894.762,1929.151,1993.561,2121.339,2093.785,2113.373,2182.529,2209.681,2260.849,2341.013,2510.017,2628.368,2700.604,2684.323,2826.352,2980.06,3078.492,3104.514,3049.198,3161.856,3355.314,3455.28,3546.194,3636.269,3728.795,3821.89
"Congo, Dem. Rep. of the",806.951,863.154,883.178,900.972,947.446,950.572,983.044,1001.226,1008.081,1001.366,939.599,860.929,758.321,646.094,597.238,606.662,589.085,526.637,501.889,480.008,437.811,425.861,431.949,450.626,478.328,507.028,533.025,563.147,590.204,591.464,620.764,655.852,657.466,741.084,837.168,893.471,951.455,1046.712,1098.036,1129.7,1126.224,1201.295,1315.937,1403.636,1486.736,1568.98,1651.541,1739.339
"Congo, Republic of ",1926.292,2098.833,2213.889,2285.087,2351.219,2408.43,2439.187,2481.096,3037.541,3602.228,3661.229,3798.117,3948.368,3995.236,3925.256,4064.841,4179.471,4106.197,4413.7,4206.136,4689.707,4452.785,4455.352,4452.803,4452.018,4892.277,5313.172,4971.559,5255.057,5760.198,6252.07,6363.661,7436.64,7123.201,6959.386,5444.904,4484.127,4986.526,4739.733,4686.558,4250.284,4312.03,4578.148,4724.043,5070.109,5125.633,5115.218,5261.015
Costa Rica,3560.086,3696.217,3532.788,3668.991,3990.222,4024.531,4206.264,4391.33,4577.528,4898.094,5137.372,5307.593,5798.778,6194.989,6421.803,6637.542,6668.094,6974.729,7375.399,7610.409,8142.242,8304.23,8572.13,8975.941,9473.048,10005.792,10906.195,11948.7,12570.358,12357.347,12931.528,13605.863,14367.698,15034.637,16076.627,17079.776,18503.17,19711.653,20479.984,21127.111,20303.397,22523.307,24489.609,25757.593,26975.907,28121.378,29285.528,30503.458
Croatia,,,,,,,,,,,,,8282.653,7978.86,8820.659,9757.09,10423.003,11114.417,11629.383,11546.954,12735.072,13669.611,14670.166,15782.72,16870.984,18129.401,19607.222,21131.192,21944.685,20500.855,20535.53,21012.892,21395.418,22079.537,22327.132,23305.365,25210.662,27129.359,28841.675,30551.851,28534.795,32942.598,36201.47,39006.925,41381.103,43452.846,45500.436,47652.662
Cyprus,5914.415,6588.577,7352.125,7941.826,8835.04,9435.803,9854.087,10701.395,11875.688,13146.787,14347.412,14553.022,15859.996,15952.548,16897.963,18776.354,19036.106,19578.087,20731.468,21827.181,23391.577,24612.609,25633.068,26517.457,28234.674,30109.879,32023.805,33931.55,34993.586,33615.944,33764.36,33755.062,31905.778,30236.855,29887.57,31847.99,35851.798,38515.934,41226.288,43592.169,41346.923,45033.613,48442.762,51180.462,53536.983,55629.83,57855.553,60270.729
Czech Republic,,,,,,,,,,,,,,,,14159.189,15088.15,15286.833,15418.753,15867.08,16894.708,17881.171,18500.716,19558.319,21044.631,23129.478,25395.071,27451.863,28482.176,27113.811,28010.309,29027.244,29269.604,30812.679,32542.452,33933.429,36136.77,39031.087,41120.356,42963.05,40790.794,43837.139,47527.254,50927.988,54016.702,56841.835,59414.089,62130.347
Côte d'Ivoire,2585.259,2863.506,2932.924,2827.797,2793.172,2873.991,2956.473,2901.972,3010.469,3094.957,3051.136,3033.922,2978.04,2769.546,2751.119,2881.585,3085.594,3234.328,3345.032,3359.683,3279.466,3272.34,3185.107,3122.626,3163.689,3234.955,3299.537,3361.128,3423.674,3467.495,3489.255,3302.872,3562.747,3833.793,4236.545,4557.772,4628.93,4729.649,5045.13,5317.16,5347.18,5781.112,6345.069,6796.715,7221.953,7628.599,8036.452,8467.558
Denmark,11869.997,12902.601,14217.211,15165.135,16381.81,17580.051,18793.876,19275.587,19936.363,20849.029,21923.701,22932.388,23842.014,24321.794,26084.441,27337.572,28454.213,29751.879,30637.972,31873.093,33712.739,34631.206,35209.273,35942.229,37792.459,39788.818,42494.996,43880.831,44260.562,42085.124,43203.86,44482.796,44892.724,46829.474,48039.691,49264.513,52159.798,55673.456,57812.089,59832.96,59135.902,63946.382,69273.251,72282.602,75101.941,77718.928,80362.872,83110.975
Djibouti,,,,,,,,,,,2834.384,2723.767,2764.111,2623.863,2627.063,2555.844,2453.873,2401.626,2361.364,2395.858,2407.078,2452.659,2523.5,2610.938,2712.806,2842.018,3027.373,3220.965,3426.918,3456.114,3589.072,3868.764,3957.992,4103.941,4291.976,4603.052,4719.636,4912.555,5372.838,5740.913,5782.401,6174.909,6666.774,7115.003,7628.909,8150.505,8704.462,9301.639
Dominica,,2043.657,2267.66,2425.426,2627.878,2759.415,3024.971,3307.209,3704.785,3856.581,4232.928,4451.023,4644.487,4856.959,4961.981,5219.099,5479.229,5695.035,5975.983,6081.185,6363.924,6502.673,6421.751,6969.485,7380.125,7666.943,8277.588,9047.845,9884.982,9838.933,10038.403,10335.991,10157.996,10344.154,11015.373,11139.636,11961.78,12071.428,12791.087,13467.88,11942.892,12834.988,14490.83,15589.111,16618.802,17562.051,18263.78,18994.928
Dominican Republic,2429.269,2710.836,2860.546,3038.097,3112.309,3068.061,3162.352,3482.744,3597.508,3818.55,3672.372,3766.767,4207.788,4541.005,4677.029,4962.816,5270.016,5745.665,6102.357,6457.724,6811.551,7039.751,7371.686,7316.316,7607.873,8480.446,9435.46,10292.675,10703.591,10757.548,11672.259,12157.893,12207.744,12818.364,13859.072,15186.042,16625.845,17301.383,18772.594,19896.19,18619.725,21582.716,23982.831,25703.864,27413.384,29119.143,30905.982,32808.077
Ecuador,3243.319,3585.704,3746.611,3681.382,3868.73,4058.328,4159.707,3908.637,4357.211,4431.526,4626.26,4913.646,5092.186,5203.874,5429.422,5561.569,5663.538,5916.163,6086.128,5794.125,5902.033,6138.571,6351.353,6540.153,7142.574,7660.58,8101.054,8352.44,8892.436,8837.941,9090.63,9842.963,10280.264,11106.117,11657.901,11014.886,11009.159,11623.715,11880.323,11923.018,10972.799,11747.783,12663.679,13207.154,13716.081,14189.325,14667.048,15163.485
