Implied PPP conversion rate (National currency per international dollar),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bulgaria,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.005,0.01,0.016,0.035,0.345,0.457,0.465,0.489,0.507,0.519,0.52,0.534,0.552,0.572,0.618,0.656,0.677,0.674,0.701,0.693,0.68,0.661,0.679,0.667,0.674,0.686,0.71,0.731,0.745,0.795,0.796,0.788,0.792,0.792,0.793
Burkina Faso,196.622,195.795,204.861,211.459,205.89,203.811,187.11,184.853,184.643,186.26,182.791,169.795,166.389,160.193,179.803,188.033,185.295,184.989,197.455,203.35,197.215,200.51,203.469,202.493,197.378,198.533,191.314,190.923,204.489,208.075,213.374,223.116,238.979,231.079,231.326,225.416,215.197,208.757,208.032,203.083,209.875,199.687,193.534,191.651,190.787,190.694,190.755,190.783
Burundi,66.663,56.503,56.805,57.634,65.019,66.163,62.591,59.024,57.805,64.445,64.81,64.83,66.778,70.28,73.378,83.443,93.781,119.628,131.834,156.786,193.662,216.201,219.469,232.248,258.541,288.042,287.372,302.96,369.243,403.908,434.736,461.509,527.053,539.311,547.1,570.659,585.893,654.896,621.382,615.481,644.387,671.071,684.552,714.565,749.557,786.022,819.359,852.735
Cabo Verde,27.83,27.862,30.808,32.781,34.415,34.584,39.902,41.793,42.56,42.399,41.843,42.424,42.8,46.467,48.718,49.916,50.877,51.2,52.37,55.257,52.637,52.153,51.189,51.089,49.443,48.241,48.223,48.231,49.001,49.748,49.406,49.695,51.141,51.855,51.84,50.453,49.364,48.477,48.068,47.489,46.519,45.956,44.264,43.739,43.53,43.523,43.534,43.555
Cambodia,,,,,,,,29.609,50.137,57.412,136.028,272.76,467.761,947.677,914.228,1002.943,1014.776,1057.481,1154.022,1152.343,1082.668,1082.702,1073.689,1071.834,1094.165,1125.363,1142.235,1184.671,1304.816,1328.976,1354.171,1371.235,1336.79,1340.068,1386.036,1395.92,1402.131,1428.354,1438.439,1458.88,1400.136,1383.014,1339.463,1339.941,1347.06,1359.431,1373.198,1390.609
Cameroon,166.468,165.51,175.277,190.216,208.481,224.609,220.53,210.072,204.66,193.251,189.458,189.712,183.018,182.299,204.149,218.911,220.948,224.863,230.82,232.787,232.166,234.838,236.81,237.797,232.965,231.233,230.102,225.639,232.309,239.055,237.758,238.707,242.194,241.083,239.119,240.708,237.444,232.801,231.64,230.221,228.634,225.361,219.166,216.559,213.883,213.433,213.249,212.693
Canada,1.118,1.126,1.154,1.175,1.174,1.176,1.189,1.216,1.228,1.237,1.233,1.229,1.219,1.206,1.198,1.2,1.199,1.192,1.177,1.183,1.206,1.199,1.196,1.211,1.218,1.217,1.211,1.218,1.243,1.206,1.226,1.24,1.245,1.224,1.23,1.248,1.207,1.205,1.196,1.192,1.187,1.232,1.253,1.233,1.219,1.216,1.215,1.214
Central African Republic,167.466,175.42,188.849,204.248,196.874,250.776,233.038,213.393,212.672,208.956,199.749,190.525,186.87,179.079,201.415,226.115,218.286,225.829,231.508,233.691,228.595,233.161,233.654,236.356,230.834,234.173,233.946,229.078,237.112,244.717,251.994,256.761,262.129,254.347,290.945,283.524,280.048,286.829,283.761,285.526,287.383,285.019,278.408,279.721,280.213,281.408,282.774,284.181
Chad,89.435,138.414,139.882,144.463,163.58,149.217,131.003,121.324,126.285,120.548,115.81,104.169,97.286,90.728,133.755,145.47,159.378,162.603,171.646,156.443,161.069,179.255,179.871,176.491,188.641,225.098,240.031,241.724,257.524,231.622,243.054,258.131,285.354,308.42,300.386,252.075,246.884,243.655,243.459,242.959,234.892,241.822,256.529,247.912,242.825,240.432,239.475,239.208
Chile,30.103,30.657,32.521,40.475,44.845,59.71,71.467,87.768,104.023,113.587,134.114,158.688,176.586,192.819,215.512,235.923,238.749,241.875,241.684,243.682,248.529,251.708,255.747,261.733,273.824,284.754,309.079,316.431,310.348,322.075,345.086,348.017,347.228,349.681,367.214,391.361,409.978,411.264,408.07,411.134,441.762,456.629,454.906,463.49,466.369,469.981,472.963,476.43
"China, People's Republic of",1.5,1.413,1.336,1.3,1.316,1.404,1.446,1.483,1.606,1.682,1.716,1.762,1.859,2.091,2.465,2.743,2.872,2.869,2.808,2.733,2.729,2.725,2.703,2.723,2.833,2.868,2.889,3.033,3.193,3.168,3.326,3.524,3.561,3.664,3.759,3.871,3.989,4.184,4.229,4.242,4.244,4.138,4.029,4.043,4.039,4.042,4.045,4.053
Colombia,27.99,31.392,36.888,42.74,50.401,61.014,77.255,93.014,114.778,137.712,170.223,207.581,249.68,302.204,371.682,432.677,496.569,570.359,647.335,718.913,781.394,813.99,849.333,889.773,929.621,951.448,976.568,1000.338,1056.868,1092.818,1120.923,1168.243,1203.585,1206.679,1220.607,1276.479,1285.21,1314.787,1343.573,1372.795,1374.846,1406.632,1422.831,1428.657,1437.664,1452.396,1467.896,1483.438
Comoros,158.563,154.569,160.592,168.71,172.77,170.091,169.373,170.549,167.038,169.748,158.974,169.403,157.743,157.566,173.871,180.846,182.809,181.536,181.96,186.356,193.827,203.585,208.122,214.157,209.468,202.268,207.892,212.614,215.173,215.911,216.921,218.978,213.964,211.5,206.343,203.344,197.571,190.126,187.472,192.46,191.881,184.806,178.304,174.395,172.189,171.441,171.317,171.215
"Congo, Dem. Rep. of the",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.07,0.51,1.465,1.929,10.261,62.61,105.965,137.433,152.855,158.336,199.376,219.181,256.675,303.387,399.904,477.292,532.063,583.255,558.907,530.018,508.596,494.127,645.391,818.442,836.225,881.928,993.845,994.561,1022.509,1046.968,1069.671,1094.749,1132.263
"Congo, Republic of ",149.469,140.306,136.044,134.807,134,133.796,135.118,135.861,113.5,101.91,97.44,98.542,93.781,88.567,118.742,119.482,134.309,137.575,110.08,138.778,192.569,170.77,173.535,163.556,191.658,221.708,239.548,248.965,284.024,222.483,284.513,309.251,316.116,316.152,314.805,311.999,316.625,297.674,358.779,350.076,298.334,344.119,412.131,377.175,356.133,343.812,336.986,332.727
Costa Rica,5.076,6.544,11.35,14.083,15.861,18.533,21.447,23.052,26.462,29.346,33.519,53.176,62.248,67.152,76.051,90.308,102.053,115.05,127.352,139.433,149.147,160.04,173.006,187.723,207.222,227.068,248.872,267.808,292.787,319.146,336.26,344.546,353.785,357.828,363.422,364.163,352.897,350.817,350.144,352.82,349.163,342.033,332.839,334.157,336.361,339.378,342.756,346.026
Croatia,,,,,,,,,,,,,0.082,1.262,2.615,2.703,2.755,2.897,3.101,3.172,3.24,3.303,3.377,3.454,3.486,3.486,3.513,3.566,3.692,3.777,3.767,3.753,3.664,3.575,3.543,3.511,3.382,3.327,3.315,3.319,3.276,3.247,3.2,3.219,3.21,3.213,3.209,3.206
Cyprus,0.464,0.474,0.491,0.498,0.519,0.533,0.544,0.552,0.55,0.555,0.564,0.567,0.588,0.604,0.622,0.634,0.639,0.642,0.647,0.653,0.656,0.665,0.657,0.679,0.679,0.672,0.672,0.681,0.7,0.697,0.702,0.699,0.707,0.687,0.68,0.663,0.622,0.615,0.607,0.603,0.589,0.579,0.568,0.571,0.575,0.579,0.582,0.586
Czech Republic,,,,,,,,,,,,,,,,10.91,11.746,12.507,13.581,13.799,13.742,14.097,14.258,14.163,14.351,13.928,13.6,13.711,13.723,13.989,13.625,13.345,13.298,12.785,12.703,12.935,12.578,12.378,12.399,12.655,13.054,13.06,12.824,12.739,12.688,12.698,12.702,12.708
Côte d'Ivoire,141.892,133.505,136.157,140.625,158.333,155.365,149.936,140.389,134.29,128.67,118.414,115.301,112.709,116.86,168.56,186.03,191.067,195.744,200.61,199.378,199.339,209.366,219.898,225.995,213.725,209.923,207.191,207.657,221.073,224.818,234.114,236.911,241.715,247.242,246.519,250.638,252.411,253.746,249.399,245.507,244.966,241.777,236.033,233.164,230.748,229.052,227.328,226.248
Denmark,6.593,6.667,6.917,7.148,7.309,7.389,7.411,7.576,7.607,7.683,7.599,7.546,7.5,7.369,7.328,7.269,7.282,7.303,7.311,7.331,7.384,7.404,7.461,7.425,7.383,7.366,7.294,7.275,7.433,7.425,7.573,7.466,7.564,7.355,7.329,7.303,7.081,6.852,6.742,6.673,6.765,6.662,6.492,6.447,6.428,6.437,6.454,6.471
Djibouti,,,,,,,,,,,67.427,69.787,70.145,71.635,75.016,77.06,78.021,79.005,79.836,80.414,80.282,80.127,78.897,78.928,79.393,79.43,79.745,81.509,87.7,88.496,90.901,93.572,98.27,100.152,102.111,103.302,106.126,106.023,103.925,105.488,106.084,103.058,100.633,101.852,102.387,102.839,103.376,103.898
Dominica,1.581,1.47,1.45,1.499,1.536,1.607,1.665,1.717,1.733,1.808,1.798,1.873,1.911,1.917,2.02,1.994,2.023,2.017,2.045,2.068,1.986,1.983,1.968,1.87,1.89,1.806,1.793,1.773,1.765,1.895,1.878,1.87,1.859,1.867,1.811,1.841,1.826,1.738,1.714,1.709,1.676,1.618,1.598,1.617,1.609,1.609,1.609,1.609
Dominican Republic,0.632,0.619,0.627,0.643,0.77,1.033,1.108,1.237,1.715,2.04,2.959,4.529,4.675,4.794,5.17,5.552,5.653,6.082,6.406,6.559,6.876,7.13,7.507,9.825,13.89,14.246,14.737,15.445,16.729,17.204,17.925,18.976,20.189,20.887,21.359,21.151,20.819,21.613,21.979,22.138,22.908,23.77,24.157,24.674,25.092,25.572,26.083,26.599
Ecuador,0.647,0.582,0.541,0.471,0.464,0.504,0.351,0.341,0.283,0.267,0.254,0.262,0.27,0.302,0.342,0.356,0.36,0.381,0.371,0.276,0.248,0.311,0.343,0.372,0.378,0.395,0.414,0.43,0.48,0.48,0.51,0.528,0.551,0.543,0.544,0.554,0.549,0.535,0.532,0.525,0.517,0.509,0.506,0.499,0.49,0.483,0.477,0.47
Egypt,0.186,0.182,0.189,0.204,0.205,0.216,0.224,0.299,0.333,0.388,0.457,0.501,0.611,0.655,0.685,0.749,0.788,0.821,0.843,0.839,0.86,0.857,0.864,0.905,0.984,1.013,1.055,1.157,1.274,1.407,1.531,1.675,1.747,1.875,2.162,2.296,2.563,3.267,3.874,4.324,4.539,4.567,4.654,5.026,5.281,5.563,5.866,6.186
El Salvador,0.387,0.331,0.328,0.298,0.207,0.194,0.191,0.185,0.205,0.223,0.312,0.325,0.328,0.348,0.374,0.407,0.426,0.433,0.446,0.444,0.449,0.453,0.453,0.457,0.458,0.463,0.468,0.476,0.483,0.48,0.487,0.505,0.524,0.51,0.496,0.488,0.473,0.463,0.459,0.455,0.447,0.447,0.443,0.441,0.438,0.436,0.433,0.43
Equatorial Guinea,74.381,77.766,102.843,123.462,149.711,221.71,210.981,209.014,209.924,192.315,195.999,196.765,164.841,157.5,191.799,187.86,202.934,174.664,117.214,159.916,134.521,122.488,118.159,153.952,165.228,203.552,226.532,227.272,267.238,210.224,259.465,297.509,295.038,289.679,284.185,277.464,267.943,248.934,266.257,255.832,229.196,278.51,333.205,301.013,287.113,283.392,284.553,286.728
Eritrea,,,,,,,,,,,,,1.001,0.999,1.105,1.208,1.312,1.343,1.452,1.552,1.819,2.047,2.341,2.798,3.401,3.549,3.835,4.006,4.413,5.494,6.003,6.077,6.391,6.09,6.072,5.827,5.809,5.47,4.979,4.655,4.865,4.948,5.03,5.097,5.085,5.065,5.067,5.066
Estonia,,,,,,,,,,,,,,0.135,0.185,0.244,0.293,0.317,0.335,0.352,0.357,0.372,0.385,0.392,0.399,0.41,0.434,0.474,0.497,0.492,0.495,0.512,0.521,0.522,0.527,0.537,0.528,0.534,0.542,0.55,0.541,0.548,0.56,0.566,0.57,0.578,0.585,0.592
Eswatini,0.582,0.592,0.609,0.622,0.663,0.753,0.817,0.845,1.005,1.04,1.107,1.166,1.266,1.443,1.624,1.848,1.96,2.144,2.277,2.366,2.544,2.71,2.906,3.021,3.056,3.157,3.187,3.258,3.53,3.851,3.927,4.052,4.497,4.69,4.982,5.323,5.788,6.206,6.231,6.274,6.362,6.262,5.94,6.035,6.207,6.376,6.549,6.721
Ethiopia,1.456,1.365,1.34,1.329,1.241,1.59,1.476,1.352,1.346,1.369,1.364,1.573,1.781,1.969,1.978,2.184,2.129,2.108,2.092,2.085,2.084,1.938,1.838,2.031,2.092,2.212,2.378,2.705,3.446,4.201,4.291,5.036,6.641,7.081,7.144,7.767,8.056,8.521,9.276,10.221,11.942,13.881,17.41,22.587,27.73,31.105,34.333,37.373
Fiji,0.624,0.577,0.579,0.597,0.584,0.608,0.62,0.654,0.662,0.618,0.635,0.651,0.676,0.705,0.696,0.689,0.697,0.71,0.755,0.795,0.742,0.75,0.763,0.809,0.805,0.85,0.855,0.858,0.853,0.86,0.885,0.949,0.93,0.935,0.932,0.911,0.937,0.939,0.93,0.936,0.91,0.884,0.865,0.865,0.868,0.873,0.877,0.882
Finland,0.74,0.754,0.775,0.807,0.845,0.862,0.885,0.901,0.937,0.96,0.978,0.96,0.947,0.941,0.939,0.958,0.94,0.943,0.962,0.957,0.951,0.961,0.955,0.939,0.92,0.9,0.881,0.881,0.891,0.901,0.893,0.898,0.908,0.905,0.907,0.908,0.881,0.863,0.86,0.858,0.861,0.849,0.822,0.818,0.813,0.808,0.807,0.806
France,0.782,0.797,0.843,0.889,0.917,0.937,0.966,0.965,0.964,0.957,0.946,0.939,0.937,0.93,0.919,0.909,0.905,0.898,0.896,0.887,0.879,0.877,0.881,0.88,0.873,0.862,0.853,0.852,0.857,0.851,0.851,0.841,0.844,0.812,0.808,0.808,0.78,0.766,0.756,0.753,0.763,0.738,0.708,0.704,0.699,0.698,0.695,0.693
Gabon,145.272,160.332,164.399,172.205,174.719,173.32,175.085,132.609,135.247,131.981,146.816,125.86,123.315,119.846,171.966,170.687,190.351,188.896,153.569,180.519,226.097,207.266,204.936,201.611,210.686,250.708,263.846,271.278,304.793,256.066,295.081,325.733,326.274,316.435,310.415,297.011,289.721,279.766,292.827,292.149,262.294,300.583,342.64,317.487,302.48,292.921,286.385,284.345
"Gambia, The",1.44,1.593,1.362,1.34,1.428,1.69,2.246,2.919,3.052,3.342,3.715,4.113,4.342,4.482,4.729,4.668,4.772,4.99,4.964,5.056,5.123,5.771,6.597,8.241,9.005,9.091,8.934,9.083,9.132,9.484,9.9,10.142,10.831,11.873,12.506,13.588,14.483,15.286,15.967,16.667,17.134,17.26,17.234,17.871,18.287,18.675,19.038,19.456
Georgia,,,,,,,,,,,0,0,0,0.001,0.111,0.286,0.4,0.419,0.443,0.48,0.491,0.506,0.528,0.535,0.565,0.591,0.622,0.663,0.713,0.693,0.761,0.811,0.743,0.725,0.723,0.754,0.748,0.805,0.82,0.847,0.898,0.956,0.99,1.013,1.017,1.027,1.037,1.047
Germany,0.926,0.882,0.871,0.865,0.852,0.844,0.854,0.848,0.831,0.819,0.815,0.903,0.93,0.944,0.943,0.942,0.93,0.917,0.913,0.904,0.879,0.871,0.87,0.864,0.851,0.828,0.807,0.799,0.792,0.801,0.797,0.789,0.787,0.775,0.769,0.778,0.753,0.741,0.738,0.74,0.742,0.735,0.725,0.724,0.72,0.719,0.718,0.718
Ghana,0.001,0.001,0.001,0.003,0.004,0.005,0.007,0.01,0.012,0.015,0.02,0.023,0.025,0.029,0.037,0.051,0.07,0.083,0.096,0.108,0.134,0.177,0.214,0.27,0.299,0.334,0.363,0.409,0.473,0.538,0.618,0.697,0.766,0.884,1.047,1.266,1.544,1.764,1.905,2.03,2.149,2.286,2.455,2.629,2.794,2.934,3.071,3.2
Greece,0.084,0.093,0.111,0.129,0.152,0.176,0.205,0.23,0.259,0.286,0.333,0.385,0.432,0.483,0.526,0.566,0.598,0.627,0.651,0.665,0.661,0.669,0.681,0.691,0.693,0.687,0.69,0.695,0.711,0.725,0.721,0.713,0.685,0.631,0.611,0.609,0.589,0.576,0.562,0.553,0.542,0.531,0.528,0.519,0.514,0.513,0.512,0.511
Grenada,1.559,1.465,1.437,1.407,1.442,1.52,1.552,1.592,1.642,1.723,1.657,1.709,1.738,1.729,1.745,1.76,1.775,1.778,1.788,1.781,1.789,1.787,1.766,1.731,1.72,1.708,1.734,1.728,1.829,1.817,1.804,1.771,1.8,1.769,1.733,1.736,1.73,1.69,1.639,1.664,1.639,1.593,1.546,1.55,1.541,1.54,1.543,1.547
Guatemala,0.402,0.399,0.395,0.404,0.406,0.468,0.649,0.684,0.737,0.787,1.066,1.372,1.461,1.635,1.789,1.904,2.036,2.168,2.347,2.431,2.541,2.673,2.793,2.853,2.923,2.981,3.029,3.141,3.366,3.385,3.511,3.637,3.648,3.717,3.767,3.732,3.858,3.933,3.887,3.959,4.015,3.949,3.827,3.856,3.901,3.953,4.009,4.065
Guinea,64.378,63.894,78.028,97.102,117.38,135.401,225.189,279.659,328.627,386.794,437.265,532.77,657.47,646.549,641.878,665.651,655.504,655.276,677.625,692.491,700.187,695.123,696.723,802.084,908.691,1249.137,1564.156,1735.307,1986.925,2017.74,2328.07,2485.901,2789.94,2932.747,3059.935,3164.996,3159.342,3216.035,3362.728,3632.334,3976.775,4299.484,4555.205,4952.039,5200.364,5478.42,5785.946,6115.339
Guinea-Bissau,139.227,210.255,261.391,340.607,248.484,348.819,259.974,176.426,154.182,185.747,177.625,234.302,223.271,178.259,185.912,336.178,311.102,312.654,341.144,294.615,222.023,225.3,229.328,223.607,205.826,205.783,191.153,197.272,218.264,208.578,216.849,230.392,232.193,229.744,223.304,223.351,224.407,222.749,206.158,195.543,191.283,188.609,182.442,182.084,182.685,184.028,185.531,187.014
