"GDP, current prices (Purchasing power parity; billions of international dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
"Congo, Dem. Rep. of the",20.274,22.402,23.678,24.952,27.105,28.092,30.01,31.574,32.839,33.697,32.662,30.914,28.311,25.079,24.041,25.223,25.188,23.613,22.954,22.392,21.036,21.058,22.017,23.704,25.98,28.439,30.876,33.696,36.48,37.762,40.932,44.655,46.214,53.768,62.685,69.036,75.927,86.267,93.465,99.313,102.254,112.622,127.384,140.29,153.426,167.178,181.703,197.598
"Congo, Republic of ",3.061,3.438,3.738,3.978,4.219,4.455,4.651,4.877,6.155,7.757,8.129,8.689,9.259,9.603,9.671,10.265,10.818,10.894,12.003,11.724,13.399,13.04,13.374,13.701,14.041,15.815,17.605,16.885,18.294,20.553,22.866,23.856,28.576,28.056,28.096,22.531,19.019,21.679,21.121,21.406,19.899,20.693,22.519,23.817,26.201,27.15,27.773,29.278
Costa Rica,8.195,8.768,8.631,9.226,10.326,10.729,11.551,12.401,13.279,14.582,15.672,16.569,18.505,20.288,21.658,23.031,23.769,25.503,27.636,29.206,31.023,32.83,34.481,36.679,39.33,42.177,46.664,51.862,55.361,55.229,58.889,62.759,67.139,71.16,77.049,82.853,90.838,97.896,102.857,107.228,104.124,116.672,128.134,136.126,144,151.625,159.492,167.798
Croatia,,,,,,,,,,,,,39.175,36.896,39.907,43.447,46.841,50.815,52.344,52.585,55.792,58.779,63.111,67.913,72.63,78.138,84.527,91.075,94.582,88.256,88.2,89.956,91.316,93.971,94.622,97.976,105.229,111.909,117.905,124.193,115.509,132.881,145.032,155.361,163.961,172.342,181.004,190.135
Cyprus,3.008,3.393,3.829,4.19,4.725,5.106,5.395,5.923,6.642,7.461,8.313,8.658,9.684,9.983,10.798,12.118,12.494,13.045,13.998,14.905,16.152,17.169,18.085,18.926,20.411,22.073,23.826,25.717,27.167,26.79,27.658,28.346,27.503,26.181,25.644,26.976,30.414,32.923,35.629,38.182,36.716,40.35,43.802,46.699,49.29,51.673,54.168,56.862
Czech Republic,,,,,,,,,,,,,,,,146.309,155.73,157.594,158.8,163.266,173.645,182.961,188.729,199.351,214.557,235.894,259.628,281.498,294.603,282.683,293.046,304.401,307.49,324.03,342.1,357.6,381.382,412.903,436.289,457.548,436.214,469.135,509.953,547.42,581.179,611.678,639.317,668.34
Côte d'Ivoire,20.664,23.41,24.906,25.234,25.622,27.384,29.276,29.85,31.255,33.439,34.312,35.487,36.205,36.996,37.851,40.798,44.925,48.315,51.268,52.831,52.91,54.168,54.095,54.413,56.561,59.339,62.097,64.901,67.828,70.482,72.768,70.672,78.215,86.354,97.907,108.069,112.61,118.051,129.2,139.706,144.148,159.898,180.059,197.891,215.739,233.811,252.716,273.196
Denmark,60.799,66.113,72.78,77.592,83.746,89.854,96.155,98.783,102.259,106.951,112.587,118.021,123.075,126.002,135.551,142.585,149.414,156.945,162.224,169.36,179.69,185.25,189.016,193.495,203.99,215.313,230.64,239.023,242.362,231.95,239.122,247.352,250.525,262.368,270.331,278.823,297.689,320.054,334.223,347.395,344.334,373.45,406.011,425.309,443.623,460.866,478.392,496.668
Djibouti,,,,,,,,,,,,1.653,1.7,1.623,1.635,1.611,1.579,1.587,1.607,1.677,1.727,1.798,1.885,1.983,2.093,2.226,2.405,2.594,2.798,2.861,3.016,3.303,3.436,3.625,3.857,4.207,4.385,4.638,5.152,5.589,5.713,6.188,6.774,7.326,7.957,8.607,9.303,10.057
Dominica,0.124,0.151,0.167,0.178,0.192,0.201,0.219,0.239,0.267,0.277,0.302,0.317,0.331,0.346,0.353,0.372,0.39,0.406,0.426,0.433,0.453,0.463,0.457,0.496,0.525,0.545,0.588,0.642,0.701,0.697,0.71,0.723,0.706,0.721,0.776,0.793,0.852,0.839,0.889,0.973,0.876,0.946,1.074,1.161,1.244,1.321,1.381,1.443
