"GDP, current prices (Purchasing power parity; billions of international dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Pakistan,78.978,91.817,104.862,116.366,125.356,140.581,152.537,165.392,182.245,198.498,215.376,234.075,257.53,269.164,286.923,307.767,334.085,345.632,361.734,382.172,406.104,423.422,443.403,473.522,522.617,587.292,640.638,694.379,742.996,750.455,779.074,824.079,847.095,883.375,931.731,981.558,1010.73,1058.469,1149.817,1206.902,1209.203,1329.554,1468.862,1576.501,1689.613,1807.014,1934.692,2071.746
Palau,,,,,,,,,,,,,,,,,,,,,0.154,0.173,0.183,0.182,0.194,0.207,0.213,0.221,0.213,0.201,0.2,0.214,0.222,0.223,0.238,0.261,0.266,0.262,0.268,0.268,0.245,0.211,0.243,0.297,0.313,0.329,0.344,0.36
Panama,6.997,8.364,9.355,9.285,9.881,10.697,11.302,11.372,10.198,10.763,12.07,13.653,15.11,16.312,17.135,17.801,19.463,21.082,22.882,24.105,25.326,26.041,27.041,28.74,31.727,35.072,39.242,45.184,50.589,51.546,55.206,62.728,70.434,79.815,89.33,100.479,112.346,125.038,132.743,139.144,115.551,138.81,158.608,171.537,184.548,197.748,211.72,226.718
Papua New Guinea,3.179,3.52,3.768,4.05,4.155,4.44,4.786,5.039,5.369,5.5,5.527,6.261,7.289,8.457,9.543,9.408,10.212,9.729,10.299,10.638,10.608,10.834,10.985,12.215,12.616,13.565,14.338,15.876,16.133,17.34,19.326,19.946,21.265,22.465,25.985,27.971,29.803,31.442,32.103,34.141,33.34,35.331,39.339,42.265,44.621,46.886,49.251,51.744
Paraguay,11.131,13.301,13.926,14.031,14.947,16.016,16.382,17.471,19.15,21.059,22.747,24.337,25.314,27.193,29.251,31.902,32.998,34.991,35.409,35.417,35.381,35.877,36.428,38.752,41.407,43.616,47.124,51.021,55.377,55.587,62.497,66.53,64.335,72.02,75.594,76.83,81.617,86.46,91.362,92.623,92.97,100.901,107.554,115.768,122.77,129.672,136.85,144.451
Peru,53.843,62.156,65.783,61.982,66.659,70.204,80.287,88.639,83.119,74.785,73.635,77.814,79.158,85.283,97.826,107.279,112.302,121.636,122.524,126.108,132.44,136.26,145.931,155.008,167.063,183.13,202.994,226.239,251.621,256.009,280.674,304.634,318.033,337.9,348.886,355.376,376.168,399.121,424.907,441.808,397.869,469.509,513.715,545.075,575.242,604.725,635.175,667.256
Philippines,92.074,104.235,114.681,121.406,116.576,111.475,117.605,125.71,138.93,153.338,163.907,168.711,173.277,181.254,193.222,206.398,222.494,238.069,239.511,251.014,267.951,282.342,297.398,318.695,348.748,377.462,409.796,448.308,476.755,486.76,528.741,560.551,612.131,654.004,699.662,733.864,798.601,854.095,929.955,1004.508,919.293,1011.099,1143.862,1252.267,1367.063,1485.358,1612.829,1751.799
Poland,171.568,169.02,170.766,187.391,193.443,207.266,218.828,229.402,245.293,264.63,254.847,245.009,255.686,272.968,293.405,319.711,345.877,376.774,399.996,423.984,452.059,467.815,481.964,508.671,548.352,585.38,640.441,704.195,747.842,773.952,812.553,868.897,903.837,934.553,968.368,1020.667,1075.284,1145.324,1235.465,1317.238,1299.137,1429.836,1575.777,1669.395,1764.448,1859.512,1958.761,2063.684
Portugal,59.193,67.076,72.761,76.345,78.276,82.073,86.505,95.41,104.049,115.319,129.037,137.896,145.453,147.877,153.285,160.11,168.755,179.22,189.951,200.152,212.498,221.509,226.696,229.019,239.373,248.81,260.655,274.409,280.564,273.547,281.646,282.621,277.992,292.135,298.952,307.312,326.331,340.796,358.879,375.1,347.571,379.687,419.652,441.327,463.043,482.695,501.543,521.216
Puerto Rico,22.184,24.543,25.264,26.377,29.329,30.879,34.073,36.632,40.392,44.05,47.426,50.16,53.645,57.467,61.151,65.274,68.007,72.555,78.154,82.753,87.397,97.827,101.508,105.935,110.94,112.145,113.976,115.696,115.74,114.207,115.102,117.073,118.421,119.192,119.065,118.146,117.009,114.27,112.142,115.845,112.663,118.519,132.001,136.508,137.63,139.047,141.074,143.874
Qatar,20.834,21.917,21.361,21.015,25.254,22.658,23.971,24.785,26.865,29.398,26.032,26.502,29.932,30.368,31.615,32.394,34.383,44.68,49.815,52.42,57.331,61.261,66.492,70.507,86.319,95.963,126.704,153.799,184.17,209.562,249.717,283.716,311.041,322.985,317.406,238.529,220.585,249.963,259.095,265.545,259.184,274.059,301.231,317.986,331.487,347.791,364.223,385.594
Romania,111.193,121.835,134.408,148.052,162.599,167.573,175.049,180.814,186.254,182.332,178.539,160.717,149.97,155.869,165.458,180.986,191.577,183.084,176.225,176.653,185.932,200.041,214.745,224.11,254.124,274.328,305.498,336.451,374.818,356.407,346.62,360.566,378.487,395.318,411.273,428.249,478.155,534.707,571.977,606.594,590.895,651.62,707.747,753.69,801.273,846.661,893.446,942.917
Russian Federation,,,,,,,,,,,,,1602.609,1497.86,1335.563,1307.66,1283.56,1323.738,1267.082,1366.548,1537.897,1652.594,1757.977,1924.417,2117.874,2323.559,2590.557,2887.648,3097.461,2873.513,3039.017,3259.319,3480.299,3741.783,3763.535,3526.236,3538.582,3818.781,4019.767,4181.617,4117.746,4490.456,4365.443,4393.698,4569.383,4709.687,4840.76,4971.396
Rwanda,2.108,2.364,2.448,2.698,3.157,3.4,3.66,3.739,3.882,3.804,3.963,3.921,4.275,3.922,2.328,2.96,3.364,3.932,4.307,4.513,5.001,5.548,6.377,6.648,7.334,8.273,9.314,10.298,11.666,12.473,13.549,14.932,15.707,16.686,18.915,20.516,21.966,23.665,26.308,29.315,28.672,32.911,37.211,41.165,45.51,49.926,54.014,58.446
Saint Kitts and Nevis,0.13,0.146,0.165,0.168,0.19,0.209,0.232,0.257,0.294,0.324,0.355,0.375,0.395,0.426,0.459,0.485,0.523,0.571,0.583,0.615,0.69,0.743,0.765,0.749,0.8,0.905,0.963,0.995,1.127,1.096,1.11,1.151,1.106,1.162,1.266,1.272,1.337,1.404,1.476,1.574,1.371,1.377,1.609,1.735,1.854,1.943,2.035,2.131
Saint Lucia,0.285,0.328,0.356,0.385,0.43,0.5,0.583,0.621,0.733,0.83,0.946,0.982,1.084,1.116,1.158,1.203,1.261,1.274,1.369,1.425,1.458,1.44,1.469,1.562,1.72,1.767,1.935,2.026,2.165,2.139,2.176,2.328,2.312,2.396,2.455,2.43,2.573,2.701,2.847,2.896,2.334,2.596,3.025,3.302,3.503,3.641,3.767,3.898
Saint Vincent and the Grenadines,0.191,0.217,0.236,0.253,0.276,0.297,0.32,0.33,0.386,0.414,0.451,0.476,0.522,0.553,0.558,0.609,0.627,0.661,0.698,0.723,0.753,0.782,0.833,0.902,0.961,1.013,1.113,1.178,1.206,1.199,1.161,1.178,1.195,1.257,1.304,1.323,1.434,1.439,1.518,1.552,1.487,1.541,1.72,1.885,1.993,2.093,2.191,2.295
Samoa,0.192,0.191,0.201,0.21,0.222,0.242,0.259,0.267,0.284,0.312,0.303,0.306,0.326,0.339,0.368,0.401,0.438,0.449,0.459,0.462,0.497,0.546,0.585,0.628,0.665,0.731,0.77,0.795,0.839,0.839,0.871,0.926,0.905,0.917,0.935,0.985,1.075,1.107,1.12,1.19,1.173,1.123,1.193,1.279,1.362,1.439,1.512,1.58
San Marino,,,,,,,,,,,,,,,,,,1.149,1.249,1.381,1.443,1.557,1.587,1.681,1.805,1.907,2.041,2.245,2.279,2.061,1.965,1.834,1.748,1.74,1.825,1.85,1.925,1.982,2.06,2.141,2.022,2.216,2.387,2.485,2.579,2.666,2.754,2.845
Saudi Arabia,418.074,466.519,392.661,342.542,338.361,314.871,375.858,359.609,421.094,435.406,520.329,618.658,657.989,664.397,682.38,698.165,729.701,750.476,780.881,762.083,823.191,831.545,820.697,930.98,1032.051,1123.745,1190.721,1245.489,1348.705,1329.398,1413.177,1586.748,1672.472,1680.158,1722.862,1541.833,1475.67,1565.892,1643.609,1678.596,1628.533,1751.188,2002.542,2137.752,2250.198,2357.578,2468.993,2587.507
Senegal,6.037,6.943,7.951,7.822,8.408,8.958,9.423,10.245,10.543,11.393,11.739,12.446,12.888,13.366,13.621,14.754,15.305,15.992,17.138,18.419,19.568,20.871,21.211,22.84,24.542,26.403,27.852,29.413,31.087,32.147,33.637,34.794,36.714,37.797,40.124,43.318,46.119,49.402,53.723,57.207,58.665,64.81,72.341,81.385,91.745,98.893,106.536,113.011
Serbia,,,,,,,,,,,,,,,,,,46.629,48.3,43.031,47.42,50.909,55.382,58.968,66.029,75.015,81.279,88.851,95.677,93.659,95.478,99.446,100.311,104.804,104.531,105.951,111.92,116.697,124.856,132.594,132.925,148.679,163.599,175.25,186.747,198.199,210.182,222.928
Seychelles,0.275,0.29,0.301,0.311,0.336,0.383,0.393,0.423,0.461,0.528,0.589,0.626,0.686,0.753,0.751,0.77,0.863,0.984,1.02,1.054,1.124,1.123,1.154,1.108,1.105,1.242,1.401,1.589,1.585,1.578,1.698,1.832,1.904,2.012,2.255,2.311,2.54,2.695,2.847,2.988,2.79,3.137,3.489,3.795,4.083,4.354,4.64,4.945
Sierra Leone,2.777,3.096,3.346,3.422,3.606,3.469,3.544,3.718,3.928,4.285,4.517,4.296,3.97,4.067,4.299,3.949,3.024,2.535,2.542,2.369,2.515,3.039,3.901,4.349,4.761,5.131,5.513,6.118,6.572,6.825,7.277,7.897,9.434,11.988,12.544,11.469,12.3,12.234,12.96,13.885,13.776,14.806,16.277,17.49,18.79,20.152,21.456,22.823
Singapore,22.883,27.757,31.565,35.607,40.136,41.147,42.539,48.299,55.634,63.689,72.561,80.032,87.291,99.6,113.015,123.664,135.337,149.12,147.494,158.126,176.324,178.366,188.253,200.699,226.572,250.891,281.927,315.667,327.716,330.238,382.734,414.967,435.965,448.14,461.772,481.405,501.496,534.906,567.736,584.224,566.768,635.27,701.804,743.482,781.97,817.841,854.974,893.624
Slovak Republic,,,,,,,,,,,,,,43.952,47.677,52.509,57.181,60.753,63.941,64.773,67.013,70.753,75.096,80.789,87.337,96.042,107.414,122.266,131.558,125.178,134.12,140.805,145.827,151.589,157.124,162.322,160.984,167.957,178.494,186.421,180.444,193.62,211.119,228.33,242.84,257.236,269.903,282.967
Slovenia,,,,,,,,,,,,,22.321,23.489,25.263,26.85,28.326,30.27,31.615,33.769,35.803,37.787,39.721,41.704,44.691,47.843,52.153,57.301,60.45,56.245,57.686,59.391,59.745,61.745,63.653,65.283,70.072,75.777,81.019,85.149,82.53,92.936,102.424,108.65,114.57,120.266,126.039,132.011
Solomon Islands,0.223,0.24,0.25,0.27,0.28,0.28,0.285,0.317,0.332,0.36,0.382,0.418,0.482,0.513,0.567,0.637,0.659,0.664,0.68,0.687,0.602,0.566,0.559,0.607,0.665,0.724,0.783,0.84,0.905,0.935,1.027,1.125,1.167,1.251,1.288,1.319,1.411,1.514,1.612,1.66,1.608,1.672,1.705,1.813,1.914,2.012,2.114,2.221
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.661,11.362,10.594,12.498,14.94,16.109,15.743,16.736,17.599,17.749,18.857,20.641,22.026,23.403,24.815,26.315,27.938
South Africa,,,,,,,,,,,,,,275.983,290.899,306.205,325.22,339.429,344.966,358.222,381.724,400.863,422.175,443.204,475.829,516.648,562.435,608.599,640.063,634.257,661.392,696.526,698.221,730.518,741.916,758.901,772.769,790.171,821.082,836.716,792.333,865.82,937.964,979.648,1017.817,1053.224,1088.979,1126.141
"South Sudan, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.402,14.508,17.633,17.392,16.179,12.577,11.185,11.231,11.532,10.902,11.96,13.533,14.716,15.775,16.833,17.92,19.08
Spain,294.435,320.976,345.03,364.466,384.033,405.533,427.895,463.512,505.215,551.298,593.93,629.524,649.347,656.004,685.658,728.891,760.21,803.21,848.548,901.338,968.334,1029.128,1073.673,1127.531,1193.9,1276.364,1369.742,1457.433,1498.582,1451.343,1471.25,1489.595,1483.647,1512.074,1558.307,1621.505,1733.039,1843.933,1931.225,2006.709,1811.093,1983.12,2209.419,2351.186,2483.664,2584.081,2680.703,2778.603
Sri Lanka,16.339,18.841,21.051,22.601,24.991,27.06,28.786,29.927,31.818,33.81,37.241,42.666,42.271,46.508,51.318,55.565,63.464,71.202,70.818,73.884,81.918,82.132,86.52,93.469,101.204,110.893,123.081,134.998,145.774,151.9,166.048,183.744,210.688,223.39,233.895,242.361,259.19,269.854,285.34,296.995,289.846,312.69,340.861,360.703,380.076,398.86,418.046,438.559
Sudan,20.182,23.487,25.968,26.577,25.987,26.641,29.877,32.595,35.192,37.093,38.804,42.934,46.346,48.749,51.54,57.283,61.52,66.371,72.65,76.794,85.119,96.495,103.821,112.528,121.484,132.37,145.367,157.858,167.074,163.491,171.84,169.773,137.75,142.298,168.145,170.579,220.533,191.889,191.974,190.523,185.82,194.51,207.336,221.931,240.015,261.64,284.128,307.075
Suriname,2.187,2.44,2.427,2.394,2.406,2.46,2.449,2.289,2.625,2.791,2.852,2.541,2.701,2.704,2.568,2.919,3.305,3.597,3.718,3.736,3.817,4.094,4.314,4.671,5.147,5.57,6.073,6.555,6.958,7.213,7.677,8.295,9.148,9.854,10.226,9.623,8.509,10.431,11.209,11.534,9.817,9.865,10.676,11.233,11.815,12.417,13.041,13.699
Sweden,87.604,100.245,107.926,114.461,123.748,130.63,137.22,145.257,154.09,164.389,171.821,175.673,177.996,178.882,189.883,201.494,208.424,218.528,230.516,243.693,261.092,270.845,281.109,293.278,314.211,333.329,359.637,382.059,387.631,373.185,400.15,421.516,432.488,444.617,457.508,481.3,500.373,530.433,553.695,574.794,564.594,616.289,674.263,713.372,747.583,778.486,810.065,842.795
Switzerland,114.301,127.127,133.041,139.034,148.681,159.157,165.275,171.996,183.701,199.432,214.539,219.922,224.434,229.307,237.194,243.55,249.398,259.365,270.236,278.646,296.568,308.234,313.134,319.064,336.242,356.678,382.922,409.238,428.146,422.042,440.782,458.572,479.447,503.67,525.099,546.963,570.047,588.111,619.864,638.794,630.23,680.853,739.494,772.369,805.627,832.008,863.647,891.358
Syria,18.922,22.465,24.469,25.835,25.028,27.704,26.917,27.928,32.591,31.814,36.423,41.694,48.293,53.1,57.236,61.605,64.594,64.991,69.373,68.155,71.298,75.587,81.292,81.208,89.144,97.654,105.747,114.767,122.204,130.259,136.359,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,0.138,0.136,0.148,0.148,0.144,0.163,0.156,0.155,0.164,0.176,0.179,0.187,0.192,0.199,0.208,0.217,0.224,0.23,0.238,0.248,0.254,0.266,0.277,0.301,0.321,0.355,0.399,0.423,0.466,0.481,0.519,0.553,0.557,0.638,0.747,0.765,0.79,0.811,0.855,0.89,0.928,0.984,1.063,1.125,1.193,1.263,1.339,1.42
Taiwan Province of China,61.57,72.18,80.326,91.004,103.763,112.19,127.624,147.456,164.905,186.319,204.002,228.557,253.192,276.854,303.984,330.526,357.368,385.528,406.261,439.72,478.077,481.996,516.34,548.775,602.68,655.041,714.22,783.772,805.185,797.275,889.524,941.367,973.232,1015.239,1066.102,1102.036,1112.781,1143.224,1203.154,1262.201,1320.321,1461.583,1603.723,1699.499,1779.734,1854.287,1930.332,2009.879
Tajikistan,,,,,,,,,,,,,8.099,7.37,5.917,5.286,5.148,5.325,5.671,5.963,6.605,7.442,8.246,9.267,10.524,11.581,12.774,14.143,15.553,16.263,17.528,19.216,21.657,24.57,27.63,25.288,26.986,28.887,31.825,34.791,36.756,41.806,45.54,48.549,51.734,54.906,58.225,61.756
Tanzania,10.461,11.508,12.293,13.081,14.014,15.122,16.444,17.845,19.288,20.806,23.105,24.381,25.082,25.987,26.958,28.505,30.347,31.958,33.516,35.634,38.239,41.446,45.107,49.165,54.436,60.281,65.037,72.449,77.948,82.67,88.984,98.013,95.918,103.322,108.827,117.377,127.683,134.162,146.926,159.979,169.689,185.39,206.568,223.917,242.883,262.39,283.67,306.54
Thailand,74.669,86.563,96.832,106.24,116.415,125.671,135.296,151.84,178.083,207.632,240.438,269.457,301.035,334.905,369.414,407.786,438.723,433.999,405.379,429.888,459.213,485.732,523.636,572.359,624.687,671.257,726.346,786.52,815.436,814.994,886.76,912.79,1008.787,1049.948,1059.446,1087.227,1146.041,1205.839,1286.782,1337.984,1270.215,1343.727,1475.656,1585.228,1686.341,1778.542,1872.104,1967.618
Timor-Leste,,,,,,,,,,,,,,,,,,,,,1.105,1.315,1.246,1.242,1.281,1.361,1.345,1.523,1.729,1.916,2.12,2.293,2.658,2.864,3.195,3.484,3.817,3.95,4.017,4.888,5.504,5.446,4.573,4.807,4.979,5.203,5.433,5.707
Togo,2.714,2.869,2.933,2.891,3.172,3.394,3.575,3.572,4.073,4.406,4.84,4.974,4.925,4.219,4.909,5.999,5.872,6.201,6.128,6.373,6.454,6.653,7.016,7.635,7.763,7.633,8.077,8.197,8.694,9.234,9.915,10.769,11.214,11.966,12.793,13.806,14.676,15.491,16.649,17.873,18.406,20.149,22.612,24.735,26.992,29.335,31.857,34.601
Tonga,0.067,0.083,0.1,0.11,0.164,0.178,0.198,0.206,0.206,0.216,0.235,0.257,0.253,0.259,0.27,0.297,0.303,0.306,0.317,0.328,0.349,0.362,0.384,0.392,0.394,0.405,0.408,0.409,0.437,0.417,0.425,0.463,0.476,0.486,0.505,0.516,0.555,0.585,0.6,0.616,0.627,0.649,0.678,0.719,0.759,0.794,0.824,0.855
Trinidad and Tobago,7.566,8.661,9.545,8.897,8.688,8.594,8.479,8.293,8.249,8.501,8.952,9.543,10.746,10.927,11.558,12.25,13.364,14.618,15.983,17.509,19.141,20.296,22.087,25.649,28.267,30.872,36.338,38.908,40.957,39.231,41.077,41.85,40.459,40.731,40.499,37.892,36.333,37.754,38.383,39.003,36.562,37.706,42.259,44.817,47.472,48.965,50.424,51.953
Tunisia,14.468,16.711,17.658,19.207,21.041,22.937,23.058,25.212,26.12,27.844,30.93,33.299,36.786,38.59,40.844,42.815,46.587,50.104,53.182,57.177,60.987,64.728,66.606,71.115,77.577,82.8,89.831,98.448,104.588,108.462,113.62,113.607,116.403,117.962,121.97,121.024,124.271,128.449,134.868,139.355,127.862,137.297,149.184,,,,,
Turkey,159.188,181.854,199.712,217.406,240.621,258.8,282.337,318.331,336.546,350.629,397.415,414.661,449.491,497.151,480.066,525.373,572.48,626.189,652.819,640.415,700.332,674.933,729.649,786.931,887.212,997.317,1099.523,1186.19,1218.79,1167.44,1281.037,1454.112,1550.688,1703.67,1860.471,2022.94,2116.184,2282.304,2406.459,2471.299,2545.939,2943.074,3212.072,3409.063,3621.495,3818.713,4023.68,4238.949
Turkmenistan,,,,,,,,,,,,,17.21,15.856,13.393,12.69,12.056,10.878,11.738,13.867,16.817,20.702,24.34,29.064,34.229,39.905,45.648,52.066,60.89,65.038,76.479,88.101,90.058,89.473,94.076,93.772,90.491,99.986,103.277,101.562,99.75,109.016,117.672,124.291,129.939,135.171,140.231,145.55
Tuvalu,,,,,,,,,,,,,,,,,,,,,0.023,0.024,0.026,0.026,0.026,0.026,0.027,0.029,0.032,0.03,0.03,0.033,0.032,0.034,0.035,0.039,0.041,0.044,0.045,0.053,0.054,0.057,0.063,0.067,0.071,0.076,0.08,0.085
Uganda,5.919,6.729,7.731,8.427,8.469,8.475,8.727,9.301,10.428,11.53,12.739,13.404,14.512,15.849,17.433,19.431,21.092,22.447,24.078,26.36,28.019,31.162,33.881,36.677,39.848,45.21,49.89,55.37,62.317,67.777,73.725,81.034,77.235,80.26,84.146,85.359,86.252,89.786,97.077,106.407,106.131,116.175,129.476,141.972,154.272,169.369,184.481,201.021
Ukraine,,,,,,,,,,,,,331.074,290.793,228.991,205.27,188.125,185.628,184.151,186.372,201.84,224.549,240.135,268.138,307.825,327.321,363.065,403.452,420.235,359.066,378.281,407.226,425.994,486.365,461.987,435.49,475.722,504.188,534.24,561.196,546.376,588.433,,,,,,
United Arab Emirates,89.965,106.378,104.832,103.218,111.703,112.329,92.511,99.827,100.636,121.036,155.152,163.834,172.754,176.798,193.869,210.958,226.293,249.883,254.695,267.972,307.829,318.806,331.8,368.168,414.257,448.041,507.273,537.816,565.75,539.606,554.8,605.575,631.707,647.296,678.339,601.179,598.811,637.385,660.376,695.121,660.342,703.375,779.234,833.096,886.399,939.816,996.96,1059.862
United Kingdom,511.761,556.295,602.31,652.172,690.852,742.095,780.919,843.412,922.064,981.647,1024.837,1046.928,1074.141,1125.996,1193.383,1248.18,1301.9,1389.362,1449.314,1513.682,1604.823,1674.991,1737.215,1825.177,1918.32,2029.785,2146.488,2254.526,2292.254,2208.961,2283.161,2364.569,2453.353,2579.159,2686.205,2795.074,2928.299,3074.393,3199.803,3311.501,3040.718,3402.762,3751.845,3910.719,4065.081,4241.437,4404.443,4559.15
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16843.225,17550.675,18206.025,18695.1,19479.625,20527.15,21372.6,20893.75,22997.5,25346.805,26695.15,27745.531,28790.404,29855.871,30966.064
Uruguay,13.57,15.136,14.57,14.644,15.007,15.71,17.445,19.295,20.268,21.296,22.158,23.718,26.183,27.516,30.15,30.337,32.615,35.045,37.04,36.834,36.942,36.322,34.036,34.987,37.724,41.809,44.866,49.093,53.625,56.258,61.377,65.887,66.779,70.438,74.226,74.939,76.887,79.077,81.353,83.098,78.957,85.859,94.783,100.55,105.807,110.675,115.335,120.212
Uzbekistan,,,,,,,,,,,,,51.142,51.15,49.526,50.11,51.895,55.535,58.575,61.954,65.765,70.071,74.01,78.64,86.727,95.708,106.061,119.275,132.503,144.154,156.236,171.483,180.491,190.612,199.767,209.082,216.467,221.561,239.002,257.168,265.176,296.691,326.015,352.428,379.041,407.932,438.793,472.205
Vanuatu,0.109,0.124,0.134,0.144,0.163,0.17,0.173,0.172,0.175,0.185,0.215,0.229,0.24,0.247,0.276,0.284,0.296,0.316,0.324,0.329,0.357,0.352,0.339,0.361,0.385,0.418,0.468,0.494,0.532,0.551,0.565,0.595,0.612,0.626,0.657,0.666,0.705,0.763,0.804,0.845,0.809,0.847,0.92,0.98,1.039,1.101,1.156,1.213
Venezuela,118.828,128.394,139.933,131.082,142.906,148.703,160.92,172.818,190.559,170.467,188.284,213.592,231.698,237.843,237.216,251.761,255.863,276.857,280.797,267.752,283.914,300.164,277.846,261.357,317.449,361.186,409.088,456.921,490.261,477.603,476.148,506.34,544.83,561.817,550.033,520.974,436.529,375.106,308.707,204.249,144.698,148.451,160.132,167.413,,,,
Vietnam,29.158,33.767,38.776,43.152,48.464,52.806,55.678,58.509,63.662,71.319,77.722,85.018,94.521,104.577,116.246,130.007,144.752,159.251,170.328,180.973,197.635,216.021,234.921,257.144,284.615,315.695,348.145,383.045,412.493,437.546,471.247,511.889,568.401,607.018,660.612,700.257,770.872,851.064,934.11,1018.806,1061.437,1134.024,1278.061,1411.823,1548.457,1689.945,1840.981,2003.851
West Bank and Gaza,,,,,,,,,,,,,,,4.967,5.432,5.599,6.531,7.551,8.291,7.754,7.19,6.39,7.43,9.302,10.677,10.897,11.615,12.717,13.899,14.878,16.646,19.95,20.886,22.996,25.426,27.536,28.519,29.558,30.497,27.371,30.222,33.403,35.61,37.362,38.908,40.486,42.135
Yemen,,,,,,,,,,,24.197,26.59,29.428,31.331,34.151,36.844,39.257,42.023,45.049,47.409,51.48,54.642,57.677,61.02,65.147,70.947,75.455,80.081,84.594,88.427,96.383,85.876,85.441,92.756,94.312,68.589,62.781,60.729,62.647,64.661,59.877,61.119,65.603,69.262,75.935,82.528,89.201,95.975
Zambia,7.806,9.111,9.392,9.648,9.825,10.261,10.645,11.071,12.524,12.539,12.933,13.281,13.863,14.18,12.556,13.19,14.267,15.067,15.177,16.107,17.114,18.43,19.561,21.332,23.445,25.93,28.842,32.096,35.255,38.752,43.256,46.612,49.509,53.42,54.506,54.473,55.712,58.735,62.565,64.602,63.559,69.054,75.69,80.786,86.057,91.504,97.452,104.201
Zimbabwe,,,,,,,,,,,,,,,,,,,28.692,28.773,28.18,28.684,26.887,22.969,22.107,21.11,20.987,20.821,17.757,19.192,23.246,27.098,31.163,34.191,35.502,37.028,37.965,33.371,35.785,34.187,32.767,36.292,39.906,42.352,44.725,47.061,49.47,51.966
Africa (Region),693.649,753.93,822.644,866.15,923.593,981.376,1016.426,1049.903,1125.546,1208.396,1458.155,1537.645,1576.406,1626.549,1698.102,1775.015,1895.711,1988.502,2116.512,2211.522,2355.395,2506.609,2667.037,2861.367,3104.554,3391.514,3697.027,4026.138,4268.523,4423.097,4729.933,4897.03,5160.723,5367.288,5572.208,5717.573,5870.171,6046.794,6401.721,6727.46,6652.208,7288.796,8045.451,8624.177,9206.261,9798.978,10420.739,11099.055
Asia and Pacific,2874.433,3309.801,3661.213,4008.353,4414.717,4827.057,5184.545,5673.895,6329.105,6931.607,7592.792,8227.312,9134.676,9809.149,10539.571,11438.13,12395.709,13188.632,13505.216,14288.024,15430.227,16342.261,17437.407,18845.784,20676.693,22856.847,25344.204,28207.567,30144.157,31502.616,34512.638,37449.352,40438.587,42965.049,44957.827,46774.263,48891.757,51645.432,55642.447,58973.256,58967.329,65362.074,72702.912,78557.69,84337.075,90107.422,96094.327,102379.269
Australia and New Zealand,183.916,209.26,223.291,231.063,254.789,275.42,287.57,307.999,330.663,357.463,375.605,384.263,402.09,428.543,459.338,484.086,512.85,544.134,572.577,606.046,639.939,671.701,711.118,748.22,800.565,850.596,900.057,963.576,1003.543,1025.094,1061.811,1113.123,1128.05,1241.607,1278.071,1282.102,1356.959,1426.642,1502.514,1561.775,1546.385,1688.359,1865.318,1968.993,2062.395,2151.276,2247.858,2350.746
Caribbean,33.385,37.334,39.657,40.271,41.566,42.819,45.168,46.908,48.604,51.313,54.045,56.086,58.619,59.924,60.639,64.97,68.89,72.519,75.496,79.399,83.693,86.992,90.745,97.682,103.357,110.168,120.714,128.451,133.27,131.678,133.214,138.692,139.48,144.62,146.936,145.316,147.597,155.25,161.633,165.064,156.703,168.246,194.25,215.862,227.214,236.914,246.634,256.703
Central America,69.509,77.238,80.45,84.134,88.851,91.688,95.244,101.676,105.212,112.917,118.742,126.087,138.172,148.964,157.026,167.499,177.107,190.268,202.664,213.777,226.355,236.642,248.53,258.594,275.483,299.75,330.385,362.891,385.937,387.804,412.51,442.165,465.059,495.913,537.874,587.415,635.53,677.542,720.279,756.812,709.162,819.456,912.667,977.515,1041.783,1105.796,1173.092,1244.959
Central Asia and the Caucasus,,,,,,,,,,,,,706.382,731.339,690.237,726.879,780.12,844.272,877.148,878.883,962.825,970.01,1074.187,1169.84,1315.021,1487.868,1667.672,1839.754,1929.586,1915.523,2093.352,2335.774,2505.083,2742.501,2942.468,3074.01,3192.109,3412.695,3606.552,3741.51,3802.762,4235.941,4621.119,4920.96,5234.707,5534.013,5837.238,6157.212
East Asia,1554.162,1782.559,1982.753,2180.81,2429.191,2685.257,2893.584,3188.945,3578.07,3902.552,4250.295,4647.959,5008.975,5374.039,5811.736,6303.831,6812.793,7265.037,7497.18,7931.865,8598.198,9150.568,9766.671,10533.899,11534.996,12737.848,14166.94,15871.662,17047.292,17833.359,19608.321,21326.092,22997.235,24456.939,25522.395,26560.349,27453.401,28789.412,30989.116,32924.593,33592.264,37325.273,41196.174,44316.055,47297.574,50231.754,53279.864,56473.181
