"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Brazil,1229.883,1382.548,1446.228,1134.932,1105.852,1719.515,1955.069,2087.445,2289.424,3087.928,3106.116,2677.837,2523.736,2787.164,3495.239,4851.99,5204.574,5321.137,5123.549,3501.438,3772.05,3177.94,2856.026,3089.141,3660.02,4819.872,5921.179,7390.653,8878.359,8649.578,11333.023,13295.899,12424.949,12358.342,12175.681,8846.475,8757.304,9978.089,9194.149,8914.171,6840.658,7563.562,8570.276,9204.821,9822.133,10248.3,10651.793,11028.161
Brunei Darussalam,,,,,,19916.361,11908.978,13239.407,12202.354,13414.336,15373.583,15723.283,17330.999,16611.619,16089.632,18233.963,19221.085,19060.145,14479.973,16060.902,20445.931,18621.101,18785.868,20755.774,24217.728,29420.373,34690.298,36302.79,42470.561,31341.495,35437.219,47092.296,47772.207,44860.428,41947.16,31355.736,27318.052,28236.773,30668.369,30447.184,27068.327,44808.56,79816.308,62200.282,51741.04,47865.68,46297.485,45939.18
Bulgaria,3673.235,3950.229,4108.111,4211.107,4465.379,3820.536,3382.438,3926.053,6433.109,6580.664,2919.823,288.506,1183.155,649.649,1155.796,1958.07,1494.786,1386.466,1854.468,1689.293,1625.322,1797.392,2090.683,2710.577,3370.382,3869.588,4477.028,5811.847,7156.176,6878.061,6753.335,7872.043,7454.003,7702.783,7925.691,7098.587,7596.464,8414.389,9489.641,9914.32,10119.909,11683.877,13101.479,14397.251,15477.068,16620.194,17668.435,18760.19
Burkina Faso,349.672,297.167,270.123,240.72,209.724,225.945,288.783,327.429,352.095,342.864,395.875,389.6,406.069,376.711,220.468,265.238,280.453,258.109,287.604,300.311,255.082,267.099,294.457,374.534,418.187,458.187,473.475,535.125,643.334,623.497,648.365,751.041,758.48,787.481,793.051,653.393,688.061,734.737,813.468,786.929,831.013,887.282,885.941,933.703,985.415,1038.301,1092.719,1140.527
Burundi,232.381,234.94,241.083,247.995,218.999,247.644,253.424,231.932,211.184,213.175,207.113,207.674,187.243,162.572,157.474,167.177,142.588,157.054,141.755,133.412,130.225,127.349,116.392,108.066,122.381,148.71,164.575,170.174,195.79,208.78,231.549,247.097,250.118,255.319,273.133,304.243,281.062,291.859,271.289,261.294,259.906,272.144,272.355,284.063,298.684,313.973,326.872,338.722
Cabo Verde,541.435,522.81,517.666,499.536,466.312,476.329,645.817,783.24,861.862,853.014,957.369,974.873,1062.47,1046.265,1180.486,1378.161,1385.771,1322.336,1376.757,1541.831,1399.088,1387.33,1501.545,1935.48,2188.003,2298.396,2571.824,3110.447,3636.128,3416.224,3312.035,3672.583,3388.875,3557.871,3532.994,2996.362,3082.157,3239.066,3616.442,3601.725,3065.478,3455.468,3502.981,3774.611,4066.484,4368.797,4660.182,4934.786
Cambodia,,,,,,,25.707,17.116,32.608,39.704,99.833,215.671,252.491,242.479,265.056,319.537,316.188,302.166,267.864,293.699,299.982,320.046,337.501,360.659,405.629,470.683,536.151,627.78,741.855,737.194,788.19,889.788,965.413,1034.821,1123.183,1203.479,1320.33,1448.109,1587.996,1736.422,1606.811,1653.767,1751.985,1872.019,2003.629,2149.072,2308.77,2486.937
Cameroon,1004.846,1106.193,1031.862,1012.33,1041.933,1059.933,1344.534,1514.218,1493.9,1292.834,1255.123,1357.676,1207.539,1222.984,808.04,745.55,808.211,794.939,772.304,765.544,660.382,687.404,756.14,949.02,1089.418,1101.546,1147.497,1277.667,1439.39,1409.942,1353.407,1464.888,1404.412,1527.773,1604.627,1382.65,1412.866,1468.929,1585.96,1533.161,1539.354,1654.723,1637.768,1730.91,1820.071,1919.076,2020.37,2118.893
Canada,11281.422,12396.666,12543.938,13493.198,13947.358,14185.922,14539.75,16408.139,19041.182,20842.455,21572.137,21885.57,20984.778,20210.452,20024.581,20706.725,21325.69,21930.485,21046.556,22340.553,24296.721,23859.714,24279.186,28338.745,32176.593,36439.62,40558.897,44716.985,46773.837,40990.625,47627.345,52285.937,52744.004,52708.61,51020.843,43626.47,42382.635,45191.993,46625.859,46403.986,43306.635,52078.515,57405.931,60411.716,62516.008,64532.011,66611.687,68726.059
Central African Republic,313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,402.053,450.744,488.489,480.066,494.408,525.046,527.215,561.953,594.333,626.615,659.003,695.41
