"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Netherlands,13750.491,11429.727,11013.574,10682.307,9904.974,10008.042,13875.191,16895.4,17956.109,17597.26,21581.579,22057.794,24191.955,23356.332,24935.531,29350.802,29084.068,26808.388,28018.706,28393.845,26327.855,26996.17,29401.972,35814.268,40477.3,42054.884,44936.006,51880.384,58015.396,52807.447,51165.823,54342.114,50175.559,52276.986,53026.478,45302.804,46165.177,48799.874,53224.694,52672.504,52456.094,58292.397,57835.725,61039.196,63951.65,66569.525,69093.476,71479.368
New Zealand,7245.874,7502.04,7369.526,7063.323,6959.7,6942.517,8372.339,11187.924,13641.732,13101.222,13440.096,12425.793,11755.018,12535.612,14607.998,16938.915,18504.05,18205.625,14889.189,15345.051,14022.099,13669.889,15706.814,20461.343,24848.791,27385.166,26221.625,31914.123,31763.546,28268.951,33394.026,38061.146,39681.406,42084.297,44284.128,38207.325,39398.79,42283.47,42776.914,42329.109,41427.862,48424.147,49847.305,52969.171,55009.51,56337.379,58240.361,60055.921
Nicaragua,,,,,,,,,,,,,,,898.199,935.34,947.14,940.143,973.071,999.413,1030.74,1054.66,1011.904,1010.231,1077.784,1152.801,1224.724,1326.658,1498.88,1444.941,1506.073,1629.968,1734.794,1790.431,1916.77,2036.931,2099.585,2156.145,2016.16,1934.143,1942.64,2177.478,2384.002,2510.882,2594.537,2686.217,2771.811,2867.092
Niger,609.433,510.028,458.113,395.659,310.002,295.81,378.695,430.394,426.027,394.734,435.341,394.9,393.718,343.177,211.016,241.954,243.965,224.475,250.234,231.66,197.275,207.769,227.424,267.409,285.388,320.923,335.334,389.256,477.27,462.267,476.062,511.488,528.918,551.554,562.885,484.171,497.882,517.771,572.564,553.905,568.348,595.235,598.851,639.281,709.053,798.89,847.442,886.551
Nigeria,,,,,,,,,,,652.915,615.663,521.905,553.126,760.992,1224.938,1560.382,1655.818,1802.587,481.951,554.64,583.187,730.836,780.399,963.236,1221.651,1563.031,1791.823,2197.776,1927.476,2328.425,2543.504,2756.41,2998.068,3222.691,2718.586,2176.001,1968.563,2153.094,2229.854,2083.162,2088.644,2355.688,2611.015,2883.859,3189.402,3532.036,3913.774
North Macedonia ,,,,,,,,,,,,,1263.863,1383.543,1824.418,2387.158,2348.109,1980.429,1888.755,1931.989,1878.237,1839.616,1974.061,2440.813,2796.622,3071.897,3359.608,4076.296,4838.148,4579.092,4576.228,5097.26,4728.373,5239.649,5498.612,4860.422,5152.966,5462.379,6111.186,6073.003,5867.157,6713.668,6862.719,7514.548,8129.553,8735.545,9351.296,9961.778
Norway,15746.262,15484.681,15196.29,14906.174,14968.787,15728.224,18853.07,22445.038,24143.118,24245.447,28187.181,28514.498,30432.89,27880.632,29236.375,34790.001,37225.29,36561.409,34717.064,36278.339,38047.948,38494.685,42997.959,50046.34,57512.221,66687.757,73970.24,84915.639,96563.223,79746.888,87356.193,100197.171,101129.905,102576.68,96657.575,74115.155,70223.817,75306.667,82082.117,75594.048,67265.894,89089.978,99480.855,100309.893,101489.203,101928.61,102526.505,105356.873
Oman,4674.114,5251.746,5510.962,5363.892,5517.394,6129.204,4548.852,4488.916,4362.946,4605.009,6340.52,5937.75,6292.658,6102.666,6116.027,6355.283,6864.964,6965.197,6037.746,6605.919,8120.715,7961.211,8108.723,8565.258,9635.825,11873.176,13938.207,15436.806,21866.269,16784.913,19027.779,20641.47,21149.647,20435.846,20308.462,16570.735,14834.587,15482.125,17338.964,16529.391,16209.529,18298.718,23416.491,22715.711,21798.475,21342.602,21110.713,21026.897
Pakistan,433.212,497.755,528.448,479.61,506.541,492.995,491.567,500.508,561.692,570.939,556.875,618.941,635.303,655.338,644.091,734.249,748.215,720.256,700.202,647.956,651.864,622.607,615.212,689.826,793.927,869.227,994.373,1084.443,1160.14,1118.452,1158.34,1369.467,1403.632,1422.193,1474.61,1601.52,1563.112,1653.484,1689.804,1488.562,1371.407,1562.258,,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,7862.501,8060.384,8349.541,7834.158,8341.056,9249.298,9599.031,9962.689,10223.924,9775.419,9939.743,10727.524,11988.101,12778.969,13877.878,16286.946,16685.822,15940.456,16237.592,15674.83,14784.407,12187.164,13705.645,16496.722,16877.168,17263.486,17666.082,18107.875
Panama,2071.041,2288.369,2469.136,2477.122,2527.53,2614.785,2658.349,2613.099,2211.665,2171.726,2312.985,2489.709,2770.951,2963.32,3095.157,3099.915,3580.929,3791.269,4027.322,4136.061,4111.712,4094.966,4172.689,4312.62,4638.716,4965.212,5401.562,6127.034,7110.228,7532.399,8039.764,9314.687,10674.487,11841.893,12756.952,13606.597,14344.087,15178.301,15612.598,15877.566,12615.878,14664.31,16037.641,17191.151,18264.353,19321.066,20444.707,21633.695
Papua New Guinea,1380.844,1319.408,1223.39,1194.658,1079.594,975.967,1039.809,1159.833,1565.167,1455.035,1265.882,1444.104,1546.581,1713.713,1834.984,1581.631,1639.773,1527.441,1138.365,1013.232,1007.517,862.099,814.701,995.275,1111.943,1269.526,1411.902,1576.159,1883.527,1833.09,2132.185,2552.043,2865.783,2800.173,2992.711,2742.919,2567.582,2755.488,2861.448,2877.577,2808.923,3004.987,3269.474,3461.259,3596.885,3737.718,3839.019,3993.966
Paraguay,1299.661,1608.463,1636.527,1762.992,1390.886,1154.145,1335.761,1084.695,1392.417,977.835,1185.277,1585.242,1592.055,1580.207,1681.396,1897.134,2008.188,2003.578,1824.648,1706.395,1675.793,1577.681,1312.083,1377.521,1693.886,1857.78,2285.125,2988.684,4054.044,3623.931,4329.69,5301.834,5153.417,5892.846,6065.282,5360.077,5265.061,5608.156,5703.324,5299.667,4885.396,5206.983,5626.082,5912.921,6168.438,6462.993,6749.531,7053.274
Peru,1164.828,1373.068,1332.455,1011.725,1018.785,861.599,1263.729,2040.65,1579.545,1908.456,1301.465,1530.736,1562.58,1487.861,1839.228,2147.428,2193.686,2272.351,2141.114,1903.93,1940.238,1935.546,2017.765,2159.744,2408.091,2669.214,3106.719,3587.798,4225.855,4171.73,5051.219,5727.14,6399.339,6631.027,6564.462,6139.221,6169.392,6728.074,7007.304,6962.997,6127.478,6643.005,7034.448,7475.212,7748.376,8011.838,8296.041,8593.521
Philippines,774.484,829.816,843.471,735.714,678.342,645.597,615.047,666.915,744.307,816.961,828.821,830.407,946.762,949.733,1094.543,1237.311,1316.406,1279.835,988.487,1112.353,1087.287,1003.957,1050.297,1062.619,1137.068,1261.267,1470.825,1764.683,2011.633,1923.674,2237.157,2473.249,2721.252,2903.189,2995.504,3039.234,3107.646,3153.314,3279.519,3512.195,3323.429,3571.798,3686.844,3934.676,4206.386,4493.744,4801.471,5131.03
Poland,1595.047,1497.841,1803.464,2056.958,2042.04,1899.817,1965.541,1691.129,1819.392,1772.091,1629.047,2105.486,2315.647,2351.742,2692.704,3612.264,4066.179,4075.977,4459.097,4348.147,4485.064,4987.859,5205.517,5699.557,6684.675,8023.921,9031.797,11252.863,13999.496,11532.283,12619.616,13879.525,13096.89,13688.355,14272.29,12563.614,12438.523,13868.906,15468.264,15726.878,15718.195,17815.192,18505.719,20013.613,21694.945,23468.281,24937.879,26513.178
Portugal,3338.764,3296.654,3095.096,2838.655,2596.075,2716.645,3774.582,4724.451,5532.62,5977.577,7957.244,9026.301,10863.487,9547.643,9977.615,11787.315,12187.582,11594.755,12216.689,12487.712,11531.467,11734.878,12927.584,15793.852,18055.893,18790.561,19840.474,22813.667,24946.256,23126.175,22539.038,23213.126,20576.825,21653.505,22109.318,19252.015,19986.362,21482.834,23573.299,23333.317,22176.752,24264.394,24495.209,26044.757,27625.454,29088.705,30455.839,31766.267
Puerto Rico,4507.15,4940.784,5146.929,5257.186,5777.438,6058.641,6495.499,6987.398,7579.339,8094.29,8675.576,9093.48,9687.443,10255.532,10942.949,11667.589,12305.024,12968.394,14430.159,15293.182,16192.127,18243.709,18972.77,19820.208,20988.989,21959.317,22935.951,23664.874,24898.335,25768.726,26435.742,27278.853,27944.742,28513.15,28981.343,29755.35,30585.55,31347.273,32789.063,32785.938,32645.395,34173.252,37822.593,39613.462,40113.916,40882.042,41872.168,43036.665
Qatar,27242.483,27819.566,22657.373,18003.756,17496.536,15495.701,11644.458,11773.23,10853.896,11039.938,13150.172,11500.519,13038.976,11797.162,12009.396,13689.653,15143.479,18841.6,15421.783,19689.651,30461.311,28600.029,30701.131,35919.758,42548.115,54357.783,60591.776,65934.266,72484.634,53822.909,69796.138,96827.857,101933.117,99180.39,93054.141,66346.911,57965.377,59127.513,66421.617,63007.696,53797.937,68581.039,84514.142,87247.613,89040.367,92782.589,97328.842,102182.184
Romania,2052.081,2450.352,2441.211,2125.157,1710.302,2101.997,2264.368,2517.949,2593.057,2314.744,1641.855,1241.063,847.68,1147.325,1317.048,1563.117,1565.472,1571.689,1885.349,1600.881,1661.714,1802.675,2113.596,2672.811,3483.726,4604.45,5740.402,8262.407,10385.848,8517.598,8194.719,9075.961,8491.033,9530.441,10021.543,8942.2,9520.439,10776.672,12361.143,12870.799,12908.811,14667.089,14825.21,16181.428,17452.941,18764.257,20114.101,21482.156
Russian Federation,,,,,,,,,,,7084.753,5784.551,482.767,1322.006,1979.411,2264.343,2787.022,2935.03,1949.801,1427.307,1901.956,2255.253,2552.788,3197.573,4403.962,5708.838,7426.005,9761.368,12464.244,9156.97,11431.148,14306.432,15287.967,15928.699,14007.509,9257.935,8723.523,10723.996,11261.716,11555.269,10148.243,12198.213,12574.926,11792.47,11845.83,12033.341,12223.224,12452.737
Rwanda,292.782,320.559,329.641,339.297,317.361,364.611,399.283,428.416,442.811,447.143,417.717,298.957,317.043,325.858,223.451,245.276,268.93,345.662,338.306,284.166,266.055,248.99,242.079,257.475,277.634,334.407,368.508,442.135,545.188,584.677,612.052,674.655,728.668,730.465,748.525,755.951,755.737,784.138,796.811,835.187,815.824,859.052,909.91,971.603,1027.955,1086.832,1144.038,1211.234
Saint Kitts and Nevis,1338.747,1609.725,1847.251,1829.835,2144.801,2406.13,2851.256,3289.063,3926.955,4392.77,4969.878,4912.915,5386.942,5806.085,6407.518,6819.77,7195.174,8010.438,8260.891,8670.829,9279.584,9962.552,10304.318,9922.475,10566.955,11256.635,13095.2,13845.794,15451.231,15215.837,15136.905,16076.845,15710.513,16464.037,17753.633,17654.127,18397.052,19144.1,19269.742,20600.562,17179.482,16467.439,19117.109,20644.694,21694.231,22469.017,23309.151,24180.698
Saint Lucia,1461.568,1645.688,1532.03,1627.3,2046.656,2279.211,2683.653,2921.986,3295.014,3668.487,4321.313,4511.868,4878.46,4922.705,5029.435,5271.835,5363.891,5385.615,5773.042,5998.05,5978.703,5651.874,5655.31,6147.526,6567.457,6910.814,7622.377,7936.976,8441.834,8508.3,8968.072,9424.945,9495.187,9756.132,10172.807,10386.815,10610.407,11262.038,11556.673,11782.752,8934.701,9754.734,11363.749,12347.507,13042.614,13530.86,13984.035,14452.566
Saint Vincent and the Grenadines,903.445,1110.425,1227.421,1309.102,1435.282,1537.223,1686.1,1828.411,2077.695,2211.424,2456.285,2584.104,2815.081,2896.038,2924.036,3188.478,3340.515,3500.225,3755.704,3922.719,3973.449,4284.994,4518.089,4710.272,5082.069,5353.688,5933.621,6572.506,6740.48,6564.113,6613.132,6544.688,6686.015,6988.344,7028.297,7154.784,7390.469,7675.532,8001.555,8228.633,7878.665,7876.979,8595.213,9390.471,9877.345,10356.741,10839.385,11341.927
Samoa,,,,,,,,,,,,,,,,,,,1614.339,1471.194,1513.028,1518.369,1597.359,1878.658,2283.059,2636.338,2778.539,3042.881,3640.073,3264.699,3566.513,3933.418,4022.096,4037.654,3937.707,4073.682,4109.19,4258.965,4265.41,4322.897,4067.815,3947.203,4058.955,4290.543,4531.815,4784.144,5020.203,5258.237
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,59313.405,61150.61,64498.508,72991.531,79110.201,67011.543,60426.235,57512.891,50336.185,51986.532,51234.869,43068.693,44308.666,45887.687,49477.281,48043.86,45640.984,50458.193,49901.121,52063.252,54106.631,56148.516,58149.699,60048.39
Saudi Arabia,17655.087,18832.078,14912.688,11972.195,10558.736,8732.759,6955.067,6524.173,6398.832,6583.297,7734.968,8280.174,8077.748,7685.993,7626.361,7893.412,8527.656,8706.346,7525.302,8092.705,9256.515,8778.41,8822.493,9800.521,11467.103,14068.215,15603.985,16666.601,20157.29,16094.686,19163.342,23654.859,25208.174,24892.984,24929.318,21063.315,20288.897,21113.962,24438.46,23485.075,20088.522,23507.276,28759.275,27700.385,27298.221,27241.342,27393.398,27739.534
Senegal,767.972,677.895,645.372,559.501,529.936,563.251,773.09,902.228,865.668,828.149,936.148,894.485,930.568,852.61,560.956,693.418,706.864,642.569,686.369,689.683,614.004,648.446,680.83,831.623,931.745,993.237,1027.786,1197.551,1403.795,1307.516,1272.622,1366.534,1318.614,1372.686,1397.017,1219.373,1269.553,1361.221,1458.73,1436.224,1465.244,1606.604,1608.642,1767.813,1953.466,2068.981,2187.668,2270.188
Serbia,,,,,,,,,,,,,,,,,,2925.926,2300.7,1507.68,1238.888,1640.945,2156.887,2836.539,3315.331,3695.343,4398.828,5878.873,7087.453,6168.228,5673.621,6809.94,6012.63,6752.796,6598.935,5588.98,5765.204,6292.547,7252.404,7397.471,7699.912,9178.152,9502.708,10648.412,11809.474,12970.562,14154.758,15392.471
Seychelles,2329.353,2403.455,2293.938,2280.452,2338.076,2588.553,3165.945,3638.988,4128.118,4407.201,5302.844,5314.655,6128.346,6559.088,6555.429,6748.825,6583.091,7280.929,7715.784,7747.491,7578.829,7663.083,8431.923,8524.935,10176.659,11093.314,12014.418,12155.702,11480.433,9707.265,10805.099,11647.017,11999.897,14762.223,15189.416,15199.436,15887.009,16659.124,17059.796,17454.845,12362.319,14931.131,17692.999,18075.017,18772.18,19822.323,21181.612,22821.655
Sierra Leone,479.601,501.744,552.581,469.374,539.979,450.535,330.043,281.362,451.564,405.247,219.455,261.748,228.231,259.186,308.752,295.71,318.646,286.074,223.939,218.906,205.251,228.033,251.704,265.323,264.775,285.106,323.259,360.425,409.443,391.213,401.835,448.324,566.37,716.148,713.53,592.903,525.948,495.812,533.972,521.396,508.812,520.503,513.338,502.569,500.097,502.283,510.517,525.368
Singapore,5004.992,5672.105,6000.032,6717.837,7160.262,6788.387,6870.769,7794.688,9328.951,10725.743,12763.342,14501.96,16136.244,18290.132,21552.408,24914.851,26232.869,26375.868,21829.278,21796.642,23852.834,21699.748,22159.833,23730.379,27608.075,29961.308,33768.446,39432.895,40008.577,38926.813,47236.672,53891.462,55547.546,56967.426,57564.802,55645.607,56858.505,61149.62,66857.273,65833.2,60727.616,72794.906,79575.891,85226.112,89654.621,93419.004,97316.153,101255.136
Slovak Republic,,,,,,,,,,,,,,2571.845,2950.857,3711.945,4004.797,4076.496,4236.571,3869.052,3839.803,3982.442,4626.832,6341.563,8040.066,9141.855,10700.36,14374.867,18074.617,16591.518,16784.016,18402.634,17502.513,18274.114,18713.384,16326.569,16521.556,17544.39,19411.803,19318.888,19254.446,21053.42,21665.371,23942.915,25597.106,27288.974,28825,30340.247
Slovenia,,,,,,,,,,,,,9639.353,8357.938,8468.242,10748.462,10810.791,10470.497,11168.219,11509.456,10259.439,10502.321,11804.818,14873.628,17254.827,18152.062,19723.859,23912.494,27744.28,24854.16,23570.184,25156.069,22674.365,23516.591,24263.895,20898.86,21681.281,23511.316,26217.34,26039.096,25548.766,29192.852,30159.144,33056.719,35775.613,38345.805,40802.886,43149.105
Solomon Islands,793.126,812.613,782.732,711.899,691.205,611.271,529.413,540.763,598.343,570.057,689.006,709.335,815.269,885.84,1153.332,1306.619,1381.745,1385.672,1171.2,1215.243,1017.406,965.95,795.547,788.627,867.004,1014.727,1119.606,1260.254,1389.07,1428.612,1604.149,1938.79,2141.921,2248.693,2274.952,2167.212,2225.492,2332.872,2411.889,2344.129,2258.202,2303.005,2333.759,2440.614,2551.429,2664.352,2784.186,2905.931
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.013,375.582,401.153,414.263,417.987,412.419,418.437,450.659,471.407,486.53,543.833,572.239,605.896,642.592,682.127,722.618
South Africa,,,,,,,,,,,,,,3716.193,3786.21,4145.21,3869.7,3937.658,3508.14,3423.595,3382.066,2964.029,2791.18,4209.22,5415.089,6033.211,6276.173,6776.465,6355.879,6552.265,8130.193,8799.477,8207.059,7458.04,6984.926,6256.667,5750.785,6678.292,6984.474,6598.88,5624.5,6950.433,6979.44,7222.279,7436.26,7615.554,7784.758,7795.459
"South Sudan, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.739,1041.463,1337.232,1334.089,1245.684,286.208,277.692,359.062,397.572,486.946,364.39,392.704,717.421,722.335,702.079,712.337,731.96
Spain,6128.024,5381.909,5171.535,4501.838,4471.654,4694.759,6477.301,8187.29,9598.667,10566.133,13693.638,14697.501,16013.155,13409.697,13419.62,15475.607,16095.75,14782.949,15457.11,15814.188,14761.108,15400.911,17097.916,21501.074,24932.129,26438.031,28414.133,32588.562,35484.39,32131.382,30566.877,31676.69,28344.776,29084.958,29524.755,25764.215,26535.546,28196.759,30423.167,29576.25,27039.18,30089.517,30156.687,31781.082,33567.413,35020.239,36381.1,37648.257
Sri Lanka,323.039,331.643,353.59,377.293,437.552,428.611,454.825,468.952,485.277,482.238,546.465,591.178,630.111,666.574,761.606,802.204,873.9,971.235,992.717,992.282,1030.756,984.014,1027.092,1124.828,1218.727,1429.454,1642.829,1865.875,2332.255,2391.695,2799.963,3199.502,3347.887,3607.152,3817.133,3841.519,3885.761,4077.043,4058.803,3852.265,3680.674,3742.678,3698.559,3911.891,4112.798,4318.678,4521.351,4722.087
Sudan,486.908,339.389,239.807,318.513,375.019,253.184,328.588,516.781,404.705,696.391,87.197,95.292,113.476,186.506,205.922,239.507,292.909,350.723,366.582,352.442,422.316,492.676,554.652,635.575,772.939,996.677,1249.767,1599.596,1700.513,1401.244,1637.419,2034.461,1396.292,1462.582,1628.497,1679.025,1638.638,1199.177,796.298,776.549,775.297,772.567,673.935,693.084,725.004,768.735,812.781,855.083
Suriname,,,,,,,,,,,1413.616,1535.96,1406.579,1093.085,1213.311,2270.813,2790.049,2945.34,3495.323,2837.245,2904.549,2464.817,3075.376,3571.556,4057.746,4800.797,5577.122,6165.518,7316.459,7917.317,8806.017,8770.289,9844.747,10013.725,10042.68,9036.347,5761.783,6156.461,6772.07,6662.874,4786.833,4680.561,4842.749,4993.752,5129.555,5290.643,5523.663,5773.822
Sweden,16877.243,15396.745,13576.621,12470.948,12976.142,13549.507,17852.72,21629.289,24339.27,25412.176,30253.863,31490.221,32584.883,24351.052,25978.285,30246.923,32986.123,30307.156,30585.081,30928.571,29589.141,27207.49,29846.186,37249.257,42736.876,43349.851,46425.841,53496.534,55929.862,46734.909,52658.794,60540.218,57816.023,60845.007,59704.814,51274.278,51590.473,53459.072,54295.731,51694.498,52169.936,60028.543,57977.697,61944.319,64570.746,67845.592,71208.115,74613.882
Switzerland,19463.945,17725.794,18022.269,17864.541,17049.723,17230.781,24576.927,30563.656,32818.824,31478.186,39888.213,39868.407,40911.467,39386.136,43241.988,50327.726,48252.119,41694.218,42808.966,41859.215,39072.111,39944.58,42803.956,49679.157,55007.078,56659.845,59502.744,65770.878,75073.192,72458.228,77431.416,91696.111,87033.306,88715.77,90251.914,85234.687,83511.741,83694.803,86754.453,85719.316,87351.026,93719.959,96390.049,100925.49,105931.537,109278.979,113900.621,117357.178
Syria,1421.836,1763.344,1784.577,1849.427,1839.915,1965.139,2284.039,2823.157,1389.823,800.859,967.145,972.175,983.575,995.061,1060.707,1133.162,1186.162,1080.812,1028.169,1043.174,1202.891,1236.897,1305.087,1208.885,1361.499,1510.392,1726.028,2016.052,2557.211,2557.267,2806.685,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,775.709,931.011,876.128,800.45,812.985,837.601,1142.825,1111.67,922.926,892.384,1050.252,920.765,788.501,1033.02,1058.931,820.593,1050.097,700.969,541.273,568.499,550.516,505.213,552.891,647.954,692.685,809.407,839.546,885.101,1125.875,1098.369,1128.309,1302.775,1380.112,1619.708,1826.92,1623.805,1737.727,1842.326,1988.722,2021.926,2189.676,2330.677,2315.158,2453.8,2595.357,2746.754,2819.198,3007.172
Taiwan Province of China,2366.797,2691.494,2675.311,2881.66,3202.615,3293.869,4008.134,5325.173,6338.1,7575.906,8167.2,9081.901,10715.536,11256.711,12099.746,13066.128,13588.306,13948.722,12767.078,13752.716,14844.238,13357.195,13651.355,14040.597,15290.307,16427.459,16892.883,17723.704,18053.591,16904.543,19181.358,20838.589,21256.361,21945.46,22844.316,22752.991,23070.733,25061.624,25825.566,25903.168,28404.717,33775.172,36051.061,38272.32,40282.99,42488.373,44730.831,46966.498
Tajikistan,,,,,,,,,,,,,52.622,121.645,147.923,100.448,183.374,192.58,222.282,177.712,159.417,167.035,187.958,236.394,308.844,337.129,401.586,519.025,702.445,666.024,738.287,834.52,949.648,1040.15,1105.197,919.073,800.645,844.595,852.341,893.318,858.445,877.575,795.038,768.871,789.296,812.922,838.159,864.687
Tanzania,602.924,699.181,778.244,772.741,682.028,596.872,732.197,350.129,324.721,271.496,211.031,237.573,213.148,190.679,195.663,221.366,266.49,307.987,370.188,370.918,380.08,377.469,382.354,401.069,428.927,459.757,491.056,551.781,683.137,693.025,732.315,768.16,867.857,970.348,1030.74,947.897,966.29,1002.869,1036.93,1079.684,1110.372,1176.648,1260.065,1360.085,1441.952,1523.305,1613.808,1706.337
Thailand,705.484,744.913,767.41,824.445,845.08,772.393,840.315,967.712,1160.538,1338.257,1564.175,1769.043,1999.204,2209.362,2491.433,2846.59,3043.982,2468.182,1845.829,2031.165,2003.605,1890.25,2094.257,2356.968,2657.909,2890.482,3366.815,3973.994,4373.451,4208.355,5073.705,5493.743,5862.993,6168.708,5952.377,5837.807,5995.205,6596.224,7295.952,7813.605,7167.523,7336.086,7448.988,7927.462,8537.208,8992.717,9480.006,9838.873
Timor-Leste,,,,,,,,,,,,,,,,,,,,,409.083,525.316,509.329,523.892,462.987,476.808,458.887,537.236,627.16,683.311,806.414,936.449,1024.172,1210.036,1232.45,1332.792,1353.755,1299.495,1249.138,1583.714,1442.731,1757.704,1402.056,1458.788,1503.09,1572.238,1645.093,1732.015
Togo,732.897,588.837,478.885,439.532,388.995,393.789,533.68,607.02,655.62,625.669,734.496,709.219,728.16,543.292,411.811,530.121,563.017,555.862,509.651,495.79,409.01,395.011,442.767,535.374,557.462,548.802,550.519,606.782,736.985,728.528,721.037,791.925,771.891,838.357,864.996,770.358,802.935,830.452,901.932,893.161,915.625,991.51,999.907,1069.9,1144.074,1219.284,1296.34,1367.453
Tonga,770.303,850.554,843.209,818.461,854.275,802.926,959.286,1037.126,1213.22,1461.359,1498.504,1750.858,1832.835,1884.492,1948.137,2123.283,2228.293,2263.661,2153.245,1994.282,2045.81,1818.184,1828.634,2015.247,2288.897,2587.295,2876.124,2925.938,3367.714,3046.764,3569.101,4014.77,4557.282,4386.109,4303.818,4298.224,4178.289,4577.004,4788.102,5100.637,4933.609,5002.499,5283.039,5750.408,6160.8,6456.327,6728.209,7003.763
Trinidad and Tobago,5847.707,6454.418,7393.152,6939.437,6831.216,6411.214,4121.173,4085.591,3798.754,3625.717,4221.813,4392.869,4474.142,3743.583,4027.423,4322.255,4658.874,4632.813,4872.619,5478.856,6545.953,7046.379,7162.514,8931.032,10442.168,12471.953,14280.042,16818.278,21479.282,14809.02,16957.433,19300.833,19171.211,20162.733,20290.52,18383.539,16247.176,16747.907,17139.186,17123.116,15285.94,15201.114,17920.962,17611.478,17688.755,17897.777,18126.484,18452.734
Tunisia,1482.823,1390.414,1309.899,1322.84,1286.6,1271.845,1312.226,1382.408,1411.506,1386.015,1716.723,1769.744,2070.007,1903.681,1997,2261.968,2411.883,2318.983,2407.491,2505.878,2322.277,2365.245,2460.779,2897.197,3265.224,3350.785,3536.507,3963.791,4519.745,4333.153,4343.057,4471.694,4345.815,4419.705,4511.282,4060.695,3890.127,3656.508,3661.194,3545.073,3570.64,3867.296,3763.007,,,,,
Turkey,2133.685,2113.068,1876.637,1753.332,1668.464,1835.181,1983.05,2260.66,2333.225,2707.896,3738.161,3691.37,3818.769,4261.644,3026.717,3880.859,4099.228,4221.923,4384.471,4020.272,4237.961,3082.899,3617.23,4684.698,6015.665,7350.887,7961.078,9640.571,10778.131,8941.404,10533.45,11221.402,11637.915,12488.968,12079.287,10973.586,10891.19,10628.898,9507.996,9145.769,8610.029,9527.683,8080.783,8241.222,9292.497,10306.502,11366.55,12557.112
Turkmenistan,,,,,,,,,,,,,404.158,2257.197,1863.238,2356.558,936.729,1038.945,1094.019,1456.531,1874.556,2559.362,3177.653,4129.701,5078.352,6077.575,7486.018,8978.757,7351.644,6821.548,6838.338,8517.452,9464.678,9559.959,10157.395,7916.927,7390.1,8120.517,8438.284,8917.983,8775.33,10310.535,12273.663,13419.794,14333.987,15416.307,16602.772,17928.576
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,1741.529,2075.674,2385.564,2348.707,2464.219,2865.977,3186.846,2759.034,3133.042,3777.342,3609.113,3615.373,3583.652,3396.69,3798.272,4255.25,4507.665,5052.111,5105.926,5833.978,6046.532,6500.536,6996.164,7493.205,7975.262,8482.998
Uganda,664.574,1044.13,703.042,779.82,581.032,514.181,494.509,768.935,767.651,599.952,472.193,238.48,216.036,247.107,346.255,401.893,401.413,423.918,402.455,370.515,355.466,347.812,361.953,361.772,430.758,483.032,527.739,634.361,784.496,815.808,808.713,872.039,950.56,964.833,960.698,778.739,809.599,833.442,880.994,955.68,908.354,1000.462,1060.427,1112.188,1170.868,1246.16,1331.741,1387.818
Ukraine,,,,,,,,,,,,,427.863,677.261,740.97,752.339,914.348,1037.893,874.265,664.99,664.376,784.864,885.315,1055.946,1374.753,1839.515,2319.286,3101.388,3944.724,2557.279,2982.814,3589.632,3872.534,3968.854,3053.608,2124.33,2200.002,2655.661,3118.268,3690.071,3750.901,4827.952,,,,,,
United Arab Emirates,40014.582,40910.917,35767.654,31690.067,29017.094,27035.998,20533.019,21644.071,18435.195,20478.526,26621.511,25847.406,25960.965,25654.369,25762.53,26394.423,29058.859,29534.543,25897.653,27321.043,34688.979,32621.292,32790.711,35017.312,39304.507,43984.093,44313.551,41472.246,39074.713,30920.425,35065.935,41775.701,43932.903,45040.067,45817.068,40064.448,39144.669,41443.891,45075.57,43900.15,38661.176,42883.686,50348.816,49842.046,50254.209,51196.681,52606.055,54393.064
United Kingdom,10715.447,10420.405,9918.949,9448.727,8938.749,9488.14,11549.723,14314.956,17398.174,17667.939,20884.233,21767.13,22438.034,20055.812,21499.589,23208.739,24464.779,26749.945,28277.881,28733.206,28279.663,27816.748,30099.602,34524.996,40415.48,42171.202,44731.564,50675.532,48038.966,39101.208,39731.624,42281.87,42691.188,43757.447,47816.045,45418.935,41630.457,40903.517,43718.965,43121.056,41127.443,47202.581,49761.126,54109.614,57222.655,60165.972,63057.097,65808.691
United States,12552.943,13948.701,14404.994,15513.679,17086.441,18199.32,19034.766,20000.968,21375.999,22814.077,23847.977,24302.776,25392.931,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34496.241,36312.782,37101.453,37945.761,39405.354,41641.617,44034.256,46216.853,47943.353,48470.553,47102.428,48586.288,50008.108,51736.738,53245.516,55083.507,56729.681,57839.992,59885.714,62769.664,65051.88,63078.471,69231.4,76027.043,79709.604,82434.441,85110.466,87818.196,90627.571
