"Current account balance, percent of GDP (Percent of GDP)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bulgaria,2.9,0.3,0.5,0.1,1.3,-0.4,-3.2,-2.1,-0.7,-1.3,-6.7,-3.1,-3.5,-19.9,-0.3,-1.3,3.6,13.5,1.1,-2.9,-3.1,-3.6,-0.6,-3.4,-4.3,-9.4,-15.3,-23.9,-22.1,-8.3,-1.7,0.3,-0.8,1.3,1.2,0,3.1,3.3,0.9,1.9,-0.3,-2,-2.2,-2,-1.8,-2.8,-1.3,-0.1
Burkina Faso,-2,-2,-4.8,-3.4,-0.2,-3.6,-0.8,-1.9,-1.6,3.4,-2.2,-2.6,-0.6,-2,0.7,-3.4,-7.3,-8.1,-6.6,-10,-10.8,-9.1,-8.3,-7.8,-9.8,-10.3,-8.3,-7.4,-10.2,-4,-1.8,-1.3,-1.3,-10,-7.2,-7.6,-6.1,-5,-4.1,-3.3,-0.1,-3.1,-5.7,-5.3,-5.3,-5.1,-4.9,-4.9
Burundi,-8.8,-6.8,-12.2,-12,-11.7,-3.5,-2.9,-8.2,-6.4,-1,-6.1,-2.9,-5.5,-3,-1.8,1,-4.6,0.6,-4.9,-4.5,-7,-3.5,-12.5,-14.1,-6.5,-4.7,-21.3,-32.4,-9.8,-6.3,-12.2,-14.5,-18.6,-20.6,-15.6,-11.5,-11.1,-11.7,-11.4,-11.6,-10.2,-13.5,-18.6,-15.7,-15.2,-13,-12.3,-11.8
Cabo Verde,-45.3,-15.3,-8.5,-7.9,-4.8,-3.4,0.9,5.3,-2.1,-9,-5.3,-4.8,-5.2,-8.3,-10.2,-11.5,-6.3,-5.5,-10.1,-12.6,-9.9,-9.7,-10.2,-10.2,-13,-3.1,-4.8,-12.9,-13.7,-14.6,-12.4,-16.3,-12.6,-4.9,-9.1,-3.2,-3.8,-7.8,-5.2,-0.4,-15.9,-12.5,-11.5,-8.6,-6.7,-6.2,-5.9,-5.6
Cambodia,,,,,,,,,,,,,-1,-1.6,-3.4,-4.7,-7,1.3,-5.5,-4.8,-2.6,-1,-2.3,-3.6,-2.2,-3.8,-0.6,-1.7,-6.6,-9.9,-8.8,-8,-8.6,-8.5,-8.6,-8.7,-8.5,-7.9,-11.8,-15,-12.1,-26.7,-17.4,-9.5,-8.8,-9.1,-9.1,-9.2
Cameroon,-5,-4.8,-4,-4.2,-1.6,-5.2,-3.2,-5.5,-2.6,-2,-3.8,-2.1,-2.4,-3.3,-0.5,0.9,-2.6,-5.1,-1.3,-4.4,-2.1,-3.2,-3.6,-3.7,-2.2,-2.5,0.9,1.2,-1.6,-4,-3.1,-2.4,-3.2,-3.3,-3.9,-3.6,-3.1,-2.6,-3.5,-4.3,-3.7,-3.3,-1.6,-2.9,-3.5,-3.7,-3.6,-3.5
Canada,-2.2,-4.2,0.5,-0.8,-0.5,-1.7,-3.1,-3.2,-3.1,-4,-3.4,-3.7,-3.6,-3.8,-2.4,-0.8,0.4,-1.3,-1.3,0.2,2.6,2.2,1.7,1.2,2.3,1.9,1.4,0.8,0.1,-2.9,-3.6,-2.7,-3.5,-3.1,-2.3,-3.5,-3.1,-2.8,-2.4,-2,-1.8,0.1,1.1,-0.1,-0.6,-1.2,-1.6,-1.8
Central African Republic,-6,-0.6,-5.9,-4.2,-5,-5.5,-7.5,-5.8,-2.5,-2.5,-5.7,-4.1,-4.8,-0.5,-2.8,-8.3,-3.3,-2.5,-6.1,-1.7,-1.5,-1.9,-1.7,-2.1,-1.7,-6.2,-2.9,-6,-9.7,-8.7,-9.4,-6.8,-5.6,-2.9,-13.3,-9.1,-5.3,-7.8,-8,-4.9,-8.5,-10.6,-11,-8.4,-7.6,-6.6,-6.2,-5.4
Chad,1.7,2.7,2.2,4.5,1,-8.9,-4.9,-1.9,1.6,-3.4,-2.5,-3.6,-4.5,-7.1,-2.8,-10.4,-10.8,-11.1,-7.8,-9.7,-13.6,-29.8,-84.1,-43.8,-15.1,1,4.6,8.2,3.6,-8.2,-8.5,-5.8,-7.8,-9.1,-8.9,-13.8,-10.4,-7.1,-1.4,-4.4,-7.6,-4.5,1.3,-2.3,-4.6,-6,-6.4,-6.6
Chile,-6.6,-13.4,-8.7,-5.2,-10.1,-7.9,-6.2,-3.2,-0.9,-2.2,-1.4,-0.3,-2,-5,-2.7,-1.8,-3.8,-4.2,-4.7,0.1,-1.1,-1.6,-0.8,-0.2,3,1.7,4.5,4.3,-3.8,1.9,1.4,-2.7,-4.4,-4.9,-3.6,-2.8,-2.6,-2.8,-4.6,-5.2,-1.9,-6.7,-4.5,-3.4,-2.9,-2.7,-2.5,-2.5
"China, People's Republic of",,,,,,,,,,,,,,,,,,3.9,3.1,1.9,1.7,1.3,2.4,2.6,3.5,5.8,8.4,9.9,9.2,4.8,3.9,1.8,2.5,1.5,2.2,2.6,1.7,1.5,0.2,0.7,1.7,1.8,1.1,1,0.9,0.7,0.5,0.4
Colombia,0,-3.4,-5.3,-5.2,-3.9,-3.3,1.1,0,-0.4,-0.4,1,4.1,1.3,-2.9,-3.8,-4.2,-4,-4.5,-4.1,0.7,0.9,-1.1,-1.3,-1,-0.7,-1.3,-1.8,-3,-2.7,-1.9,-3,-2.9,-3.1,-3.2,-5.2,-6.4,-4.5,-3.2,-4.2,-4.6,-3.4,-5.7,-3.3,-3.4,-3.8,-3.9,-3.9,-3.9
Comoros,-3.7,-3.9,-5.5,-5.7,-28.9,-17.9,-12.1,-10.9,-7,-4.3,-5.9,-2.1,-9.8,-1.5,-7.2,-7.5,-6.2,-6.2,-6.9,-3.7,-0.1,1.8,0.4,-0.9,-2.4,-3.8,-3.2,-2.9,-6.1,-4.1,-0.3,-3.6,-3.2,-4,-3.8,-0.3,-4.4,-2.1,-2.9,-3.3,-1.6,-3.4,-8.3,-8.2,-6.2,-6.4,-6.8,-7.4
"Congo, Dem. Rep. of the",-0.4,-0.9,-0.8,-0.6,0.1,-0.3,-1.2,-3.2,-1.5,-2.2,-1.7,-2.3,-2.1,-0.8,-1.1,0.1,-0.1,-0.7,-2,-0.6,0.4,3.3,4.8,2,-0.5,-3.2,0.3,3.1,-0.8,-6.1,-10.1,-5,-4.3,-9.5,-4.8,-3.9,-4.1,-3.3,-3.5,-3.2,-2.2,-1,-0.3,-0.3,0.2,-0.2,-0.2,-0.1
"Congo, Republic of ",-7.7,-26,-21.4,-28.5,16.2,-12.2,-33.1,-10.1,-19,-3.4,-8.6,-15.2,-9.7,-18.4,-38.4,-25.4,-22.9,-6.1,-10.7,-8.7,17.5,-1.2,5.8,13.7,13.2,6.1,13.9,-24,7.5,-14.1,6.9,13.2,13.6,10.8,1,-39,-48.7,-6,-0.1,0.4,-0.1,15.4,26,14.7,10.8,5.6,4.4,2.3
Costa Rica,-13.7,-15.9,-9.2,-9,-4.2,-3.3,-1.7,-5,-3.5,-7.2,-7.8,-3.1,-4.8,-7.2,-4.9,-3.2,-2.4,-3.6,-3.6,-4.9,-4.6,-3.2,-5.2,-5.2,-3.6,-4.3,-4.1,-5.6,-8.4,-1.8,-3.2,-5.3,-5.1,-4.8,-4.7,-3.4,-2.1,-3.6,-3,-1.3,-1.1,-3.3,-3.5,-3.2,-3.1,-2.9,-2.7,-2.7
Croatia,,,,,,,,,,,,,2.6,4.8,3.9,-5.8,-4,-10.3,-5.8,-6.4,-1.4,-2.2,-6.3,-9,-5.9,-7.2,-7.7,-7.8,-10.4,-6.5,-2.1,-1.7,-1.8,-1,0.3,3.4,2.3,3.5,1.9,3,-0.1,2,-0.4,0.3,0.6,1,1.7,2
Cyprus,-11.2,-7.7,-7.7,-8.8,-9.1,-6.9,-0.6,-0.2,-2.3,-5.1,-2.6,-6.8,-8.6,1.5,0.9,-2.1,-4.7,-4.4,2.8,-1.6,-4.9,-3,-3.4,-2,-4.5,-5.3,-6.3,-10.7,-14.7,-6.7,-10.7,-2.3,-3.9,-1.5,-4.1,-0.4,-4.2,-5.1,-4,-5.7,-10.1,-7.6,-9.4,-8.3,-7.7,-7.2,-6.5,-5.6
Czech Republic,,,,,,,,,,,,,,,,-2.3,-6.1,-5.7,-1.9,-2.2,-4.4,-4.8,-5.1,-5.7,-3.7,-2.1,-2.5,-4.6,-1.9,-2.3,-3.6,-2.1,-1.5,-0.5,0.2,0.4,1.8,1.5,0.4,0.3,3.6,-0.8,-0.7,-1.2,-0.9,-0.6,-0.5,-0.5
Côte d'Ivoire,-13.2,-12.3,-9.8,-10,-0.8,0.7,-2.3,-6.9,-8.8,-7.2,-8.1,-7.4,-6.6,-5.8,-0.1,-3.2,-1,-1,-1.7,-0.7,-1.6,-0.4,4.5,1.4,1.1,0.2,1.9,-0.5,1.3,4.8,1.4,7.5,-0.9,-1,1,-0.4,-0.9,-2,-3.9,-2.3,-3.2,-3.7,-4.8,-4.4,-4.2,-4,-3.8,-3.6
Denmark,-3.4,-3,-3.7,-2.3,-2.9,-4.4,-5.1,-2.7,-1.2,-1,1,1.4,2.7,3.4,2,1,1.6,1.3,-0.1,2.5,2,3.6,3,3.9,4,4.2,3.3,1.5,2.9,3.5,6.6,6.6,6.3,7.8,8.9,8.2,7.8,8,7.3,8.8,8.1,8.4,7.3,7.1,6.8,6.7,6.6,6.6
Djibouti,,,,,,,,,,,47.9,17.1,-0.3,26.5,36.4,37.1,35.8,35.9,33.6,35.1,19.6,43.3,51.5,48,30.4,30.5,4.8,-25.8,-33.4,18.7,49.5,-1.8,-23.4,-30.8,23.9,29.2,-1,-4.8,14.2,17,10.7,-1,-4.7,-3.2,-1.6,0,0.8,1.5
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.4,-4.7,-7.7,-8.6,-42.4,-37.9,-30,-31.4,-32.1,-26,-20,-18,-16,-13
Dominican Republic,-8.3,-4,-4.8,-4.4,-1.1,-1.7,-2.3,-4.4,-0.2,-3.8,-3.5,-1.6,-6.1,-4.1,-1.9,-1.1,-1.2,-0.8,-1.6,-1.9,-4.2,-2.9,-2.9,4.8,4.6,-1.3,-3.4,-4.9,-9.4,-4.8,-7.5,-7.5,-6.5,-4.1,-3.2,-1.8,-1.1,-0.2,-1.5,-1.3,-2,-2.5,-3.5,-2.5,-2.5,-2.3,-2.4,-2.2
Ecuador,-3.8,-5.8,-6.9,-0.8,-1.7,0.4,-4.2,-9.2,-5.5,-5.9,-2.9,-5.2,-0.8,-4.8,-4.2,-4.4,-0.2,-1.7,-7.6,4.7,6.1,-2.3,-4.3,-1.2,-1.3,1.1,3.7,3.7,2.9,0.5,-2.3,-0.5,-0.2,-1,-0.7,-2.2,1.1,-0.2,-1.2,-0.1,2.6,2.5,2.9,2.5,2.2,1.9,2,2.1
Egypt,-0.8,-4.3,-6.8,-4,-8.1,-4.6,-2.8,-1.3,-2.1,-2.2,-2.7,3.4,8.3,4.4,0.4,0.6,-0.3,0.1,-2.8,-1.8,-1.1,0,0.7,2.3,4.1,3.1,1.6,1.7,0.5,-2.2,-1.9,-2.5,-3.6,-2.2,-0.9,-3.7,-6,-6.1,-2.4,-3.6,-3.1,-4.6,-4.3,-4.6,-3.7,-3,-2.6,-2.6
El Salvador,5.2,-3.5,-1.5,1.9,-1.7,-1.2,5,5.7,0.9,-6.1,-3.1,-3.2,-1.9,-1.2,-0.2,-2.9,-1.8,-1,-0.8,-2.1,-3.7,-1.2,-3.2,-5.3,-4.7,-4.2,-4.8,-7.2,-8.5,-1.8,-2.9,-5.5,-5.8,-6.9,-5.4,-3.2,-2.3,-1.9,-3.3,-0.6,0.5,-4.3,-6.7,-5.5,-5.4,-5.4,-5.2,-5.1
Equatorial Guinea,,,,,,,,-21.8,-13.8,-20,-14.3,-30.9,-6.6,1.8,-0.3,-73.2,-124.6,-27.3,-90.3,-29.5,-30.4,-48.8,-53.9,-5,7.6,16.8,19.2,16.7,7.8,-9.7,-20.2,-5.7,-1.1,-2.4,-4.3,-17.7,-26,-7.8,-2.1,-0.9,-4.2,-3.4,-1.6,-2,-5.5,-4.3,-5,-5.2
Eritrea,,,,,,,,,,,,,,30.9,37,-4.7,-10.3,6.8,-26.6,-33.3,-21.1,-24.8,-0.1,-2.3,-0.9,0.4,-4.6,-7.9,-7.6,-11.3,-11.4,12.8,12.4,2.3,17.3,20.8,15.3,24,15.4,13,11.4,13.5,13.5,13.3,12.4,11.4,11.4,11.4
Estonia,,,,,,,,,,,,,,1.2,-6.6,-4,-8.3,-10.9,-8.5,-4.3,-5.4,-7.1,-11.1,-12.9,-11.9,-8.7,-14.9,-14.9,-8.7,2.6,1.8,1.3,-1.9,0.3,0.7,1.8,1.2,2.3,0.8,2.5,-0.3,-1.1,1.6,1.8,1.2,0.7,0.1,-0.4
