"Current account balance, percent of GDP (Percent of GDP)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
New Zealand,-4,-4.9,-7.4,-4.4,-8.8,-6.6,-5.6,-4,-0.3,-3,-2.9,-2.4,-3.7,-3.3,-3.2,-4,-4.7,-5.2,-2.8,-5,-3.3,-0.8,-2.1,-2.5,-4.6,-7.1,-7.2,-6.9,-7.8,-2.2,-2.3,-2.8,-3.9,-3.2,-3.1,-2.8,-2.1,-2.8,-4,-2.9,-0.8,-5.8,-6.5,-5.3,-4.2,-4.2,-4.2,-4.3
Nicaragua,-22.5,-27.4,-20.6,-17.5,-15.1,-20,-11.9,-20.3,-47.7,-17.4,-58.8,-7.2,-19.7,-16.2,-23.6,-17.4,-19.1,-19.2,-14.8,-19.1,-18.3,-15.4,-15,-13.3,-11.9,-12.4,-13.1,-16.3,-17.1,-8.5,-8.9,-11.9,-11.7,-12.6,-8,-9.9,-8.5,-7.2,-1.8,6,5.9,-2.6,-3,-1.4,-1.6,-1.8,-2.2,-2.1
Niger,-7.8,-5.9,-8.2,-2.4,0.1,-3.2,-5.8,-5.6,-7.2,-8.4,-6.8,-5.4,-4.7,-3.2,-6.5,-6.6,-4.5,-5.8,-5.8,-5.4,-4.7,-3.8,-6,-6.5,-6.2,-7.1,-6.6,-6.2,-9,-18.1,-14.5,-16.4,-10.9,-11.3,-12.1,-15.3,-11.4,-11.4,-12.6,-12.2,-13.4,-15.8,-15.8,-13.8,-9.7,-6.1,-8,-7.8
Nigeria,,,,,,,,,,,8,2,4.3,-1.4,-2.7,-1.9,2,0.3,-2,0.9,11,3.4,1.2,3.3,12.9,21.5,16.4,10.5,8.8,4.7,3.6,2.6,3.8,3.7,0.2,-3.1,1.3,3.4,1.5,-3.3,-4,-0.8,-1.1,-1.1,-0.9,-0.9,-0.8,-0.7
North Macedonia ,,,,,,,,,,,,,-0.4,-4.1,-8.6,-5.8,-7.1,-7.6,-8.3,-2.5,-1.8,-6.7,-8.9,-3.9,-7.9,-2.4,-0.4,-6.9,-12.8,-6.8,-2,-2.5,-3.2,-1.6,-0.5,-2,-2.9,-1,-0.1,-3.3,-3.4,-3.5,-5.8,-3.6,-2.9,-2.7,-2.6,-2.5
Norway,1.7,3.4,0.8,4,5.3,4.6,-6,-4.6,-4,-0.1,2.3,3.4,3.3,2.8,2.8,3.3,6.6,6,-0.5,5.3,14.5,15.6,12.1,11.8,12.3,16,16.1,12,15.4,10.6,10.8,12.4,12.6,10.3,10.8,8,4.5,5.5,8,2.9,1.1,15.3,19.9,16.8,14.4,12.3,10.8,10.4
Oman,17.6,17.8,6.2,6,3.4,0.1,-12.5,9.2,-3.7,3.7,9.4,-1.7,-4.5,-11,-5.8,-5.9,1.3,-1.2,-22.3,-3,16,10.2,8.4,6.7,3.6,16.7,15.2,5.8,8.2,-1,8.6,13,10.2,6.6,5.2,-15.9,-19.1,-15.6,-5.4,-5.5,-12,-3.7,5.9,5.6,3.6,1.9,1.5,1.5
Pakistan,-2.6,-2.1,-0.8,-1.4,-2.5,-1.9,-1.3,-2,-2.4,-2.5,-2.3,-2.6,-1.5,-4.4,-2.2,-2.4,-4.5,-3.9,-1.9,-2.1,-0.2,0.4,3.2,4,1.5,-1.1,-3.2,-3.9,-7.2,-4.9,-2,0.1,-1.9,-1,-1.1,-0.9,-1.6,-3.6,-5.4,-4.2,-1.5,-0.6,-5.3,-4.1,-3.1,-2.5,-2.5,-2.5
Palau,,,,,,,,,,,,,,,,,,,,,-49.8,-32.5,-28.3,-25.9,-32.7,-25.1,-26.5,-19.9,-21,-11,-9.4,-13.3,-15.9,-14.8,-19.4,-8.9,-13.4,-19.4,-15.6,-31.1,-48.3,-56.9,-51.5,-27,-23.5,-23,-21.7,-20.4
Panama,-8,-11.5,-3.8,3.8,-3.7,1.3,-1.6,9,13.7,2.1,3.7,-3.8,-3.7,-1.2,0.2,-5.5,-2,-4.7,-8.6,-9.4,-5.4,-1.3,-0.7,-3.9,-6.6,-6.4,-2.5,-7.2,-10.5,-0.8,-10.6,-13,-9.2,-9,-13.4,-9,-7.8,-6,-7.6,-5,2.2,-2.9,-4.1,-3.3,-3.2,-3.1,-2.8,-2.7
Papua New Guinea,-5.6,-10.2,-7.9,-9.9,-9.1,-4.6,-3,-5.5,-6.2,-6.8,-1.9,-2.7,0,7,6,12.8,2.5,-6.3,-5.7,-2.4,2.6,2.5,-1.2,0.2,-1.5,8.6,-1.6,2.2,4.9,-7.2,-19.6,-24.2,-36.7,-31.7,14.1,24.5,28.4,28.4,24.5,20.6,20.9,22,25.1,22.3,21.2,20.1,19.4,18.6
Paraguay,-6.8,-7.2,-6.9,-4.1,-6.4,-6,-7.3,-11.6,-3.8,6.3,7.8,2.5,0.4,2.2,-2,-2.4,-0.7,-5.5,1.4,1.6,-2.8,-0.4,8.6,0.2,-0.1,-0.6,1.2,4.4,0.8,2.7,0.2,0.6,-0.9,1.6,-0.1,-0.4,3.6,3,0.1,-0.5,2.7,0.8,-2.9,0.4,0.5,0.5,0.6,0.7
Peru,-5.2,-9.7,-9.1,-6.8,-1.4,0.3,-5.4,-4.3,-5.4,-0.5,-5.1,-4.5,-5.4,-7.2,-6.2,-9,-6.8,-6,-6.2,-2.8,-3.1,-2.3,-2,-1.6,0.1,1.6,3.3,1.5,-4.3,-0.5,-2.4,-2,-3.2,-5.1,-4.5,-5,-2.6,-1.3,-1.7,-1,0.8,-2.8,-1.5,-1.4,-1.5,-1.5,-1.4,-1.4
Philippines,-5.1,-5.1,-7.5,-7.3,-3.6,-0.1,2.8,-1.2,-0.9,-3,-5.3,-2,-1.7,-4.9,-4,-2.3,-4.2,-4.6,2.1,-3.4,-2.7,-2.2,-0.3,0.3,1.7,1.9,5.5,5.2,0.1,4.8,3.4,2.4,2.7,4,3.6,2.4,-0.4,-0.7,-2.6,-0.8,3.2,-1.8,-2.7,-2.2,-1.8,-1.8,-1.8,-1.8
Poland,-6,-7.4,-3,-2.1,-1.4,-1.4,-1.5,-0.6,-0.2,-2.1,4.9,-2.7,-3.5,-6.4,0.6,0.6,-2.1,-3.6,-4,-7.4,-6,-3.1,-2.8,-2.5,-5.7,-2.9,-4.3,-6.7,-7,-4.2,-5.5,-5.4,-4,-1.8,-2.6,-0.9,-0.8,-0.4,-1.3,0.5,2.9,-0.9,-2.9,-2.7,-2.5,-2.3,-2,-2
Portugal,-3.3,-14.4,-10.6,-5.8,-2.4,1.4,3.1,0.9,-1.9,0.3,-0.2,-0.8,-0.2,0.2,-2.2,-0.1,-4.5,-6.1,-7.5,-8.9,-10.8,-10.4,-8.4,-6.6,-8,-9.6,-10.3,-9.6,-11.8,-10.3,-10.3,-6,-1.6,1.6,0.2,0.2,1.2,1.3,0.6,0.4,-1.1,-1.1,-2.6,-1.4,-1,-0.8,-0.7,-0.4
Qatar,125.5,111.5,87.1,67.3,98.8,73.2,39.3,46.1,38.5,52.5,-10.6,-15.6,-16.7,-21.6,-19.2,-27.6,-27.3,-30.9,-25.5,0.8,9.2,23.7,19.8,24.3,24.6,16.8,16.1,15.1,23.6,7.2,20,31.1,33.2,30.4,24,8.5,-5.5,4,9.1,2.4,-2,14.7,19.9,15.1,9.7,6.8,5.1,4.8
Romania,-5.2,-1.5,1.9,2.4,4.4,2.9,2.7,3.5,6.5,4.6,-4.6,-4.3,-8.5,-4.4,-1.6,-4.4,-6.6,-5.4,-6.8,-4,-2.6,-3.2,-2.7,-4.7,-7.6,-8.8,-10.5,-13.6,-11.5,-4.7,-5.3,-5.1,-5,-0.9,-0.3,-0.8,-1.6,-3.1,-4.6,-4.9,-5,-7.1,-7,-6.5,-6.1,-5.9,-5.7,-5.6
Russian Federation,,,,,,,,,,,,,-1.7,1.3,3,2.2,2.4,-0.2,0,10.9,16.3,9.8,7.4,7.2,9.2,10.3,8.7,5.2,5.8,3.9,4.1,4.8,3.3,1.5,2.8,5,1.9,2,7,3.9,2.4,6.9,12.4,8.1,5.3,4.4,3.5,3.1
Rwanda,-3.5,-4.2,-5,-2.5,-2.2,-2.9,-2.8,-4.9,-4,-3.3,-2.9,-1.5,-3.6,-5.8,7,3.9,-0.5,-2.9,-3.6,-6.6,-4.6,-5.2,-6.9,-4.9,-1.8,-2.2,-4.2,-2.1,-4.7,-6.7,-6.5,-6.9,-9.7,-7.5,-11.4,-12.7,-15.3,-9.5,-10.1,-11.9,-11.9,-10.5,-11.4,-10.3,-8.8,-7.8,-6.2,-6.2
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-8.3,-12.3,-10.5,-5.5,-2.1,-8,-4.8,-5,-3.3,-3,-2.5,-1.5,-1
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,0,-6.5,-2,1.5,5.7,-14.7,-10.9,-5.3,-1,0.6,0.6,0.4,0.1
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7,-14.7,-12.7,-11.7,-10.2,-3.1,-15.6,-24.5,-27.7,-26.4,-16.3,-14.9,-9.5,-8.9
Samoa,-12.9,-14.2,-7.9,1.1,-2.5,1.8,8.9,9.2,10,10.4,7.3,-17.9,-13.5,-18,2.5,4.1,4.5,-3.2,0.9,-8.4,-1.7,-4.1,-8.5,-3.9,-3.4,-7.3,-8.7,-13.8,-4.9,-4.7,-6.4,-7,-9.5,-1.5,-9.1,-2.8,-4.5,-1.9,0.9,3,0.2,-15.3,-12.5,-7.2,-4.1,-3.1,-2.7,-2.4
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-1.9,6.2,3.7,2.7,0.3,1.2,1.6,1,0.5,0.2
Saudi Arabia,25.2,21.5,4.9,-13,-15.4,-12.4,-13.6,-11.4,-8.3,-10,-3.5,-20.8,-12.9,-13,-7.8,-3.7,0.4,0.2,-8.9,0.3,7.6,5.1,6.3,13,20.1,27.4,26.3,22.5,25.5,4.9,12.6,23.6,22.4,18.1,9.8,-8.7,-3.7,1.5,8.8,4.8,-3.1,6.6,19.5,14.8,11.3,8.5,6.3,4.6
Senegal,-10,-11.5,-8,-8.9,-8.1,-7.4,-5.2,-4.9,-6.7,-6.3,-6.3,-6.5,-6.8,-6.5,-6.1,-5.4,-5.3,-4.6,-5.3,-5.2,-5.5,-3.8,-4.6,-5,-5.1,-6.2,-6.2,-9.6,-11.3,-5.3,-3.5,-6.5,-8.8,-8.3,-7,-5.7,-4.2,-7.3,-8.8,-7.9,-10.9,-11.8,-13,-8.4,-3.8,-3.9,-3.6,-4.2
Serbia,,,,,,,,,,,,,,,,,,-5.1,-2.7,-4,-1.9,2.1,-3.9,-7.2,-13.2,-8,-9.1,-16,-19.9,-5.9,-6,-8.1,-10.8,-5.7,-5.6,-3.5,-2.9,-5.2,-4.8,-6.9,-4.1,-4.4,-6.1,-5.7,-6,-5.4,-5.1,-5
Seychelles,-10.6,-12.2,-27.5,-17.8,-8.8,-11.4,-16,-8.5,-10,-13,-3.5,-2.2,-1.6,1.8,6.5,0.3,-10.4,-11.7,-17.5,-18.7,-7,-24.6,-14.5,-1.3,-7.2,-18.9,-13.2,-10.8,-18.5,-14.8,-19.4,-23,-21.1,-11.9,-22.4,-18.1,-19.7,-19.1,-17.4,-16.2,-23,-20.3,-30,-23.6,-18.8,-17.5,-16.6,-16.1
Sierra Leone,-9.7,-7.2,-8.3,-1,-1.1,0.2,10.7,-2.7,-0.2,-3.5,-7.3,1.3,-0.6,-5.1,-6.7,-9.3,-11,-4.4,-3.4,-10.2,-11.9,-9,-5.9,-6,-6.9,-6.5,-5,-7.4,-9,-13.3,-22.7,-65,-31.8,-15,-9.4,-23.6,-7.6,-18.3,-12.4,-14.3,-6.8,-13,-17.2,-13.7,-11.8,-9.3,-8.3,-7.8
Singapore,-13.4,-10.7,-8.5,-3.6,-2.1,0.1,1.8,-0.5,7.3,9.5,8.1,10.7,11.2,6.8,15.3,16.5,14.6,15.6,21.8,17.2,11.1,14.4,14.9,24.3,19.3,23.3,26.9,27.1,15.1,16.4,22.9,22.2,17.6,15.7,18,18.7,17.6,17.3,15.2,14.5,16.8,18.1,13,12.7,12.6,12.5,12.3,12
Slovak Republic,,,,,,,,,,,,,,-4.7,4.2,2.7,-9.7,-8.8,-9.6,-4.5,-3.1,-8,-7.6,-4.9,-5.8,-7.3,-7,-4.8,-6.4,-3.4,-4.7,-4.9,0.9,1.9,1.1,-2.1,-2.7,-1.9,-2.2,-3.4,0.1,-2,-5,-4.8,-3.4,-2.8,-2.6,-2.3
Slovenia,,,,,,,,,,,,,5.6,1.7,3.4,-0.5,0.1,0.1,-0.7,-3.2,-2.8,0,0.9,-0.8,-2.7,-1.8,-1.8,-4.1,-5.3,-1.1,-0.8,-0.8,1.3,3.3,5.1,3.8,4.8,6.2,6,6,7.4,3.3,-0.5,-1.4,-1.7,-2.2,-2.1,-2.7
Solomon Islands,-3.1,-10.9,-2.1,-3.6,0.2,-17.2,5.7,0.1,-12,-15.2,-12.2,-16,-2.7,-2.4,0.3,-18.1,-6.8,-3.9,-1.2,2.8,-7.3,-6.3,-4.2,5.9,15.4,-6.1,-8,-12.9,-15.9,-17.7,-26.4,-7.2,1.4,-3,-3.8,-2.7,-3.5,-4.2,-3,-9.8,-1.6,-5.8,-11.9,-11.9,-10.5,-9.7,-9.1,-9.5
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6,-6.5,-6.3,-7.1,-7.7,-6.2,-10.4,-10.8,-14.9,-12.8,-12.4,-12.7,-12.1,-13.2,-13.2
South Africa,3.7,-5.5,-4,-0.4,-2.2,3.6,3.8,5.3,2.5,1.4,1.2,1,1.3,1.9,0,-1.5,-1,-1.3,-1.5,-0.4,-0.1,0.2,0.8,-0.7,-2.5,-2.8,-4,-4.8,-5,-2.4,-1.3,-2,-4.7,-5.3,-4.8,-4.3,-2.7,-2.4,-3,-2.6,2,3.7,1.3,-1,-1.5,-1.7,-1.9,-2
"South Sudan, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,-15.9,-3.9,-1.2,1.7,16.8,4.8,7.3,1.5,-15.6,-7.6,9.5,1.1,0.4,-1.2,2.4,1.3
Spain,-2.3,-2.5,-2.4,-1.4,1.2,1.1,1.5,0,-1,-2.8,-3.4,-3.5,-3.4,-2,-2.2,-1.3,-0.9,-0.7,-1.7,-3.2,-4.3,-4.4,-3.7,-3.9,-5.5,-7.3,-8.9,-9.4,-8.9,-4.1,-3.7,-2.7,0.1,2,1.7,2,3.2,2.8,1.9,2.1,0.8,0.9,0.3,0.4,1.1,1.4,1.4,1.5
Sri Lanka,-16.9,-12.9,-14.1,-7.7,-0.8,-6,-7.4,-6.3,-8.1,-7,-4,-6,-5,-5.1,-7.1,-6.7,-5.5,-3,-1.9,-3.6,-5.5,-1,-1.2,-0.3,-2.7,-2.2,-4.6,-3.8,-8.3,-0.4,-1.9,-7.1,-5.8,-3.4,-2.5,-2.3,-2.1,-2.6,-3.2,-2.2,-1.3,-4.3,-7.1,-4.6,-3.9,-3.6,-3.2,-3.1
Sudan,-10.2,-21,-23.2,-11,-9.6,-14.9,-18.4,-13.4,-19.3,-12.1,-98,-98.9,-47.6,-26.8,-24.8,-22,-13,-10.7,-13.1,-7.2,-3.9,-3.3,-5.4,-4.4,-3.1,-7,-14.4,-6.1,-5.5,-9,-2.6,-4,-12.8,-11,-5.8,-8.5,-6.5,-9.4,-14,-15.6,-17.5,-5.9,-6.6,-7,-6.6,-6.4,-6.4,-6.1
Suriname,1.2,-1.9,-3.8,-12.2,-8.5,-2.3,-3.4,-1.9,-2,7.7,-0.3,-15,-4.2,4.5,10.2,6.3,-5.1,-7,-11.5,-6.9,-0.7,-24.1,-13.6,-5,-6.9,-6.1,7.8,10.3,8.6,2.7,13.9,9.1,3,-3.6,-7.4,-15.3,-4.8,1.9,-3,-11.3,9.1,5.2,-1,0.2,-0.1,-0.3,-0.5,-1.1
Sweden,-3.1,-2.2,-3,-0.7,0.7,-1,0.6,0.2,-0.2,-1.4,-2.4,-1.7,-2.6,-1.2,1,3.1,3.3,3.8,3.5,3.8,3.8,4.6,4.4,5.8,5.9,6,8.1,8.1,7.7,5.9,5.8,5.4,5.5,5.2,4.2,3.3,2.4,3,2.7,5.5,6.1,5.5,4.9,4.4,4,3.8,3.7,3.6
Switzerland,-0.5,2.4,3.4,0.7,5.6,5.5,3,3.3,4.2,4,3,4.2,4.7,6.4,5.6,4.9,5.3,8.4,7.6,8.5,10.6,6.8,6.9,11,12.8,11.6,12.7,8.6,1.5,6.1,13.5,6.8,9.4,10.1,7.5,9.4,8,6.3,6.1,5.4,2.8,9.3,6.3,7,7.4,7,7.4,7
Syria,-4.9,-2.8,-1.4,-4.3,-4.2,-4.1,-2,-0.9,-0.8,12.4,14.2,13.2,4.1,-1.8,-5.6,1.3,-0.2,2.5,0.8,1.8,5.2,4,4.9,-7.7,-3.1,-2.2,1.4,-0.2,-1.3,-2.9,-2.8,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,-19.8,-23.6,-34.2,-16,-22,-23.1,-12.6,-10,-18.7,-28.3,-24.9,-31.6,-28.4,-23.6,-18.8,-26.2,-17.6,-14.7,-17.1,-15.7,-21,-22.5,-20.9,-15.9,-22.2,-20.9,-33.9,84.8,-17.6,-25.9,-22.8,-27.9,-21.8,-14.5,-20.7,-12,-6.1,-13.2,-12.3,-12.1,-10.3,-9.7,-12.1,-8.7,-7.1,-6.5,-6.1,-4.6
Taiwan Province of China,,,,,11.4,14.5,20.8,17.2,8.1,7.5,6.6,6.7,3.8,3,2.5,2,3.7,2.2,1.1,2.5,2.5,5.7,7.9,8.9,5,4,6,7.9,6,10.4,8.3,7.8,8.7,9.7,11.3,13.6,13.1,14.1,11.6,10.7,14.2,14.7,13.2,11.6,10.2,9.5,9,8.5
Tajikistan,,,,,,,,,,,,,-16.8,-30.5,-20.2,-17.9,-7.8,-4,-7.3,-0.9,-1.6,-4.9,-1.2,-0.3,-2.8,-12.8,-13.2,-32.2,-20.6,-14.4,-10.3,-6.3,-9,-10.4,-3.4,-6.1,-4.2,2.1,-4.9,-2.2,4.1,2.8,-1.4,-2.2,-2.5,-2.5,-2.5,-1.9
Tanzania,-4.8,-3.1,-3.5,-2,-2.6,-3,-2,-5.2,-4.8,-5.2,-10.8,-12.3,-12.8,-17.3,-11.6,-9.2,-5.2,-4.7,-6.1,-6.6,-3.2,-2.5,-1.3,-1.1,-3.2,-5.3,-7.1,-8.4,-7.7,-7.5,-7.5,-10.5,-11.6,-10.7,-9.8,-7.7,-4.2,-2.6,-3.1,-2.6,-1.8,-3.3,-4.3,-3.6,-3,-2.8,-2.6,-2.5
Thailand,-6.2,-7.1,-2.7,-6.9,-4.9,-3.8,0.6,-0.7,-2.6,-3.3,-8.2,-7.5,-5.5,-4.9,-5.5,-8,-8,-2,12.5,9.8,7.4,4.2,3.5,3.1,1.6,-4,1,5.9,0.3,7.9,3.4,2.5,-1.2,-2.1,2.9,6.9,10.5,9.6,5.6,7,4.2,-2.1,-0.1,2,3.7,3.2,3.2,3.3
Timor-Leste,,,,,,,,,,,,,,,,,,,,,-4.1,-6.6,-9,-9,14.9,56.7,119.8,215.1,314.9,164.5,180.2,212.9,228.2,171.4,75.6,12.8,-33,-17.5,-12.1,6.5,-16.2,1.8,-28,-35.3,-38.9,-38.4,-37.8,-38.9
Togo,-4.8,-2.7,-6.2,-3.3,2.1,-2.1,-3.1,-2.9,-3.7,-2.2,-3,-5.1,-4.8,-3.8,-3.3,-5.4,-6.3,-4.7,-5.9,-5.4,-7,-8.5,-6.1,-5.7,-6.8,-6.6,-5.6,-6,-5,-3.9,-3.7,-5.1,-4.9,-9,-6.8,-7.6,-7.2,-1.5,-2.6,-0.8,-1.5,-3.3,-5.9,-6.4,-5.1,-4.2,-3.4,-2.6
Tonga,-4.6,2.9,4.7,5.8,5.4,3.7,-1.4,6,-5.9,-1.3,-11.4,-8.7,-5.9,-5,-9.2,-8.7,-4.9,-0.7,-8.6,-0.5,-5,-11.7,-7.8,-2.6,-4.6,-9.5,-6.6,-12.5,-6.2,-18.1,-23.8,-20.2,-14.9,-9.6,-6.3,-10.1,-6.5,-6.4,-6.3,-0.9,-3.9,4.9,-3.1,-18.3,-8.2,-7.6,-14.6,-15.3
Trinidad and Tobago,5.6,5.8,-7.2,-12,-5.9,-0.6,-8.4,-4.6,-1.9,-0.9,8.9,-0.1,2.5,2.4,4.3,5.4,1.8,-10.5,-10.5,0.4,6.6,4.6,0.8,8.6,13.3,24,38.3,23.5,30.1,8.3,18.5,18.3,15,20.4,15,8.2,-3.5,6.1,6.8,4.3,-0.6,4.5,9.9,7.3,4.2,4,4.1,4.7
Tunisia,-3.8,-8.9,-10.7,-8.1,-11.6,-6.4,-7.1,-0.9,0.9,-2.7,-4.8,-3.8,-5.7,-5.2,-1.6,-4.1,-2.4,-3.1,-3.2,-2.2,-4.7,-5.3,-3.9,-3.4,-3,-1.7,-2.5,-3.1,-4.4,-3.4,-5.3,-8,-8.7,-9.2,-9.3,-9.1,-8.8,-9.7,-10.4,-7.8,-5.9,-6.2,-10.1,,,,,
Turkey,-3.2,-1.9,-1.1,-2.3,-1.7,-1.1,-1.4,-0.7,1.3,0.7,-1.3,0.4,-0.4,-2.6,1.5,-1,-1,-1,0.7,-0.4,-3.6,1.9,-0.3,-2.4,-3.5,-4.1,-5.6,-5.4,-5.1,-1.8,-5.7,-8.9,-5.4,-5.8,-4.1,-3.2,-3.1,-4.8,-2.8,0.7,-4.9,-1.8,-5.7,-2,-0.9,-0.8,-1.2,-1.6
Turkmenistan,,,,,,,,,,,,,0,0,0,0,0,-12.8,-19.3,-8.8,4.9,1,4,1.6,0.3,3,9.3,9.2,9.8,-11.5,-9,-0.8,-1.5,-8.1,-7.8,-17.3,-23.1,-11.1,4.9,2.8,-3.3,2,5.8,5.9,4.8,3.6,2.3,1.4
Tuvalu,,,,,,,,,,,,,,,,,,,,,,53.6,23.3,-61.2,-18.3,-8,28,-16.2,-25.9,-69.6,-60.8,-84.8,-32.1,-7.2,-3.7,-70.6,13.9,11.5,53.9,-16.9,-7.9,2.1,-8.6,0.3,0.8,-8.6,-11.1,-9.7
Uganda,-1.1,0.2,-0.8,-0.8,1.4,0.1,-0.6,-1,-1.7,-2.8,-3.5,-4.4,-2.7,-4,-2.8,-3.8,-2.7,-3.8,-4.4,-3.7,-4.6,-3.7,-1.8,-0.4,0,0.4,-2.3,-3.2,-5.5,-4.3,-6.5,-7.6,-5.4,-5.7,-6.5,-6,-2.8,-4.8,-5.7,-6.2,-9.3,-7.9,-7,-9.8,-10,-12.7,-11.5,-9
Ukraine,,,,,,,,,,,,,-2.8,-2.4,-3.1,-3,-2.6,-2.6,-3,5.1,4.6,3.7,7.5,5.8,10.7,2.9,-1.5,-3.7,-7,-1.5,-2.2,-6.3,-8.1,-9.2,-3.9,1.7,-1.5,-2.2,-3.3,-2.7,3.3,-1.1,,,,,,
United Arab Emirates,25,23.9,16.7,13.7,19.6,18.5,8,11.5,7.7,10.3,16.2,2.7,4.4,5.7,0,0.2,6.1,11.4,4,6.6,16.2,9.1,3.3,5.8,6.4,13.2,17.3,7.9,7.1,3.1,4.2,12.4,19.5,18.8,13.5,4.9,3.7,7.1,9.8,8.9,5.9,11.7,18.5,14,11.3,9.6,8.9,8.2
United Kingdom,0.5,1.5,0.6,0.2,-0.5,-0.3,-1,-1.6,-3.5,-4,-3.1,-1.3,-1.5,-1.3,-0.4,-0.6,-0.5,-0.3,-0.7,-2.5,-2.2,-2,-2.1,-1.8,-2.3,-1.9,-2.8,-3.4,-3.9,-3.2,-3.1,-1.9,-3.5,-4.8,-5.1,-5.2,-5.3,-3.6,-3.9,-2.7,-2.5,-2.6,-5.5,-4.8,-4,-3.7,-3.6,-3.5
United States,0.1,0.2,-0.2,-1.1,-2.3,-2.7,-3.2,-3.3,-2.3,-1.8,-1.3,0,-0.8,-1.2,-1.7,-1.5,-1.5,-1.6,-2.4,-3,-3.9,-3.7,-4.2,-4.6,-5.2,-5.7,-5.9,-5.1,-4.7,-2.6,-2.9,-2.9,-2.6,-2,-2.1,-2.2,-2.1,-1.9,-2.1,-2.2,-2.9,-3.5,-3.5,-3.2,-2.8,-2.5,-2.3,-2.1
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7,-3.2,-3,-0.3,0.8,0,-0.4,1.6,-0.8,-1.9,-0.2,0,-0.3,-0.7,-1,-1.3
Uzbekistan,,,,,,,,,,,,,-5.3,-6.4,1.5,-0.2,-5.6,-3.2,-0.5,-0.8,3.2,1.3,2.3,5.1,5.7,6.4,8.1,6.5,8.9,4.2,4.6,4.6,1.8,1.8,2.6,1,0.2,2.4,-6.8,-5.6,-5,-7,-9.5,-7.4,-6.7,-5.6,-5.2,-5
Vanuatu,1,12.3,10.3,8,15.1,1.1,4.8,9.5,1.7,7.6,2.7,-2.7,-2.6,-1.3,-3.5,-2.2,-1.2,0.3,2.4,-6.9,1.3,-1.4,-6.1,-8.1,-2.8,-9.2,-6.1,-6.6,-10.7,-8.2,-6.2,-8.1,-6.8,-3.5,7.8,0.3,3.4,-4.4,12.2,13.6,2.5,-1.9,-7.8,-6,-4.2,-4.2,-4.2,-4.3
Venezuela,7.4,5.7,-4.8,6,8.7,6.2,-3.3,-3,-9.2,5.5,17.5,3.6,-6.2,-3.3,4.5,2.8,12.7,4.4,-4.8,2.2,10.1,1.6,8,14.1,13.8,17.7,14.8,5.8,10.2,0.2,1.8,4.6,0.7,1.8,2.4,-5,-1.4,6.1,8.8,6.8,-9.3,-1.4,9,6.5,,,,
Vietnam,-1.6,-4.2,-2.6,-1.9,-1.6,-5,-3.4,-2.6,-2.6,-7.3,-3.2,-1.4,-0.1,-8.3,-9,-10,-6.4,-4.5,-4,3.2,2.1,2.2,-1.4,-3.8,-2.5,-0.8,-0.2,-7.1,-8.6,-5.1,-3,0.1,4.7,3.6,3.7,-0.9,0.2,-0.6,1.9,3.7,4.4,-0.5,-0.1,0.8,0.6,0.3,0.1,0
West Bank and Gaza,,,,,,,,,,,,,,,-29.5,-31.7,-31,-31.4,-26.4,-34.8,-19.9,-20.7,-13.7,-27,-34.5,-26.6,-23.1,-7.2,5.2,-14.1,-13.5,-18.5,-14.9,-14.8,-13.6,-13.9,-13.9,-13.2,-13.2,-10.4,-12.3,-12.7,-12.8,-12.4,-11.6,-11.1,-10.3,-9.6
Yemen,,,,,,,,,,,5.8,-3.4,-2.3,-2.1,1,0.3,0.9,0.3,-5,7.2,13.8,6.8,4.1,1.5,1.6,3.8,1.2,-7,-4.6,-10.1,-3.4,-3,-1.7,-3.1,-0.7,-6.2,-2.8,-1.4,-0.8,-3.8,-6,-4.7,-12.3,-9.9,-10.1,-9.2,-7.4,-6.3
Zambia,-13.9,-19.8,-17.5,-9,-11.1,-12.3,-14.6,-4.3,0.4,-3.5,-2.3,0.2,-3.3,-2.5,1.3,-3.8,-3.4,-4.2,-16.1,-11.3,-12.2,-17.4,-12.1,-10.3,-3,-2.8,4.6,-1.2,-3.3,6,7.5,4.7,4.9,-0.8,2.1,-2.7,-3.3,-1.7,-1.3,0.6,12,6.7,4.4,4.3,3.9,3.7,3,3.6
