"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bhutan,0.123,0.133,0.14,0.151,0.156,0.162,0.183,0.222,0.254,0.253,0.273,0.236,0.231,0.242,0.245,0.287,0.301,0.337,0.371,0.389,0.423,0.441,0.481,0.572,0.649,0.758,0.812,0.995,1.26,1.184,1.399,1.695,1.772,1.806,1.784,1.974,2.064,2.294,2.509,2.452,2.416,2.397,2.653,2.881,3.179,3.474,3.775,4.089
Bolivia,3.589,3.44,3.813,3.609,3.752,4.059,3.97,4.323,4.598,4.716,4.868,5.335,5.635,5.724,5.974,6.707,7.385,7.919,8.49,8.269,8.385,8.155,7.917,8.092,8.785,9.573,11.52,13.216,16.792,17.464,19.786,24.135,27.282,30.883,33.237,33.241,34.189,37.782,40.581,41.193,36.897,39.756,41.032,43.351,46.482,49.792,53.287,57.027
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,3.584,4.578,5.281,5.766,5.554,5.784,6.711,8.477,10.157,10.935,12.46,15.323,18.712,17.601,17.164,18.629,17.207,18.155,18.522,16.21,16.91,18.081,20.184,20.203,19.951,22.419,23.358,24.971,26.672,28.412,30.158,32.259
Botswana,1.174,1.037,1.094,1.208,1.2,1.117,1.515,2.374,3.082,3.441,3.799,3.802,3.928,3.957,4.258,4.805,4.926,5.011,4.808,5.413,5.682,5.46,5.395,7.469,8.819,9.833,9.919,10.566,10.731,10.118,12.637,15.111,13.907,14.272,15.47,13.531,15.083,16.105,17.032,16.696,14.93,17.804,18.426,19.821,21.331,22.866,24.705,26.525
Brazil,145.819,167.583,179.166,143.652,142.957,226.938,263.256,286.539,320.105,439.434,455.335,399.249,382.465,429.184,546.764,770.86,851.146,883.862,864.307,599.642,655.454,559.982,509.798,558.232,669.29,891.633,1107.628,1397.114,1695.855,1669.204,2208.704,2614.027,2464.054,2471.718,2456.054,1800.045,1796.622,2063.519,1916.934,1873.286,1448.55,1608.08,1833.274,1980.483,2124.987,2228.793,2328.671,2447.681
Brunei Darussalam,,,,,,4.419,2.695,3.095,2.946,3.304,3.896,4.096,4.631,4.543,4.523,5.239,5.661,5.75,4.482,5.09,6.641,6.198,6.466,7.256,8.711,10.547,12.645,13.432,15.926,11.913,13.707,18.525,19.047,18.092,17.098,12.931,11.399,12.128,13.568,13.47,12.003,19.915,35.555,27.708,23.049,21.322,20.624,20.464
Bulgaria,32.352,34.895,36.394,37.4,39.728,34.016,30.106,34.897,57.029,58.082,25.608,2.509,10.183,5.527,9.716,16.276,12.295,11.317,15.031,13.628,13.246,14.183,16.403,21.146,26.158,29.868,34.38,44.404,54.434,52.024,50.683,57.68,54.299,55.812,57.082,50.782,53.949,59.322,66.428,68.919,69.995,80.327,89.533,97.798,104.502,111.547,117.871,124.403
Burkina Faso,2.386,2.076,1.934,1.767,1.579,1.746,2.29,2.665,2.942,2.942,3.488,3.526,3.775,3.599,2.164,2.676,2.909,2.753,3.155,3.388,2.961,3.19,3.62,4.74,5.449,6.15,6.548,7.627,9.45,9.44,10.118,12.078,12.569,13.444,13.947,11.833,12.83,14.102,16.067,15.991,17.378,19.095,19.621,21.28,23.111,25.06,27.141,29.152
Burundi,0.951,0.989,1.045,1.106,1.005,1.17,1.233,1.161,1.088,1.131,1.131,1.167,1.082,0.938,0.924,1,0.868,0.972,0.893,0.866,0.87,0.877,0.825,0.785,0.915,1.117,1.273,1.356,1.612,1.775,2.032,2.236,2.333,2.456,2.706,3.104,2.96,3.172,3.037,3.012,3.086,3.329,3.431,3.686,3.992,4.322,4.635,4.947
Cabo Verde,0.157,0.154,0.155,0.152,0.145,0.152,0.21,0.26,0.292,0.295,0.339,0.353,0.395,0.398,0.448,0.536,0.553,0.54,0.575,0.657,0.609,0.616,0.679,0.891,1.023,1.091,1.237,1.513,1.788,1.698,1.664,1.866,1.742,1.85,1.86,1.597,1.663,1.77,1.967,1.982,1.707,1.947,1.997,2.178,2.374,2.581,2.786,2.985
Cambodia,,,,,,,0.205,0.141,0.276,0.346,0.899,2.011,2.439,2.427,2.765,3.441,3.507,3.443,3.13,3.513,3.667,3.992,4.289,4.665,5.334,6.287,7.268,8.63,10.342,10.391,11.232,12.818,14.057,15.228,16.702,18.083,20.043,22.208,24.599,27.088,25.192,26.187,28.02,30.239,32.688,35.412,38.424,41.803
Cameroon,8.85,10.026,9.616,9.692,10.243,10.698,13.945,16.152,16.403,14.626,14.641,16.325,14.963,15.611,10.622,10.075,11.227,11.352,11.338,11.553,10.245,10.95,12.369,15.944,18.803,19.534,20.912,23.931,27.712,27.903,27.53,30.626,30.174,33.729,36.396,32.213,33.805,36.086,39.992,39.673,40.863,45.049,45.713,49.518,53.355,57.633,62.145,66.738
