"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Philippines,37.082,40.735,42.441,37.953,35.86,34.973,34.129,37.932,43.293,48.652,50.508,51.784,60.422,62.037,73.159,84.644,94.65,94.106,74.492,85.64,83.667,78.921,84.307,87.039,95.002,107.422,127.653,155.98,181.007,176.132,208.369,234.217,261.92,283.903,297.484,306.446,318.627,328.481,346.842,376.823,361.489,393.612,411.978,445.827,483.286,523.53,567.212,614.63
Poland,56.731,53.752,65.315,75.555,75.656,70.915,73.822,63.84,68.747,67.027,62.206,80.61,88.888,90.544,103.887,139.363,156.993,157.493,172.389,168.13,171.613,190.805,199.07,217.829,255.292,306.304,344.627,429.021,533.6,439.794,479.834,528.292,498.517,521.013,542.602,477.488,472.256,526.643,587.433,597.194,596.633,674.127,699.559,755.645,817.942,883.295,936.768,993.95
Portugal,32.607,32.477,30.678,28.267,25.951,27.231,37.869,47.387,55.435,59.806,79.439,89.904,108.119,95.139,99.692,118.182,122.655,117.211,124.124,127.597,118.658,121.605,134.7,165.185,189.296,197.363,208.767,240.524,263.388,244.402,238.308,245.075,216.361,226.437,229.961,199.414,206.369,221.28,242.423,240.013,228.356,250.053,251.915,267.241,282.765,296.989,310.16,322.686
Puerto Rico,14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,103.446,104.925,104.915,103.138,106.669,116.762,121.068,121.371,122.458,124.17,126.347
Qatar,6.665,7.374,6.467,5.506,5.708,5.339,4.214,4.441,4.26,4.502,6.266,5.579,6.384,5.804,5.946,6.861,7.761,9.976,8.488,11.266,18.085,17.498,19.334,23.716,30.651,44.636,58.629,75.987,112.621,88.196,119.707,167.775,186.834,198.728,206.225,161.74,151.732,161.099,183.335,176.371,144.411,179.571,225.716,228.356,230.717,238.01,247.175,256.906
Romania,46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.281,40.395,46.065,57.806,74.974,98.454,122.024,174.589,214.317,174.102,166.309,183.326,170.636,190.8,199.961,177.731,188.13,211.696,241.456,249.88,249.512,283.476,286.509,312.694,337.236,362.543,388.592,414.99
Russian Federation,,,,,,,,,,,1045.455,856.322,71.603,196.227,293.768,335.777,412.685,433.704,287.672,209.657,278.264,328.475,370.062,461.518,633.294,817.717,1060.901,1393.416,1779.109,1307.927,1633.111,2046.621,2191.484,2288.428,2048.836,1356.704,1280.648,1575.14,1653.006,1695.724,1483.379,1775.548,1829.05,1713.154,1718.194,1742.194,1766.044,1795.503
Rwanda,1.493,1.695,1.808,1.932,1.851,2.199,2.49,2.765,2.959,3.09,2.954,2.179,2.313,2.231,1.418,1.47,1.593,2.144,2.29,2.131,2.049,1.967,1.961,2.137,2.388,2.943,3.317,4.068,5.179,5.671,6.121,6.881,7.651,7.816,8.234,8.542,8.691,9.253,9.641,10.356,10.332,11.131,12.06,13.17,14.247,15.399,16.567,17.924
Saint Kitts and Nevis,0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.421,0.458,0.481,0.469,0.507,0.547,0.644,0.689,0.778,0.774,0.779,0.836,0.826,0.875,0.954,0.958,1.009,1.061,1.079,1.165,0.981,0.95,1.114,1.216,1.291,1.35,1.415,1.483
Saint Lucia,0.17,0.194,0.183,0.197,0.251,0.284,0.34,0.375,0.43,0.487,0.58,0.614,0.674,0.685,0.714,0.763,0.789,0.806,0.877,0.922,0.933,0.892,0.9,0.987,1.067,1.136,1.268,1.336,1.438,1.402,1.487,1.577,1.606,1.666,1.756,1.81,1.866,1.997,2.065,2.119,1.617,1.776,2.082,2.277,2.42,2.527,2.628,2.733
Saint Vincent and the Grenadines,0.089,0.11,0.123,0.132,0.146,0.157,0.174,0.19,0.217,0.232,0.26,0.275,0.3,0.309,0.313,0.341,0.358,0.376,0.403,0.422,0.428,0.462,0.488,0.509,0.55,0.58,0.644,0.714,0.733,0.714,0.72,0.714,0.73,0.765,0.771,0.787,0.814,0.848,0.884,0.91,0.872,0.873,0.953,1.043,1.098,1.152,1.207,1.265
Samoa,0.124,0.116,0.119,0.11,0.108,0.103,0.109,0.121,0.135,0.138,0.177,0.172,0.188,0.193,0.154,0.236,0.251,0.273,0.279,0.255,0.264,0.266,0.282,0.333,0.408,0.474,0.503,0.554,0.667,0.603,0.663,0.737,0.761,0.77,0.757,0.788,0.799,0.832,0.837,0.852,0.807,0.788,0.816,0.868,0.923,0.981,1.037,1.093
San Marino,,,,,,,,,,,,,,,,,,,,,1.008,1.06,1.148,1.462,1.714,1.788,1.91,2.189,2.403,2.062,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.656,1.616,1.543,1.712,1.698,1.777,1.852,1.928,2.003,2.074
Saudi Arabia,164.539,184.292,153.24,129.181,119.631,103.894,86.886,85.582,88.138,95.217,117.473,132.047,136.905,132.79,134.995,143.152,158.451,165.742,146.775,161.717,189.514,184.138,189.606,215.807,258.742,328.206,376.398,415.687,519.797,429.098,528.207,671.239,735.975,746.647,756.35,654.27,644.935,688.586,816.578,803.616,703.368,833.541,1040.166,1021.905,1027.21,1045.572,1072.436,1107.707
Senegal,4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.405,24.534,27.64,28.435,32.107,36.453,39.669,43.096,45.95
Serbia,,,,,,,,,,,,,,,,,,22.228,17.411,11.369,9.312,12.313,16.177,21.219,24.743,27.496,32.602,43.395,52.094,45.156,41.369,49.28,43.3,48.394,47.062,39.656,40.693,44.179,50.641,51.514,53.335,63.068,65.037,72.587,80.179,87.71,95.335,103.257
Seychelles,0.147,0.154,0.148,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.998,0.847,0.97,1.018,1.06,1.328,1.388,1.416,1.49,1.573,1.629,1.683,1.202,1.464,1.75,1.804,1.89,2.014,2.171,2.36
Sierra Leone,1.701,1.823,2.05,1.782,2.062,1.755,1.314,1.145,1.877,1.724,0.948,1.138,0.992,1.122,1.331,1.273,1.374,1.24,0.981,0.977,0.941,1.084,1.25,1.38,1.439,1.61,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007,4.252,3.855,3.713,4.085,4.074,4.059,4.239,4.268,4.266,4.334,4.445,4.612,4.846
Singapore,12.082,14.367,15.879,18.011,19.563,18.573,18.78,21.629,26.551,31.436,38.892,45.465,52.131,60.604,73.689,87.813,96.293,100.124,85.728,86.287,96.077,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,318.822,343.187,376.987,375.484,345.286,396.992,424.431,450.999,473.966,496.813,520.179,543.842
Slovak Republic,,,,,,,,,,,,,,13.726,15.837,20.034,21.659,21.927,22.825,20.867,20.73,21.421,24.888,34.085,43.19,49.116,57.492,77.239,97.17,89.302,90.473,99.235,94.589,98.878,101.351,88.512,89.65,95.36,105.661,105.296,105.088,114.947,118.434,131.046,140.272,149.728,158.351,166.88
Slovenia,,,,,,,,,,,,,19.271,16.626,16.845,21.384,21.516,20.805,22.168,22.77,20.393,20.901,23.539,29.673,34.448,36.26,39.514,48.073,55.773,50.513,48.248,51.575,46.607,48.416,50.01,43.112,44.754,48.572,54.188,54.185,53.547,61.567,63.647,69.888,75.687,81.086,86.233,91.128
Solomon Islands,0.183,0.194,0.193,0.181,0.182,0.166,0.148,0.155,0.176,0.173,0.215,0.228,0.269,0.301,0.403,0.469,0.511,0.527,0.458,0.488,0.42,0.41,0.346,0.353,0.398,0.477,0.539,0.62,0.699,0.736,0.847,1.05,1.191,1.285,1.336,1.307,1.379,1.484,1.575,1.57,1.546,1.611,1.669,1.783,1.905,2.034,2.172,2.317
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.915,4.04,4.574,5.022,5.331,5.53,5.609,5.85,6.477,6.965,7.39,8.491,9.185,9.998,10.9,11.895,12.954
South Africa,,,,,,,,,,,,,,147.236,153.569,171.736,163.34,169.004,152.885,151.426,151.855,135.527,129.385,197.017,256.188,288.749,304.055,332.65,316.491,331.184,417.315,458.708,434.4,400.877,381.195,346.663,323.493,381.317,404.673,387.849,335.344,418.02,426.166,447.72,468.015,486.609,505.006,513.413
"South Sudan, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.186,11.267,14.947,15.383,14.801,3.501,3.495,4.659,5.319,6.71,5.167,5.73,10.771,11.159,11.161,11.652,12.32
Spain,230.759,204.588,197.643,172.856,172.381,181.62,251.304,318.389,374.068,412.59,535.652,576.446,630.122,529.319,531.137,613.946,640.026,589.376,618.414,635.968,598.628,627.834,708.256,907.264,1068.57,1154.354,1260.466,1474.176,1631.685,1489.853,1423.27,1480.45,1325.583,1355.162,1371.576,1195.721,1232.573,1312.076,1421.639,1393.2,1280.459,1426.224,1435.56,1519.09,1610.624,1686.371,1757.756,1824.654
Sri Lanka,5.024,5.228,5.644,6.093,7.142,7.064,7.571,7.884,8.24,8.271,9.468,10.367,11.176,11.948,13.781,14.635,16.051,17.94,18.429,18.519,19.355,18.609,19.579,21.624,23.628,27.939,32.357,37.023,46.608,48.129,56.732,65.265,68.381,74.253,79.312,80.557,82.39,87.428,87.954,83.991,80.677,82.472,81.934,87.121,92.082,97.206,102.309,107.42
Sudan,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.534,64.888,48.906,33.432,33.564,34.381,35.151,31.46,33.195,35.627,38.758,42.044,45.383
Suriname,1.276,1.427,1.469,1.419,1.387,1.402,1.43,1.573,1.864,2.177,0.577,0.637,0.59,0.465,0.523,0.993,1.234,1.322,1.588,1.308,1.355,1.167,1.474,1.729,2,2.393,2.812,3.144,3.783,4.15,4.677,4.735,5.332,5.51,5.612,5.126,3.317,3.592,3.996,3.984,2.884,2.854,2.988,3.119,3.242,3.384,3.575,3.782
Sweden,140.384,128.148,113.059,103.89,108.255,113.249,149.633,181.991,205.883,216.691,259.9,272.205,283.228,212.953,229.034,267.307,291.746,268.146,270.81,274.071,262.834,242.395,266.848,334.337,385.119,392.219,423.091,491.255,517.706,436.536,495.813,574.094,552.484,586.842,581.964,505.104,515.655,541.019,555.455,533.88,541.487,627.438,621.241,669.872,704.462,746.387,789.528,833.343
Switzerland,122.701,112.293,114.856,114.512,109.596,111.242,159.381,199.367,215.521,208.386,266.214,269.391,279.957,272.079,301.353,353.25,340.756,295.237,303.772,298.205,279.913,287.521,310.586,363.353,405.072,420.133,443.831,493.874,570.031,558.073,602.881,721.648,692.35,713.186,734.651,702.163,695.402,704.71,736.025,732.472,751.743,812.552,841.969,888.199,939.246,976.194,1025.11,1064.141
Syria,12.98,16.652,17.415,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.117,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.136,0.093,0.073,0.078,0.077,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.188,0.197,0.233,0.253,0.303,0.349,0.318,0.348,0.376,0.416,0.431,0.477,0.52,0.526,0.569,0.615,0.665,0.725,0.788
Taiwan Province of China,42.285,48.969,49.535,54.148,61.071,63.617,78.195,105.039,126.473,152.704,166.622,187.14,222.911,236.339,256.247,279.059,292.494,303.284,279.964,303.83,330.68,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,590.733,609.198,611.396,669.25,789.505,841.209,892.516,939.405,990.835,1043.13,1095.266
Tajikistan,,,,,,,,,,,,,0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.994,7.535,7.762,8.301,8.134,8.474,7.82,7.699,8.041,8.422,8.826,9.251
Tanzania,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.125,14.159,15.576,17.174,18.867,21.807,27.762,28.985,31.533,34.067,39.651,45.681,50.002,47.384,49.774,53.227,56.699,60.81,64.403,70.281,77.506,86.152,94.06,102.328,111.638,121.557
Thailand,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.889,146.684,169.279,183.035,150.18,113.676,126.539,126.132,120.105,134.177,152.142,172.752,189.084,221.579,263.007,290.97,281.399,340.928,370.929,397.722,420.364,407.373,401.142,413.497,456.523,506.547,544.027,500.293,513.165,522.012,556.372,599.876,632.448,667.124,692.599
Timor-Leste,,,,,,,,,,,,,,,,,,,,,0.367,0.477,0.47,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.042,1.16,1.396,1.447,1.594,1.651,1.616,1.584,2.048,1.902,2.362,1.92,2.035,2.136,2.274,2.422,2.594
Togo,1.994,1.656,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2,2.301,2.854,3.048,3.08,3.173,3.592,4.483,4.554,4.63,5.223,5.229,5.831,6.174,5.641,6.03,6.393,7.115,7.221,7.586,8.418,8.699,9.539,10.452,11.415,12.437,13.444
Tonga,0.071,0.079,0.079,0.077,0.081,0.076,0.09,0.098,0.115,0.139,0.144,0.169,0.178,0.183,0.189,0.207,0.218,0.222,0.212,0.197,0.203,0.181,0.183,0.202,0.231,0.262,0.292,0.299,0.344,0.312,0.367,0.415,0.471,0.451,0.44,0.437,0.421,0.46,0.481,0.512,0.494,0.501,0.528,0.574,0.614,0.643,0.669,0.696
Trinidad and Tobago,6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.925,8.295,8.96,9.148,11.464,13.472,16.17,18.6,22.006,28.233,19.562,22.522,25.789,25.782,27.294,27.643,25.192,22.382,23.18,23.821,23.886,21.393,21.385,25.342,25.03,25.262,25.682,26.13,26.721
Tunisia,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,14.133,14.897,17.809,16.724,17.886,20.616,22.324,21.762,22.87,24.066,22.524,23.146,24.274,28.797,32.71,33.851,36.059,40.819,47.039,45.593,46.21,48.122,47.311,48.681,50.273,45.779,44.36,42.167,42.687,41.772,42.502,46.479,45.642,,,,,
Turkey,96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,219.176,248.573,179.359,233.566,250.486,261.857,275.834,256.566,274.321,202.248,240.191,314.752,409.127,506.186,555.126,680.489,770.82,648.797,776.558,838.508,880.141,957.504,938.512,864.071,869.28,858.932,779.694,760.516,719.919,806.804,692.38,714.305,814.478,913.223,1017.802,1135.918
Turkmenistan,,,,,,,,,,,,,1.607,9.063,7.675,9.927,4.021,4.531,4.837,6.518,8.487,11.717,14.703,19.307,23.991,29.023,36.154,43.875,36.363,34.162,34.788,44.07,49.858,51.301,55.523,44.06,41.698,46.365,48.686,52.961,53.187,63.428,76.591,84.893,91.864,100.036,109.02,119.064
Tuvalu,,,,,,,,,,,,,,,,,,,,,0.015,0.014,0.017,0.02,0.023,0.023,0.024,0.029,0.032,0.028,0.032,0.04,0.039,0.039,0.039,0.037,0.041,0.045,0.048,0.054,0.055,0.063,0.066,0.071,0.077,0.082,0.088,0.094
Uganda,7.486,12.12,8.41,9.619,7.399,6.771,6.746,10.878,11.268,9.136,7.452,3.897,3.645,4.311,6.24,7.473,7.713,8.407,8.23,7.823,7.756,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,33.122,27.639,29.6,31.399,34.203,38.058,37.444,42.48,46.377,50.1,54.325,59.553,65.875,71.745
Ukraine,,,,,,,,,,,,,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.752,85.996,107.767,143.26,181.313,117.079,136.011,163.161,175.707,179.574,130.571,90.477,93.313,112.114,130.916,153.997,155.3,198.316,,,,,,
United Arab Emirates,40.415,45.002,41.848,38.345,38.012,37.31,29.568,32.466,32.999,38.09,49.09,49.821,52.208,53.438,57.45,63.637,70.991,76.199,73.394,82.865,103.893,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.787,350.666,374.591,390.108,403.137,358.135,357.045,385.605,422.215,417.216,358.869,409.967,501.354,506.234,518.077,535.71,558.714,586.359
United Kingdom,603.601,587.273,558.348,532.115,504.226,536.592,654.684,813.147,990.234,1008.433,1195.372,1250.282,1292.094,1157.501,1244.009,1346.687,1422.969,1559.896,1653.549,1686.179,1665.276,1644.331,1786.893,2058.967,2422.908,2547.689,2720.887,3107.373,2969.961,2434.48,2493.557,2675.808,2719.642,2805.115,3088.773,2957.227,2732.956,2701.268,2904.513,2880.357,2758.87,3187.626,3376.003,3686.935,3914.821,4131.676,4345.973,4551.548
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16843.225,17550.675,18206.025,18695.1,19479.625,20527.15,21372.6,20893.75,22997.5,25346.805,26695.15,27745.531,28790.404,29855.871,30966.064
Uruguay,12.165,13.578,11.1,6.093,5.794,5.662,7.029,8.794,9.098,9.589,11.156,13.445,15.451,17.999,20.965,23.152,24.613,26.044,27.587,26.066,24.804,22.712,14.809,13.109,14.892,18.901,21.314,25.486,32.988,34.395,43.763,52.103,55.692,62.499,62.178,57.874,57.237,64.234,64.515,61.231,53.561,59.368,64.283,66.988,69.35,71.803,74.01,76.258
Uzbekistan,,,,,,,,,,,,,4.476,6.897,8.175,12.746,17.453,18.433,18.738,21.362,17.195,14.581,12.106,12.697,15.045,17.939,21.344,27.963,35.858,41.945,49.772,60.213,67.52,73.192,80.848,85.662,85.658,61.018,52.618,59.907,59.893,69.202,73.06,81.809,93.656,105.252,117.433,130.8
Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.517,0.582,0.59,0.652,0.738,0.736,0.755,0.774,0.744,0.775,0.88,0.929,0.93,0.994,0.95,1.015,1.071,1.141,1.219,1.292,1.368
Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.684,91.836,97.517,117.596,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,352.54,352.191,258.993,203.822,323.595,279.249,143.841,98.4,63.96,47.255,46.501,49.086,49.823,,,,
Vietnam,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,303.091,327.873,342.941,366.201,408.947,462.644,515.607,571.117,629.625,690.109
West Bank and Gaza,,,,,,,,,,,,,,,2.843,3.283,3.41,3.76,4.068,4.271,4.314,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.516,13.99,13.972,15.405,16.128,16.277,17.134,15.532,17.775,19.698,20.891,21.853,22.745,23.634,24.603
Yemen,,,,,,,,,,,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.444,31.318,26.842,21.606,21.888,18.84,22.018,28.134,29.556,31.233,33.196,35.491,38.197
Zambia,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,3.87,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.111,20.753,26.665,27.709,29.865,31.987,34.014,36.35
Zimbabwe,,,,,,,,,,,10.144,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.769,11.34,11.244,10.735,9.574,9.465,9.046,8.141,7.785,6.707,9.666,12.042,14.1,17.116,19.093,19.499,19.969,20.555,21.385,36.943,22.995,23.146,32.568,36.387,34.654,36.106,36.393,36.035,36.117
Africa (Region),469.988,479.83,485.462,466.452,408.757,401.285,441.492,495.322,525.681,564.915,658.174,607.199,607.974,606.739,596,708.837,791.487,821.683,830.562,687.647,707.32,684.781,700.631,843.607,1007.776,1184.607,1364.719,1590.207,1838.161,1743.937,2044.975,2278.214,2426.172,2506.237,2588.249,2357.923,2241.748,2261.515,2423.113,2481.025,2396.648,2695.809,2964.535,3171.485,3421.683,3696.638,3996.408,4310.806
Asia and Pacific,2358.188,2519.949,2451.755,2605.351,2763.154,2816.294,3591.907,4266.234,5092.373,5292.339,5519.617,6082.021,6664.305,7505.471,8134.384,9242.326,9021.277,8677.505,7849.647,8723.062,9341.751,8715.983,8950.183,9988.237,11270.928,12188.125,13046.442,14913.96,16874.557,17349.331,20264.519,23314.71,24768.63,25146.076,26063.548,25846.258,26901.924,28834.782,30941.504,31725.002,31777.89,35750.127,38899.158,42291.392,45381.917,48544.773,51789.135,55171.649
Australia and New Zealand,185.335,211.723,210.128,201.811,219.35,196.775,208.746,249.885,316.35,352.185,369.575,367.658,359.421,353.941,406.037,441.097,493.481,495.009,437.916,470.316,453.755,430.635,487.152,623.33,759.938,848.853,892.094,1083.886,1191.27,1121.692,1398.968,1681.618,1744.239,1706.121,1656.665,1409.382,1449.742,1585.589,1626.673,1597.677,1568.015,1880.975,2005.545,2105.114,2208.984,2302.203,2406.424,2516.551
Caribbean,18.11,19.809,21.872,21.792,21.797,22.244,21.212,20.114,20.506,22.083,22.422,22.293,22.034,22.73,25.831,31.555,34.083,36.834,39.595,42.176,44.325,44.726,46.398,47.952,53.162,60.167,65.633,74.263,83.847,73.713,79.001,85.652,88.776,91.399,92.853,91.316,86.652,90.625,95.085,95.068,83.318,95.565,108.737,115.288,118.967,123.357,127.996,132.9
Central America,34.6,34.871,35.303,37.123,44.212,38.356,37.626,37.249,35.512,39.978,36.454,45.663,51.857,56.71,62.199,69.247,74.07,80.813,87.502,88.669,94.03,99.289,104.707,102.597,109.741,131.591,144.141,164.073,184.771,184.664,205.556,230.724,248.756,263.77,281.268,301.142,317.761,336.327,349.306,362.044,333.734,379.107,412.505,437.921,467.071,497.229,529.315,563.592
Central Asia and the Caucasus,96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,230.644,273.172,212.783,280.605,303.79,319.085,334.396,312.971,330.983,264.186,310.923,399.802,518.274,645.974,741.591,926.006,1070.853,925.951,1109.341,1257.267,1336.803,1457.113,1438.101,1289.124,1229.269,1236.386,1171.942,1170.37,1111.322,1234.507,1160.785,1236.2,1372.622,1511.79,1657.904,1821.839
East Asia,1570.123,1688.3,1605.341,1748.934,1854.365,1941.394,2661.913,3219.765,3932.72,4047.947,4122.74,4680.135,5164.748,5912.394,6416.9,7268.322,6847.586,6502.849,5955.331,6692.203,7253.834,6726.027,6750.836,7359.568,8153.113,8614.332,8991.802,9930.594,11373.93,11931.686,13616.575,15721.676,16860.511,17009.111,17744.739,17879.998,18605.031,19762.723,21589.155,22103.995,22568.372,25366.742,27857.217,30381.297,32533.753,34733.356,36966.627,39293.153
Eastern Europe ,160.124,169.825,183.443,185.514,177.958,176.996,183.502,186.925,218.547,212.447,1208.372,1004.597,301.575,458.615,598.818,771.524,891.399,937.089,816.868,703.149,765.122,866.887,979.696,1195.352,1523.43,1866.119,2263.416,2926.472,3657.235,2860.455,3235.07,3824.553,3881.591,4070.387,3828.564,2885.106,2835.382,3307.853,3605.249,3705.174,3470.756,4069.479,3997.252,4066.461,4255.229,4464.599,4656.747,4858.766
Europe,4006.62,3604.073,3489.56,3400.9,3268.05,3381.057,4556.872,5598.121,6264.387,6365.931,8844.615,9127.658,9135.495,8485.468,9114.924,10534.853,10838.732,10287.242,10461.307,10359.34,9740.498,9906.493,10829.368,13152.415,15281.424,16189.096,17504.144,20413.58,22430.169,19707.542,20024.045,22046.125,21111.897,22008.72,22358.262,19210.823,19225.106,20433.624,22050.652,21772.819,20998.574,23786.532,24021.218,25405.312,26705.878,27934.983,29131.464,30292.704
Middle East (Region),391.049,425.512,413.304,420.734,417.637,419.826,426.142,514.446,544.309,621.404,879.053,621.223,399.775,421.819,468.37,527.436,606.878,654.496,658.815,774.126,962.609,910.657,725.153,813.132,972.347,1187.684,1401.858,1667.431,2094.554,1855.272,2193.143,2627.331,2600.487,2713.455,2791.528,2419.846,2443.654,2634.261,2928.002,3070.868,3039.468,3905.656,4780.325,4847.267,4975.273,5146.365,5346.422,5576.296
North Africa,136.375,130.856,135.728,142.243,147.289,163.702,169.372,195.527,206.281,232.288,232.937,176.191,179.263,179.789,179.263,197.651,219.228,225.395,232.012,245.557,259.154,253.735,234.006,260.075,293.519,340.854,389.592,459.583,555.26,524.825,599.632,629.237,713.164,705.165,703.993,662.228,658.753,588.797,627.84,674.545,688.058,777.698,856.699,886.056,938.53,1004.071,1073.61,1146.717
North America,3376.431,3823.836,3888.28,4166.879,4618.401,4942.861,5131.122,5477.326,5973.909,6483.171,6880.22,7151.065,7553.064,7975.327,8434.664,8648.434,9160.037,9781.163,10277.437,10967.657,11765.192,12147.255,12533.905,13157.218,14106.214,15174.096,16197.615,17085.367,17526.341,16850.992,17822.502,18673.891,19384.971,20066.714,20774.228,21037.779,21405.926,22391.249,23579.781,24488.932,23729.429,26389.76,29007.525,30558.262,31781.789,32997.996,34242.422,35537.596
