General government net lending/borrowing (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Central African Republic,,,,,,,,,-3.7,-3.2,-6.6,-8,-7.3,-5.7,-7.6,-4.8,-1.1,-1.6,0,-0.5,-2,-0.9,-1.2,-3,-1.7,-4.3,8.6,1,-1.2,-0.6,-1.3,-2.1,0.4,-5.9,-3.9,-0.6,1.1,-1.1,-1,1.4,-3.4,-6,-2.5,-2,-1.8,-1.6,-1.4,-1.1
Chad,,,,,,,,,,,,,,,,-4.1,-3.7,-3.3,-2.2,-5.3,-6.1,-4.6,-5.3,-5.6,-2.4,-0.1,2.2,2.5,3.6,-9.2,-4.2,2.4,0.5,-2.1,-4.2,-4.4,-1.9,-0.2,1.9,-0.2,2.1,-0.8,5.9,8.3,4.6,4.2,5.2,3.9
Chile,,,,,,,,,,,2.2,1.5,2,1.4,1.4,3,2,2,0.4,-2,-0.7,-0.5,-1.1,-0.4,2,4.5,7.3,7.8,3.9,-4.2,-0.4,1.4,0.7,-0.5,-1.5,-2.1,-2.7,-2.6,-1.5,-2.7,-7.2,-7.5,-1.5,-0.6,-0.3,-0.2,-0.3,-0.2
"China, People's Republic of",,,0.2,0,0.1,0.9,-0.3,-0.7,-1,-0.9,-0.7,-1,-1.2,-0.9,-1.7,-1,-0.7,-0.7,-1.1,-2.3,-2.8,-2.6,-2.9,-2.4,-1.5,-1.4,-1.1,0.1,0,-1.8,-0.4,-0.1,-0.3,-0.8,-0.7,-2.5,-3.4,-3.4,-4.3,-6.1,-10.7,-6,-7.7,-7.1,-7,-6.9,-6.9,-6.8
Colombia,,,-4.3,-3.8,-3.9,-2.5,-1.9,-0.6,-0.9,-1.5,-0.4,0.3,-0.1,-0.2,-0.1,-1,-2.5,-3.2,-3.9,-5.4,-2.9,-2.7,-3.5,-2.7,-1.3,0,-1,-0.8,0,-2.7,-3.3,-2,0.2,-1,-1.7,-3.5,-2.3,-2.5,-4.7,-3.5,-7,-6.8,-4.6,-2.2,-1.4,-0.9,-1,-1.1
Comoros,,,,,-5.7,-5.1,-4.9,-3.1,-2.7,-1.3,-1,-2.3,-2,1.3,-3.7,-4.1,-3.4,-1.3,-2,-0.5,-1.1,-2.1,-2.1,-2,-1,0,-1.5,-1.2,-1.5,0.4,4.2,0.9,2,10.5,-0.3,2.6,-5.5,-0.1,-1.3,-4.3,-0.5,-2.4,-5.6,-5.3,-3.5,-2.9,-1.6,-1.5
"Congo, Dem. Rep. of the",,,,,,,,,,,,,,,,,-0.6,-1.1,-1.5,-1.3,-1.9,-1.3,0.7,-4.2,-0.4,0.6,1.1,0.5,-0.5,0.9,-1,-1,1.8,1.9,0,-0.4,-0.5,1.4,0,-2,-1.4,0,-3.3,-2.4,-2.1,-2.1,-1.7,-1.2
"Congo, Republic of ",,,,,,,,,,0.8,-4.1,-11.2,-12.7,-11.3,-10.6,-6.4,9.2,3.7,-5.2,-4.7,1,-0.7,-7.3,0.4,3.3,13.4,16,9,23.9,4.8,15.5,16.1,7.2,-2.8,-10.7,-17.8,-15.6,-5.9,5.7,4.7,-1.2,2,11.3,7.7,7.5,4.8,3.1,3.1
Costa Rica,,,,,,,,,,,-4.4,-2.4,-1.5,-1.5,-5.5,-3.7,-4.3,-3.4,-3,-2.9,-3.7,-3.5,-5,-3.4,-3.4,-2.8,-1.4,0.3,-0.3,-3.4,-5.2,-4.1,-4.5,-5.4,-5.7,-5.5,-5.1,-6,-5.7,-6.7,-8.4,-5.1,-4.5,-3.7,-2.9,-2.4,-2.2,-1.9
Croatia,,,,,,,,,,,,,-3.2,-0.5,1.7,-1.1,-1.2,-1.7,-2.7,-7,-5.5,-5.7,-3.3,-4.5,-4.9,-3.6,-3.1,-2.2,-2.8,-6,-6.4,-8,-5.5,-5.4,-5.3,-3.4,-0.9,0.8,0.2,0.2,-7.4,-3.7,-2.9,-2.2,-1.9,-1.6,-1.5,-1.4
