"Current account balance
U.S. dollars (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Myanmar,,,,,,,,,,,,,,,,,,,-1.101,-0.881,-0.635,-0.486,-0.109,0.105,0.243,0.632,0.989,0.488,-0.802,-0.945,1.804,-1.014,-1.071,-0.75,-2.822,-2.176,-2.527,-4.162,-3.139,-1.945,-2.749,-0.836,-0.096,-0.378,-0.683,-0.731,-1.017,-0.96
Namibia,,,,,,,,,,,0.028,0.105,0.05,0.11,0.085,0.176,0.116,0.09,0.162,-0.028,0.192,0.011,0.086,0.266,0.446,0.329,1.083,0.748,-0.009,-0.317,-0.448,-0.858,-1.119,-0.992,-1.173,-1.559,-1.769,-0.568,-0.47,-0.22,0.321,-0.906,-0.894,-0.63,-0.485,-0.431,-0.407,-0.398
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.028,0.023,0.019,0.035,0.049,0.029,-0.017,0.004,0.014,0.01,0.006,0.003,0.006,-0.003,0,0,0,0,0
Nepal,-0.112,-0.104,-0.188,-0.232,-0.238,-0.17,-0.127,-0.138,-0.226,-0.269,-0.294,-0.328,-0.223,-0.218,-0.256,-0.1,-0.243,-0.038,-0.049,0.218,0.366,0.451,0.232,0.153,0.196,0.163,0.192,-0.014,0.344,0.536,-0.378,-0.181,0.909,0.635,0.908,1.067,1.339,-0.093,-2.35,-2.369,-0.339,-2.844,-4.14,-2.896,-2.15,-1.786,-1.728,-1.4
Netherlands,-0.855,3.826,5.025,5.089,6.38,4.248,4.318,4.187,7.132,10.039,8.089,7.466,6.847,13.203,17.294,25.773,21.502,25.077,13.031,15.682,7.257,9.814,11.032,29.892,49.75,48.322,66.682,58.437,47.266,47.141,58.805,77.252,85.576,85.536,72.931,48.262,63.235,90.252,99.144,85.301,63.719,96.299,75.011,78.118,77.898,80.526,81.06,77.162
New Zealand,-0.903,-1.156,-1.71,-0.978,-1.978,-1.491,-1.54,-1.486,-0.15,-1.326,-1.307,-1.04,-1.526,-1.485,-1.669,-2.46,-3.262,-3.584,-1.58,-2.946,-1.809,-0.437,-1.32,-2.046,-4.668,-8.089,-7.889,-9.243,-10.508,-2.65,-3.327,-4.671,-6.885,-5.934,-6.28,-4.997,-3.933,-5.732,-8.332,-6.147,-1.73,-14.316,-16.655,-14.794,-12.235,-12.727,-13.321,-14.344
Nicaragua,-0.411,-0.592,-0.514,-0.507,-0.597,-0.771,-0.691,-0.69,-0.715,-0.362,-0.305,-0.264,-0.769,-0.604,-0.911,-0.722,-0.825,-0.841,-0.687,-0.928,-0.936,-0.82,-0.784,-0.706,-0.687,-0.784,-0.885,-1.207,-1.45,-0.702,-0.777,-1.164,-1.235,-1.38,-0.954,-1.26,-1.127,-0.987,-0.234,0.754,0.739,-0.366,-0.475,-0.243,-0.286,-0.325,-0.412,-0.41
Niger,-0.276,-0.181,-0.233,-0.062,0.001,-0.064,-0.156,-0.177,-0.23,-0.257,-0.236,-0.176,-0.159,-0.097,-0.126,-0.152,-0.109,-0.133,-0.152,-0.137,-0.104,-0.092,-0.166,-0.219,-0.231,-0.312,-0.314,-0.352,-0.654,-1.325,-1.137,-1.433,-1.022,-1.151,-1.307,-1.486,-1.182,-1.274,-1.625,-1.577,-1.85,-2.357,-2.465,-2.396,-1.939,-1.416,-2.048,-2.156
Nigeria,5.178,-6.474,-7.282,-4.332,0.123,2.604,0.211,-0.073,-0.296,1.09,4.988,1.203,2.268,-0.78,-2.128,-2.578,3.507,0.552,-4.244,0.506,7.427,2.478,1.083,3.391,16.841,36.529,36.518,27.648,29.145,13.869,13.111,10.668,17.374,19.049,0.907,-15.439,5.077,12.689,6.261,-14.627,-16.976,-3.712,-5.534,-6.554,-5.642,-6.738,-6.379,-6.402
North Macedonia ,,,,,,,,,,,,,-0.009,-0.109,-0.305,-0.273,-0.331,-0.297,-0.311,-0.098,-0.068,-0.248,-0.356,-0.192,-0.45,-0.152,-0.029,-0.577,-1.268,-0.637,-0.191,-0.263,-0.309,-0.178,-0.057,-0.197,-0.305,-0.119,-0.008,-0.412,-0.418,-0.492,-0.82,-0.554,-0.486,-0.481,-0.499,-0.508
Norway,1.079,2.17,0.524,2.436,3.266,3.024,-4.704,-4.369,-4.029,-0.108,2.806,4.196,4.267,3.321,3.54,5.011,10.717,9.691,-0.752,8.556,24.879,27.145,23.743,27.114,32.444,49.496,55.722,48.111,71.285,40.824,46.487,61.661,64.206,53.933,54.052,30.994,16.425,21.815,34.754,11.732,4.034,74.053,107.997,92.199,80.584,69.352,61.893,61.533
Oman,1.116,1.377,0.503,0.506,0.319,0.006,-1.027,0.79,-0.307,0.349,1.099,-0.197,-0.558,-1.377,-0.753,-0.818,0.206,-0.195,-3.121,-0.461,3.13,1.977,1.699,1.453,0.902,5.178,5.663,2.46,5.017,-0.503,4.882,8.85,7.818,5.204,4.206,-10.939,-12.54,-10.98,-4.287,-4.16,-8.66,-3.081,6.488,6.154,3.907,2.062,1.702,1.706
Pakistan,-0.915,-0.85,-0.374,-0.568,-1.12,-0.848,-0.593,-0.985,-1.374,-1.493,-1.378,-1.723,-1.066,-3.354,-1.66,-2.168,-4.172,-3.598,-1.704,-1.856,-0.215,0.324,2.833,4.07,1.831,-1.474,-4.899,-6.772,-13.788,-9.26,-3.946,0.214,-4.658,-2.496,-3.13,-2.815,-4.961,-12.27,-19.195,-13.434,-4.449,-1.916,,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,-0.074,-0.05,-0.046,-0.04,-0.054,-0.046,-0.05,-0.038,-0.041,-0.02,-0.017,-0.026,-0.034,-0.033,-0.047,-0.026,-0.04,-0.055,-0.044,-0.085,-0.124,-0.122,-0.125,-0.08,-0.072,-0.073,-0.071,-0.069
Panama,-0.329,-0.535,-0.194,0.199,-0.202,0.075,-0.099,0.545,0.721,0.112,0.209,-0.241,-0.264,-0.096,0.016,-0.471,-0.201,-0.507,-1.016,-1.159,-0.673,-0.17,-0.096,-0.537,-1.003,-1.064,-0.463,-1.537,-2.641,-0.212,-3.113,-4.523,-3.735,-4.084,-6.677,-4.848,-4.508,-3.745,-4.95,-3.329,1.202,-1.849,-2.912,-2.535,-2.643,-2.726,-2.689,-2.741
Papua New Guinea,-0.23,-0.41,-0.299,-0.375,-0.321,-0.15,-0.105,-0.215,-0.337,-0.355,-0.092,-0.152,-0.001,0.516,0.489,0.915,0.19,-0.458,-0.317,-0.121,0.137,0.113,-0.053,0.01,-0.091,0.631,-0.135,0.211,0.568,-0.841,-2.794,-4.352,-7.81,-6.737,3.279,5.327,5.892,6.464,5.896,5.088,5.166,5.938,7.509,7.226,7.257,7.332,7.399,7.523
Paraguay,-0.277,-0.374,-0.375,-0.248,-0.317,-0.252,-0.365,-0.49,-0.21,0.256,0.385,0.172,0.027,0.157,-0.161,-0.217,-0.069,-0.549,0.132,0.139,-0.247,-0.032,0.62,0.017,-0.01,-0.068,0.168,0.779,0.2,0.604,0.049,0.2,-0.286,0.621,-0.051,-0.145,1.305,1.183,0.021,-0.178,0.96,0.305,-1.21,0.187,0.22,0.259,0.304,0.409
Peru,-1.045,-2.36,-2.218,-1.291,-0.269,0.051,-1.371,-1.795,-1.793,-0.219,-1.458,-1.517,-1.916,-2.463,-2.698,-4.623,-3.645,-3.367,-3.339,-1.38,-1.545,-1.198,-1.096,-0.931,0.065,1.162,2.915,1.522,-5.286,-0.633,-3.562,-3.376,-6.087,-10.379,-9.083,-9.524,-5.063,-2.776,-3.924,-2.404,1.546,-6.19,-3.676,-3.694,-4.126,-4.278,-4.006,-4.186
Philippines,-1.904,-2.061,-3.2,-2.771,-1.294,-0.036,0.952,-0.444,-0.39,-1.456,-2.695,-1.034,-1,-3.016,-2.95,-1.98,-3.953,-4.351,1.546,-2.875,-2.228,-1.75,-0.282,0.285,1.625,1.99,6.963,8.072,0.144,8.448,7.179,5.643,6.949,11.384,10.756,7.266,-1.199,-2.143,-8.877,-3.047,11.578,-6.922,-11.304,-9.858,-8.597,-9.457,-10.287,-10.984
Poland,-3.417,-3.986,-1.941,-1.581,-1.083,-0.982,-1.106,-0.379,-0.107,-1.409,3.067,-2.146,-3.104,-5.788,0.634,0.854,-3.264,-5.744,-6.901,-12.487,-10.343,-5.946,-5.544,-5.473,-14.6,-8.858,-14.894,-28.752,-37.272,-18.678,-26.623,-28.395,-20.055,-9.425,-14.217,-4.361,-3.749,-2.164,-7.54,2.819,17.519,-5.76,-20.618,-20.651,-20.751,-20.599,-18.761,-19.624
Portugal,-1.064,-4.686,-3.258,-1.632,-0.623,0.38,1.166,0.435,-1.066,0.153,-0.181,-0.716,-0.184,0.233,-2.196,-0.132,-5.507,-7.161,-9.369,-11.315,-12.81,-12.707,-11.292,-10.958,-15.062,-18.918,-21.419,-23.138,-31.166,-25.158,-24.442,-14.65,-3.491,3.704,0.364,0.459,2.419,2.865,1.344,1.044,-2.44,-2.844,-6.669,-3.851,-2.873,-2.408,-2.247,-1.408
Qatar,8.364,8.223,5.631,3.704,5.641,3.908,1.658,2.048,1.642,2.362,-0.664,-0.87,-1.066,-1.256,-1.14,-1.894,-2.116,-3.079,-2.161,0.092,1.659,4.152,3.824,5.754,7.552,7.482,9.459,11.458,26.595,6.389,23.952,52.124,62,60.461,49.41,13.751,-8.27,6.426,16.652,4.26,-2.86,26.425,44.907,34.467,22.362,16.132,12.562,12.416
Romania,-2.394,-0.826,1.047,1.166,1.725,1.382,1.397,2.044,3.927,2.514,-1.758,-1.251,-1.685,-1.176,-0.5,-1.584,-2.35,-1.907,-2.892,-1.446,-0.972,-1.285,-1.231,-2.703,-5.69,-8.621,-12.827,-23.708,-24.696,-8.106,-8.879,-9.323,-8.459,-1.792,-0.529,-1.427,-2.981,-6.571,-11.218,-12.211,-12.528,-20.06,-20.144,-20.479,-20.499,-21.469,-22.2,-23.174
Russian Federation,,,,,,,,,,,,,-1.2,2.6,8.942,7.438,10.103,-0.835,0.071,22.855,45.382,32.054,27.473,33.128,58.56,84.389,92.316,72.193,103.935,50.384,67.452,97.274,71.282,33.428,57.513,67.777,24.469,32.179,115.68,65.542,36.03,122.04,227.466,138.416,90.638,76.957,61.858,56.307
Rwanda,-0.052,-0.072,-0.09,-0.048,-0.041,-0.064,-0.069,-0.135,-0.119,-0.102,-0.085,-0.034,-0.083,-0.129,0.099,0.057,-0.009,-0.062,-0.083,-0.141,-0.094,-0.102,-0.136,-0.105,-0.044,-0.066,-0.139,-0.085,-0.242,-0.379,-0.399,-0.477,-0.741,-0.585,-0.935,-1.084,-1.331,-0.875,-0.975,-1.231,-1.234,-1.169,-1.378,-1.359,-1.247,-1.2,-1.028,-1.118
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,-0.08,-0.124,-0.112,-0.059,-0.025,-0.078,-0.046,-0.056,-0.04,-0.039,-0.034,-0.022,-0.014
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.044,0,-0.122,-0.039,0.031,0.12,-0.237,-0.193,-0.111,-0.023,0.015,0.015,0.009,0.002
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,-0.116,-0.104,-0.099,-0.09,-0.028,-0.136,-0.213,-0.264,-0.275,-0.179,-0.171,-0.114,-0.113
Samoa,-0.016,-0.017,-0.009,0.001,-0.003,0.002,0.01,0.011,0.013,0.014,0.013,-0.031,-0.025,-0.035,0.004,0.01,0.011,-0.009,0.003,-0.022,-0.004,-0.011,-0.024,-0.013,-0.014,-0.035,-0.044,-0.076,-0.032,-0.029,-0.043,-0.051,-0.072,-0.012,-0.069,-0.022,-0.036,-0.016,0.007,0.026,0.001,-0.121,-0.102,-0.063,-0.038,-0.031,-0.028,-0.026
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,-0.031,0.1,0.058,0.046,0.005,0.02,0.03,0.019,0.01,0.003
Saudi Arabia,41.503,39.627,7.575,-16.852,-18.401,-12.932,-11.785,-9.76,-7.331,-9.525,-4.147,-27.509,-17.717,-17.245,-10.473,-5.318,0.679,0.305,-13.132,0.411,14.317,9.353,11.873,28.048,51.926,89.99,98.934,93.329,132.322,20.955,66.751,158.546,164.764,135.442,73.758,-56.724,-23.843,10.464,71.972,38.23,-21.565,54.644,203.041,150.863,115.925,88.94,67.945,50.53
Senegal,-0.432,-0.452,-0.307,-0.304,-0.272,-0.272,-0.268,-0.306,-0.414,-0.381,-0.444,-0.451,-0.506,-0.456,-0.289,-0.323,-0.337,-0.27,-0.339,-0.341,-0.328,-0.246,-0.323,-0.437,-0.513,-0.678,-0.724,-1.337,-1.906,-0.856,-0.568,-1.158,-1.548,-1.563,-1.382,-1.016,-0.797,-1.527,-2.037,-1.853,-2.666,-3.251,-3.687,-2.712,-1.384,-1.549,-1.547,-1.929
Serbia,,,,,,,,,,,,,,,,,,-1.135,-0.469,-0.455,-0.178,0.253,-0.636,-1.527,-3.262,-2.202,-2.96,-6.958,-10.349,-2.66,-2.486,-3.995,-4.674,-2.778,-2.632,-1.369,-1.189,-2.311,-2.451,-3.54,-2.198,-2.772,-3.972,-4.123,-4.805,-4.734,-4.876,-5.175
Seychelles,-0.016,-0.019,-0.041,-0.026,-0.013,-0.019,-0.033,-0.021,-0.028,-0.04,-0.013,-0.008,-0.007,0.009,0.031,0.001,-0.052,-0.066,-0.106,-0.117,-0.043,-0.153,-0.101,-0.009,-0.06,-0.174,-0.134,-0.111,-0.185,-0.126,-0.188,-0.234,-0.224,-0.159,-0.31,-0.256,-0.294,-0.3,-0.284,-0.272,-0.277,-0.298,-0.525,-0.425,-0.355,-0.353,-0.361,-0.38
Sierra Leone,-0.165,-0.132,-0.17,-0.018,-0.023,0.003,0.141,-0.03,-0.003,-0.06,-0.069,0.015,-0.005,-0.058,-0.089,-0.118,-0.151,-0.055,-0.033,-0.099,-0.112,-0.098,-0.073,-0.083,-0.099,-0.105,-0.095,-0.16,-0.225,-0.327,-0.585,-1.914,-1.21,-0.737,-0.473,-1.003,-0.294,-0.68,-0.505,-0.584,-0.276,-0.553,-0.736,-0.584,-0.512,-0.415,-0.384,-0.378
Singapore,-1.613,-1.542,-1.348,-0.653,-0.403,0.02,0.337,-0.103,1.947,2.978,3.142,4.874,5.854,4.107,11.264,14.486,14.085,15.589,18.682,14.845,10.637,12.96,13.767,23.73,22.214,29.729,39.971,49.114,29.204,31.827,54.996,62.069,52.064,48.312,56.519,57.574,56.263,59.383,57.125,54.273,58.139,71.926,55.349,57.224,59.713,62.117,63.852,65.153
Slovak Republic,,,,,,,,,,,,,,-0.651,0.664,0.538,-2.094,-1.93,-2.185,-0.932,-0.639,-1.709,-1.892,-1.668,-2.526,-3.579,-4.039,-3.707,-6.178,-3.075,-4.224,-4.867,0.879,1.831,1.157,-1.852,-2.458,-1.827,-2.331,-3.541,0.108,-2.342,-5.889,-6.32,-4.792,-4.235,-4.041,-3.883
Slovenia,,,,,,,,,,,,,1.087,0.282,0.565,-0.097,0.015,0.023,-0.147,-0.735,-0.564,0.008,0.206,-0.24,-0.927,-0.653,-0.725,-1.989,-2.967,-0.546,-0.371,-0.431,0.604,1.598,2.549,1.645,2.138,3.02,3.227,3.245,3.952,2.054,-0.33,-0.945,-1.297,-1.75,-1.853,-2.463
Solomon Islands,-0.006,-0.021,-0.004,-0.006,0,-0.029,0.008,0,-0.021,-0.026,-0.026,-0.036,-0.007,-0.007,0.001,-0.085,-0.035,-0.021,-0.006,0.014,-0.031,-0.026,-0.015,0.021,0.061,-0.029,-0.043,-0.08,-0.111,-0.131,-0.223,-0.076,0.016,-0.039,-0.05,-0.035,-0.049,-0.063,-0.048,-0.154,-0.025,-0.093,-0.199,-0.212,-0.201,-0.197,-0.199,-0.22
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.531,-0.329,-0.336,-0.391,-0.434,-0.361,-0.676,-0.752,-1.103,-1.084,-1.139,-1.266,-1.32,-1.565,-1.703
South Africa,3.287,-5.143,-3.422,-0.404,-1.873,2.321,2.775,5.105,2.567,1.514,1.545,1.416,1.963,2.778,0.016,-2.494,-1.656,-2.221,-2.368,-0.68,-0.172,0.333,1.044,-1.447,-6.332,-8.063,-12.248,-16.121,-15.881,-8.063,-5.576,-9.204,-20.371,-21.353,-18.321,-15.043,-8.656,-9.028,-11.996,-10.002,6.668,15.364,5.34,-4.504,-7.107,-8.125,-9.426,-10.483
"South Sudan, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125,-1.793,-0.581,-0.189,0.246,0.589,0.166,0.339,0.082,-1.044,-0.392,0.547,0.124,0.048,-0.137,0.281,0.165
Spain,-5.3,-5.113,-4.704,-2.455,2.086,2.088,3.677,-0.037,-3.685,-11.508,-18.054,-20.055,-21.424,-10.509,-11.496,-7.68,-5.5,-4.286,-10.421,-20.587,-25.801,-27.47,-26.417,-35.229,-58.579,-83.74,-111.57,-139.047,-145.274,-60.907,-52.028,-40.321,1.139,27.624,23.307,24.223,39.14,36.373,26.715,29.318,10.558,13.429,4.277,6.562,17.121,23.067,25.42,27.323
Sri Lanka,-0.848,-0.672,-0.794,-0.47,-0.054,-0.422,-0.564,-0.496,-0.665,-0.578,-0.377,-0.62,-0.554,-0.61,-0.981,-0.985,-0.881,-0.531,-0.353,-0.672,-1.066,-0.179,-0.236,-0.074,-0.648,-0.605,-1.5,-1.401,-3.885,-0.215,-1.075,-4.615,-3.981,-2.539,-1.988,-1.882,-1.744,-2.309,-2.798,-1.848,-1.083,-3.531,-5.843,-4.015,-3.576,-3.453,-3.318,-3.333
Sudan,-0.931,-1.371,-1.1,-0.713,-0.766,-0.825,-1.358,-1.601,-1.841,-2.045,-2.2,-2.5,-1.475,-1.408,-1.476,-1.475,-1.086,-1.098,-1.428,-0.767,-0.518,-0.522,-0.974,-0.939,-0.818,-2.473,-6.496,-3.597,-3.594,-4.927,-1.725,-2.653,-6.259,-5.822,-3.545,-5.461,-4.213,-4.611,-4.679,-5.244,-6.004,-2.07,-2.088,-2.316,-2.341,-2.469,-2.679,-2.765
Suriname,0.015,-0.027,-0.056,-0.173,-0.118,-0.032,-0.049,-0.03,-0.037,0.167,-0.002,-0.096,-0.025,0.021,0.053,0.063,-0.063,-0.092,-0.183,-0.09,-0.009,-0.281,-0.201,-0.087,-0.138,-0.147,0.221,0.325,0.325,0.111,0.651,0.431,0.162,-0.196,-0.416,-0.786,-0.161,0.069,-0.119,-0.448,0.261,0.149,-0.029,0.006,-0.003,-0.01,-0.017,-0.043
Sweden,-4.331,-2.778,-3.422,-0.743,0.725,-1.162,0.927,0.284,-0.49,-3.102,-6.268,-4.696,-7.469,-2.659,2.294,8.355,9.514,10.19,9.484,10.469,10.019,11.163,11.636,19.403,22.833,23.337,34.168,39.549,39.917,25.752,28.942,31.185,30.214,30.688,24.516,16.74,12.322,15.967,15.082,29.35,32.887,34.594,30.217,29.389,28.022,28.432,28.852,30.195
Switzerland,-0.639,2.651,3.849,0.822,6.129,6.071,4.748,6.652,9.112,8.248,7.86,11.246,13.124,17.455,16.855,17.151,18.133,24.845,23.019,25.37,29.719,19.547,21.577,40.008,51.98,48.757,56.514,42.679,8.724,34.047,81.385,49.137,65.395,72.354,55.257,66.314,55.654,44.117,44.754,39.775,21.179,75.539,53.02,62.021,69.637,68.155,75.501,74.54
Syria,-0.635,-0.466,-0.252,-0.807,-0.797,-0.859,-0.504,-0.298,-0.131,1.222,1.748,1.685,0.542,-0.242,-0.852,0.207,-0.041,0.412,0.13,0.303,1.036,0.83,1.12,-1.663,-0.781,-0.648,0.48,-0.095,-0.673,-1.584,-1.707,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,-0.014,-0.02,-0.028,-0.012,-0.017,-0.019,-0.015,-0.012,-0.019,-0.028,-0.03,-0.034,-0.027,-0.03,-0.025,-0.027,-0.024,-0.014,-0.012,-0.012,-0.016,-0.016,-0.017,-0.015,-0.023,-0.026,-0.045,0.123,-0.033,-0.049,-0.045,-0.065,-0.055,-0.044,-0.072,-0.038,-0.021,-0.05,-0.051,-0.052,-0.049,-0.05,-0.064,-0.049,-0.044,-0.043,-0.044,-0.037
Taiwan Province of China,,,,,6.98,9.206,16.282,18.045,10.266,11.503,10.914,12.468,8.55,7.042,6.498,5.474,10.923,6.776,3.129,7.577,8.219,17.084,24.346,28.261,17.263,14.948,23.157,32.044,24.794,40.662,36.726,37.914,42.925,49.937,60.607,72.769,71.259,83.073,70.843,65.161,94.956,116.123,111.181,103.139,95.737,94.33,93.714,93.072
Tajikistan,,,,,,,,,,,,,-0.049,-0.207,-0.167,-0.102,-0.082,-0.045,-0.097,-0.01,-0.016,-0.052,-0.015,-0.005,-0.057,-0.296,-0.372,-1.194,-1.059,-0.717,-0.581,-0.413,-0.681,-0.885,-0.316,-0.477,-0.291,0.159,-0.38,-0.185,0.336,0.237,-0.109,-0.166,-0.204,-0.21,-0.224,-0.177
Tanzania,-0.521,-0.407,-0.523,-0.305,-0.359,-0.375,-0.321,-0.407,-0.357,-0.335,-0.559,-0.737,-0.714,-0.895,-0.637,-0.59,-0.413,-0.436,-0.704,-0.777,-0.397,-0.309,-0.174,-0.16,-0.5,-0.907,-1.343,-1.831,-2.126,-2.179,-2.352,-3.571,-4.586,-4.891,-4.897,-3.67,-2.103,-1.407,-1.736,-1.573,-1.169,-2.34,-3.318,-3.067,-2.868,-2.859,-2.924,-2.981
Thailand,-2.076,-2.571,-1.003,-2.873,-2.109,-1.537,0.247,-0.366,-1.654,-2.498,-7.281,-7.571,-6.303,-6.355,-8.059,-13.582,-14.691,-3.021,14.242,12.428,9.313,5.101,4.654,4.772,2.759,-7.642,2.315,15.584,0.931,22.189,11.486,9.427,-4.899,-8.833,11.643,27.753,43.438,43.952,28.423,38.044,21.178,-10.901,-0.401,11.025,22.117,20.102,21.616,22.526
Timor-Leste,,,,,,,,,,,,,,,,,,,,,-0.015,-0.032,-0.042,-0.044,0.066,0.262,0.544,1.167,2.042,1.195,1.589,2.219,2.648,2.392,1.094,0.204,-0.544,-0.284,-0.191,0.133,-0.308,0.042,-0.538,-0.719,-0.83,-0.873,-0.914,-1.01
Togo,-0.095,-0.044,-0.087,-0.043,0.026,-0.027,-0.056,-0.061,-0.087,-0.051,-0.084,-0.141,-0.139,-0.082,-0.056,-0.122,-0.154,-0.117,-0.14,-0.127,-0.14,-0.169,-0.14,-0.162,-0.207,-0.204,-0.176,-0.216,-0.223,-0.177,-0.172,-0.266,-0.255,-0.525,-0.419,-0.43,-0.437,-0.097,-0.185,-0.055,-0.112,-0.277,-0.518,-0.61,-0.535,-0.481,-0.418,-0.352
Tonga,-0.003,0.002,0.004,0.005,0.004,0.003,-0.001,0.006,-0.007,-0.002,-0.016,-0.015,-0.011,-0.009,-0.017,-0.018,-0.011,-0.002,-0.018,-0.001,-0.01,-0.021,-0.014,-0.005,-0.011,-0.025,-0.019,-0.037,-0.022,-0.057,-0.087,-0.084,-0.07,-0.043,-0.028,-0.044,-0.027,-0.029,-0.03,-0.004,-0.019,0.024,-0.016,-0.105,-0.051,-0.049,-0.098,-0.106
Trinidad and Tobago,0.357,0.415,-0.599,-0.947,-0.467,-0.048,-0.412,-0.225,-0.089,-0.039,0.459,-0.005,0.139,0.113,0.218,0.294,0.105,-0.614,-0.644,0.031,0.544,0.416,0.076,0.985,1.793,3.881,7.125,5.166,8.499,1.633,4.172,4.708,3.867,5.571,4.155,2.057,-0.776,1.409,1.626,1.02,-0.136,0.957,2.517,1.835,1.065,1.021,1.081,1.243
Tunisia,-0.362,-0.817,-0.949,-0.75,-1.051,-0.589,-0.706,-0.098,0.097,-0.298,-0.685,-0.572,-1.008,-0.872,-0.288,-0.847,-0.541,-0.677,-0.722,-0.524,-1.062,-1.225,-0.952,-0.965,-0.988,-0.583,-0.918,-1.257,-2.081,-1.568,-2.468,-3.869,-4.11,-4.466,-4.689,-4.186,-3.893,-4.08,-4.443,-3.274,-2.506,-2.866,-4.625,,,,,
Turkey,-3.09,-1.901,-0.952,-1.923,-1.439,-1.013,-1.465,-0.806,1.596,0.961,-2.625,0.909,-0.974,-6.433,2.631,-2.339,-2.437,-2.638,2,-0.925,-9.92,3.76,-0.626,-7.554,-14.198,-20.98,-31.168,-36.949,-39.425,-11.358,-44.616,-74.402,-47.96,-55.856,-38.851,-27.314,-27.038,-40.877,-21.74,5.303,-35.537,-14.887,-39.177,-14.493,-7.377,-6.852,-12.687,-17.752
Turkmenistan,,,,,,,,,,,,,0,0,0,0,0.002,-0.58,-0.935,-0.571,0.412,0.115,0.583,0.304,0.082,0.875,3.351,4.037,3.56,-3.918,-3.125,-0.331,-0.744,-4.161,-4.342,-7.614,-9.635,-5.145,2.409,1.469,-1.758,1.246,4.448,5.04,4.379,3.6,2.521,1.625
Tuvalu,,,,,,,,,,,,,,,,,,,,,,0.008,0.004,-0.012,-0.004,-0.002,0.007,-0.005,-0.008,-0.02,-0.02,-0.034,-0.012,-0.003,-0.001,-0.026,0.006,0.005,0.026,-0.009,-0.004,0.001,-0.006,0,0.001,-0.007,-0.01,-0.009
Uganda,-0.083,0.025,-0.07,-0.072,0.104,0.005,-0.043,-0.112,-0.195,-0.26,-0.263,-0.17,-0.1,-0.171,-0.174,-0.281,-0.212,-0.316,-0.364,-0.293,-0.359,-0.291,-0.152,-0.038,-0.002,0.049,-0.318,-0.563,-1.224,-1.048,-1.61,-2.087,-1.656,-1.843,-2.166,-1.671,-0.833,-1.502,-1.936,-2.342,-3.488,-3.339,-3.246,-4.91,-5.425,-7.567,-7.565,-6.467
Ukraine,,,,,,,,,,,,,-0.62,-0.854,-1.163,-1.152,-1.184,-1.335,-1.296,1.658,1.481,1.402,3.173,2.891,6.909,2.531,-1.617,-5.272,-12.763,-1.732,-3.018,-10.245,-14.315,-16.518,-5.113,1.565,-1.394,-2.446,-4.284,-4.208,5.172,-2.088,,,,,,
United Arab Emirates,10.089,10.763,7,5.259,7.464,6.914,2.378,3.719,2.527,3.934,7.942,1.358,2.274,3.046,0.029,0.108,4.351,8.689,2.97,5.444,16.794,9.373,3.644,7.193,9.508,23.787,38.478,20.249,22.267,7.848,12.196,43.517,73.101,73.213,54.491,17.551,13.2,27.5,41.242,37.321,21.103,47.951,92.82,70.923,58.522,51.464,49.483,48.003
United Kingdom,3.245,8.966,3.096,1.142,-2.501,-1.547,-6.304,-12.806,-34.873,-40.819,-36.592,-16.307,-19.389,-14.9,-5.553,-8.495,-7.437,-3.935,-10.958,-42.377,-36.412,-32.389,-37.636,-36.932,-56.252,-48.775,-76.442,-105.399,-114.873,-78.579,-76.559,-50.969,-94.566,-133.797,-157.874,-152.743,-145.567,-98.092,-112.626,-76.84,-69.013,-82.475,-184.428,-178.091,-154.864,-150.841,-155.269,-161.175
United States,2.316,5.031,-5.533,-38.695,-94.342,-118.159,-147.176,-160.661,-121.159,-99.485,-78.965,2.895,-51.614,-84.816,-121.612,-113.571,-124.773,-140.72,-215.066,-286.609,-401.917,-394.085,-456.106,-522.293,-635.891,-749.232,-816.647,-736.549,-696.523,-379.729,-432.01,-455.302,-418.115,-339.457,-369.988,-408.888,-397.57,-361.705,-438.235,-472.146,-616.095,-806.607,-877.849,-855.379,-783.846,-720.255,-677.464,-636.727
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.036,-2.016,-1.838,-0.147,0.474,0.008,-0.266,0.98,-0.449,-1.119,-0.136,0.017,-0.176,-0.493,-0.716,-0.99
