"Current account balance
U.S. dollars (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Comoros,-0.009,-0.008,-0.011,-0.011,-0.054,-0.034,-0.031,-0.034,-0.023,-0.014,-0.024,-0.008,-0.043,-0.007,-0.022,-0.029,-0.024,-0.023,-0.025,-0.014,0,0.007,0.002,-0.005,-0.015,-0.025,-0.022,-0.023,-0.055,-0.037,-0.002,-0.037,-0.033,-0.045,-0.043,-0.002,-0.044,-0.023,-0.034,-0.039,-0.02,-0.044,-0.109,-0.113,-0.091,-0.101,-0.115,-0.133
"Congo, Dem. Rep. of the",-0.254,-0.527,-0.52,-0.289,0.036,-0.092,-0.444,-1.088,-0.585,-0.862,-0.715,-0.944,-0.757,-0.373,-0.278,0.015,-0.037,-0.2,-0.426,-0.113,0.086,0.241,0.418,0.181,-0.055,-0.389,0.048,0.527,-0.151,-1.123,-2.174,-1.281,-1.26,-3.109,-1.723,-1.484,-1.504,-1.241,-1.672,-1.62,-1.095,-0.587,-0.218,-0.203,0.143,-0.137,-0.145,-0.128
"Congo, Republic of ",-0.167,-0.461,-0.332,-0.401,0.21,-0.161,-0.601,-0.223,-0.445,-0.085,-0.251,-0.462,-0.317,-0.553,-0.793,-0.625,-0.651,-0.156,-0.241,-0.231,0.633,-0.037,0.192,0.529,0.673,0.404,1.12,-2.108,0.869,-1.37,0.902,2.062,2.415,1.934,0.187,-4.636,-4.945,-0.67,-0.014,0.053,-0.014,1.977,4.147,2.299,1.779,0.932,0.735,0.397
Costa Rica,-0.663,-0.42,-0.24,-0.283,-0.156,-0.13,-0.074,-0.229,-0.16,-0.376,-0.447,-0.224,-0.409,-0.69,-0.513,-0.373,-0.275,-0.46,-0.491,-0.694,-0.685,-0.514,-0.86,-0.9,-0.675,-0.86,-0.939,-1.499,-2.581,-0.561,-1.214,-2.265,-2.411,-2.431,-2.453,-1.921,-1.257,-2.189,-1.867,-0.826,-0.709,-2.106,-2.315,-2.163,-2.244,-2.16,-2.165,-2.264
Croatia,,,,,,,,,,,,,0.314,0.621,0.684,-1.306,-0.942,-2.487,-1.463,-1.489,-0.311,-0.502,-1.701,-3.143,-2.491,-3.287,-3.928,-4.699,-7.388,-4.11,-1.289,-1.062,-1.013,-0.601,0.204,1.691,1.208,1.99,1.174,1.887,-0.064,1.376,-0.294,0.235,0.446,0.828,1.506,1.947
Cyprus,-0.258,-0.172,-0.178,-0.205,-0.222,-0.18,-0.019,-0.008,-0.108,-0.249,-0.154,-0.42,-0.638,0.11,0.074,-0.205,-0.468,-0.418,0.292,-0.17,-0.489,-0.316,-0.393,-0.297,-0.788,-0.995,-1.284,-2.565,-4.121,-1.74,-2.764,-0.638,-0.967,-0.352,-0.942,-0.089,-0.88,-1.157,-1.013,-1.465,-2.485,-2.097,-2.604,-2.512,-2.513,-2.498,-2.371,-2.163
Czech Republic,,,,,,,,,,,,,,0.456,-0.792,-1.369,-4.121,-3.565,-1.254,-1.464,-2.717,-3.273,-4.165,-5.696,-4.452,-2.869,-3.834,-8.718,-4.414,-4.682,-7.424,-4.792,-3.234,-1.113,0.38,0.843,3.485,3.383,1.109,0.835,8.768,-2.234,-2.121,-3.884,-2.982,-2.253,-1.744,-1.946
Côte d'Ivoire,-1.826,-1.411,-1.016,-0.929,-0.073,0.068,-0.298,-0.968,-1.239,-0.966,-1.214,-1.074,-1.013,-0.892,-0.014,-0.492,-0.162,-0.155,-0.29,-0.12,-0.241,-0.061,0.768,0.294,0.241,0.04,0.479,-0.139,0.453,1.624,0.465,2.666,-0.321,-0.423,0.511,-0.201,-0.414,-1.049,-2.285,-1.349,-1.974,-2.606,-3.506,-3.559,-3.65,-3.801,-3.886,-3.941
Denmark,-2.389,-1.875,-2.259,-1.382,-1.718,-2.767,-4.49,-3.002,-1.34,-1.118,1.372,1.983,4.199,4.832,3.189,1.855,3.09,2.278,-0.264,4.5,3.265,6.008,5.358,8.574,10.168,11.102,9.424,4.642,10.328,11.143,21.141,22.655,20.55,26.659,31.502,24.955,24.341,26.599,25.984,30.621,28.982,33.138,29.012,29.572,30.206,30.981,32.309,33.743
Djibouti,,,,,,,,,,,0.304,0.111,-0.002,0.173,0.251,0.259,0.248,0.253,0.242,0.266,0.153,0.351,0.431,0.423,0.284,0.304,0.051,-0.307,-0.46,0.266,0.764,-0.032,-0.444,-0.629,0.531,0.714,-0.026,-0.132,0.429,0.564,0.366,-0.036,-0.181,-0.136,-0.073,0.002,0.043,0.09
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.028,-0.025,-0.044,-0.046,-0.239,-0.233,-0.163,-0.178,-0.204,-0.181,-0.148,-0.142,-0.132,-0.112
Dominican Republic,-0.72,-0.389,-0.443,-0.418,-0.163,-0.108,-0.183,-0.364,-0.019,-0.327,-0.28,-0.157,-0.708,-0.533,-0.283,-0.183,-0.213,-0.163,-0.338,-0.429,-1.027,-0.741,-0.798,1.036,1.041,-0.473,-1.287,-2.166,-4.52,-2.303,-4.024,-4.359,-3.971,-2.568,-2.17,-1.28,-0.815,-0.133,-1.322,-1.188,-1.541,-2.396,-3.808,-2.965,-3.133,-3.065,-3.533,-3.382
Ecuador,-0.642,-0.998,-1.182,-0.115,-0.273,0.076,-0.582,-1.187,-0.68,-0.715,-0.36,-0.708,-0.122,-0.849,-0.898,-1,-0.055,-0.457,-2.099,0.918,1.113,-0.551,-1.219,-0.387,-0.479,0.474,1.74,1.886,1.769,0.313,-1.582,-0.4,-0.146,-0.933,-0.669,-2.221,1.109,-0.184,-1.308,-0.062,2.565,2.668,3.342,3.028,2.678,2.492,2.725,2.865
Egypt,-0.193,-1.116,-2.084,-1.48,-3.393,-2.231,-1.492,-1.005,-1.986,-2.506,-2.593,1.664,3.669,2.193,0.191,0.387,-0.184,0.119,-2.479,-1.724,-1.163,-0.033,0.614,1.943,3.418,2.911,1.752,2.269,0.888,-4.424,-4.318,-6.088,-10.146,-6.39,-2.746,-12.143,-19.831,-14.394,-5.962,-10.894,-11.167,-18.436,-18.927,-20.736,-18.131,-16.297,-15.45,-16.426
El Salvador,0.202,-0.122,-0.051,0.06,-0.041,-0.029,0.117,0.136,0.026,-0.194,-0.152,-0.167,-0.109,-0.082,-0.018,-0.262,-0.169,-0.098,-0.091,-0.239,-0.431,-0.15,-0.405,-0.702,-0.642,-0.622,-0.766,-1.217,-1.532,-0.312,-0.533,-1.112,-1.24,-1.518,-1.214,-0.754,-0.55,-0.465,-0.859,-0.165,0.121,-1.211,-2.065,-1.772,-1.799,-1.87,-1.866,-1.887
Equatorial Guinea,,,,,,,,-0.024,-0.017,-0.021,-0.019,-0.041,-0.011,0.003,0,-0.123,-0.344,-0.144,-0.398,-0.218,-0.352,-0.817,-1.117,-0.188,0.454,1.376,1.94,2.181,1.557,-1.468,-3.303,-1.212,-0.252,-0.526,-0.925,-2.339,-2.921,-0.957,-0.274,-0.1,-0.419,-0.431,-0.259,-0.292,-0.722,-0.554,-0.642,-0.679
